"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
0,27.2658728173,27.007715365,27.2325107274,-0.0217584017082
0.1,27.218005925,26.9845140185,27.2093031738,-0.0217584017082
0.2,27.218005925,26.9598632232,27.2093031738,-0.0415021365916
0.3,27.194798804,26.9598632232,27.2093031738,-0.0350552027521
0.4,27.194798804,26.9598632232,27.2093031738,-0.0350552027521
0.5,27.170141986,26.9598632232,27.2093031738,-0.0282053355477
0.6,27.170141986,26.9598632232,27.2093031738,-0.0350552027521
0.7,27.194798804,26.9598632232,27.2093031738,-0.0217584017082
0.8,27.194798804,26.9598632232,27.184645904,-0.0282053355477
0.9,27.194798804,26.9598632232,27.2093031738,-0.0282053355477
1,27.194798804,26.9598632232,27.184645904,-0.0282053355477
1.1,27.170141986,26.9598632232,27.184645904,-0.0282053355477
1.2,27.170141986,26.9598632232,27.184645904,-0.0217584017082
1.3,27.194798804,26.9598632232,27.184645904,-0.0282053355477
1.4,27.194798804,26.9598632232,27.184645904,-0.0153114678687
1.5,27.194798804,26.9598632232,27.184645904,-0.0282053355477
1.6,27.170141986,26.9598632232,27.184645904,-0.0350552027521
1.7,27.170141986,26.9598632232,27.184645904,-0.0282053355477
1.8,27.170141986,26.9598632232,27.184645904,-0.0217584017082
1.9,27.170141986,26.9598632232,27.184645904,-0.0282053355477
2,27.170141986,26.9598632232,27.184645904,-0.0282053355477
2.1,27.170141986,26.9598632232,27.184645904,-0.061245871475
2.2,27.170141986,26.9598632232,27.1614397612,-0.0676928053144
2.3,27.170141986,26.9366630608,27.1614397612,-0.0415021365916
2.4,27.170141986,26.9598632232,27.1614397612,-0.0479490704311
2.5,27.1469362611,26.9598632232,27.184645904,0.024176001898
2.6,27.1469362611,26.9598632232,27.184645904,-0.0282053355477
2.7,27.170141986,26.9598632232,27.184645904,-0.0479490704311
2.8,27.170141986,26.9598632232,27.184645904,-0.00886453402927
2.9,27.170141986,26.9598632232,27.1614397612,-0.0217584017082
3,27.170141986,26.9598632232,27.1614397612,-0.0415021365916
3.1,27.1469362611,26.9598632232,27.1614397612,-0.0676928053144
3.2,27.1469362611,26.9598632232,27.1614397612,-0.0282053355477
3.3,27.1469362611,26.9598632232,27.1614397612,-0.0217584017082
3.4,27.170141986,26.9598632232,27.1614397612,-0.0415021365916
3.5,27.1469362611,26.9598632232,27.1614397612,-0.0217584017082
3.6,27.1469362611,26.9598632232,27.1614397612,-0.0350552027521
3.7,27.1469362611,26.9598632232,27.1614397612,-0.0217584017082
3.8,27.1469362611,26.9598632232,27.1614397612,-0.0282053355477
3.9,27.1469362611,26.9598632232,27.1367839646,-0.0350552027521
4,27.170141986,26.9598632232,27.1367839646,-0.0217584017082
4.1,27.1469362611,26.9366630608,27.1614397612,-0.0282053355477
4.2,27.1469362611,26.9598632232,27.1614397612,-0.0282053355477
4.3,27.1469362611,26.9598632232,27.1614397612,-0.0217584017082
4.4,27.1469362611,26.9598632232,27.1614397612,-0.0153114678687
4.5,27.1469362611,26.9598632232,27.1614397612,-0.0282053355477
4.6,27.1469362611,26.9598632232,27.1614397612,-0.0282053355477
4.7,27.1469362611,26.9598632232,27.1367839646,-0.0415021365916
4.8,27.170141986,26.9598632232,27.1614397612,-0.00886453402927
4.9,27.1469362611,26.9598632232,27.1614397612,-0.0479490704311
5,27.170141986,26.9598632232,27.1367839646,-0.0809896063583
5.1,27.170141986,26.9598632232,27.1367839646,-0.0153114678687
5.2,27.1469362611,26.9598632232,27.1367839646,-0.0415021365916
5.3,27.170141986,26.9598632232,27.1367839646,-0.0217584017082
5.4,27.1469362611,26.9598632232,27.1367839646,-0.0217584017082
5.5,27.1469362611,26.9598632232,27.1367839646,-0.0217584017082
5.6,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
5.7,27.1469362611,26.9598632232,27.1367839646,-0.0217584017082
5.8,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
5.9,27.170141986,26.9598632232,27.1367839646,-0.0350552027521
6,27.1469362611,26.9598632232,27.1367839646,-0.0217584017082
6.1,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
6.2,27.1469362611,26.9598632232,27.1367839646,-0.0217584017082
6.3,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
6.4,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
6.5,27.1469362611,26.9598632232,27.1367839646,-0.0350552027521
6.6,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
6.7,27.1469362611,26.9845140185,27.1367839646,-0.0415021365916
6.8,27.1469362611,26.9598632232,27.1367839646,-0.0350552027521
6.9,27.1469362611,26.9598632232,27.1367839646,-0.0350552027521
7,27.1469362611,26.9845140185,27.1614397612,-0.0350552027521
7.1,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
7.2,27.1469362611,26.9598632232,27.1614397612,-0.0282053355477
7.3,27.1469362611,26.9845140185,27.1614397612,-0.0350552027521
7.4,27.1469362611,26.9845140185,27.1367839646,-0.0217584017082
7.5,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
7.6,27.1469362611,26.9598632232,27.1367839646,-0.0217584017082
7.7,27.170141986,26.9845140185,27.1367839646,-0.0217584017082
7.8,27.170141986,26.9845140185,27.1367839646,-0.0217584017082
7.9,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
8,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
8.1,27.1469362611,26.9845140185,27.1367839646,-0.0350552027521
8.2,27.170141986,26.9845140185,27.1367839646,-0.0217584017082
8.3,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
8.4,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
8.5,27.1469362611,26.9845140185,27.1367839646,-0.0350552027521
8.6,27.1469362611,26.9845140185,27.1367839646,-0.0350552027521
8.7,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
8.8,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
8.9,27.1469362611,26.9598632232,27.1367839646,-0.0282053355477
9,27.170141986,26.9845140185,27.1367839646,-0.0350552027521
9.1,27.1469362611,26.9845140185,27.1367839646,-0.0153114678687
9.2,27.1469362611,26.9845140185,27.1367839646,-0.0153114678687
9.3,27.1469362611,26.9845140185,27.1367839646,-0.0415021365916
9.4,27.1469362611,26.9845140185,27.1367839646,-0.0350552027521
9.5,27.1469362611,26.9845140185,27.1367839646,-0.0217584017082
9.6,27.1469362611,26.9845140185,27.1367839646,-0.0350552027521
9.7,27.1469362611,26.9845140185,27.1367839646,-0.0350552027521
9.8,27.1469362611,26.9845140185,27.1367839646,-0.0282053355477
