"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
0,25.2409178857,25.1510557575,25.1075723781,0.00443226701464
0.1,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
0.2,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
0.3,25.1220669691,25.0553907124,25.1075723781,-0.0153114678687
0.4,25.145258041,25.0553907124,25.1075723781,-0.0217584017082
0.5,25.145258041,25.0553907124,25.1075723781,-0.0217584017082
0.6,25.1220669691,25.0553907124,25.1075723781,-0.0217584017082
0.7,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
0.8,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
0.9,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
1,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
1.1,25.145258041,25.0553907124,25.1075723781,-0.0217584017082
1.2,25.145258041,25.0553907124,25.1075723781,-0.00886453402927
1.3,25.1220669691,25.0553907124,25.1075723781,-0.0153114678687
1.4,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
1.5,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
1.6,25.1220669691,25.0553907124,25.1075723781,-0.0153114678687
1.7,25.145258041,25.0321982651,25.1075723781,-0.0153114678687
1.8,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
1.9,25.145258041,25.0321982651,25.1075723781,-0.0153114678687
2,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
2.1,25.1220669691,25.0553907124,25.132213104,-0.0153114678687
2.2,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
2.3,25.1220669691,25.0553907124,25.1075723781,-0.0217584017082
2.4,25.1220669691,25.0321982651,25.1075723781,-0.0217584017082
2.5,25.1220669691,25.0553907124,25.1075723781,-0.0217584017082
2.6,25.1220669691,25.0553907124,25.1075723781,-0.0153114678687
2.7,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
2.8,25.1220669691,25.0321982651,25.1075723781,-0.0217584017082
2.9,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
3,25.1220669691,25.0553907124,25.1075723781,-0.0153114678687
3.1,25.1220669691,25.0321982651,25.1075723781,-0.00201466682483
3.2,25.145258041,25.0553907124,25.1075723781,-0.0153114678687
3.3,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
3.4,25.1220669691,25.0553907124,25.1075723781,-0.0153114678687
3.5,25.145258041,25.0075558697,25.1075723781,-0.0153114678687
3.6,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
3.7,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
3.8,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
3.9,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
4,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
4.1,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
4.2,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
4.3,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
4.4,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
4.5,25.1220669691,25.0321982651,25.1075723781,-0.00886453402927
4.6,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
4.7,25.1220669691,25.0321982651,25.1075723781,-0.0217584017082
4.8,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
4.9,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
5,25.1220669691,25.0321982651,25.1075723781,-0.0217584017082
5.1,25.145258041,25.0075558697,25.1075723781,-0.0217584017082
5.2,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
5.3,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
5.4,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
5.5,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
5.6,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
5.7,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
5.8,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
5.9,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
6,25.0974260842,25.0321982651,25.1075723781,-0.0153114678687
6.1,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
6.2,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
6.3,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
6.4,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
6.5,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
6.6,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
6.7,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
6.8,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
6.9,25.1220669691,25.0075558697,25.1075723781,-0.00201466682483
7,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
7.1,25.1220669691,25.0075558697,25.1075723781,-0.00886453402927
7.2,25.1220669691,25.0075558697,25.1075723781,-0.0282053355477
7.3,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
7.4,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
7.5,25.1220669691,25.0075558697,25.0843807505,-0.0153114678687
7.6,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
7.7,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
7.8,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
7.9,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
8,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
8.1,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
8.2,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
8.3,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
8.4,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
8.5,25.1220669691,25.0321982651,25.1075723781,-0.0153114678687
8.6,25.0974260842,25.0075558697,25.1075723781,-0.0217584017082
8.7,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
8.8,25.1220669691,25.0075558697,25.0843807505,-0.0153114678687
8.9,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
9,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
9.1,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
9.2,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
9.3,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
9.4,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
9.5,25.1220669691,25.0075558697,25.1075723781,-0.0217584017082
9.6,25.0974260842,25.0075558697,25.1075723781,-0.0217584017082
9.7,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
9.8,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
9.9,25.0974260842,25.0075558697,25.1075723781,-0.0153114678687
10,25.0974260842,25.0075558697,25.1075723781,-0.0217584017082
10.1,25.1220669691,25.0075558697,25.1075723781,-0.0153114678687
10.2,25.0974260842,24.9597193449,25.1075723781,0.0374728029419
10.3,25.1220669691,25.0075558697,25.0365468778,-1.375614508
10.4,25.2409178857,25.0553907124,25.1075723781,2.9950037018
10.5,25.0742343018,25.0075558697,25.132213104,-0.639455250202
10.6,25.0974260842,24.9365252425,25.0843807505,0.352969627711
10.7,25.1220669691,25.0075558697,25.0119045598,0.35941656155
10.8,25.145258041,25.0553907124,25.1075723781,0.129341610154
10.9,25.0510421572,24.9843626195,25.1554040316,-2.14481430172
11,25.1220669691,24.9365252425,25.0365468778,0.24095415225
11.1,25.145258041,25.0075558697,25.0597392546,-1.5400113209
11.2,25.0742343018,25.0553907124,25.132213104,-0.685792587174
11.3,25.0264000938,24.9843626195,25.1554040316,-0.462164569617
11.4,25.1220669691,24.9843626195,25.0365468778,-1.51382065218
11.5,25.145258041,25.0321982651,25.1075723781,-1.33612703823
11.6,25.0742343018,25.0785827882,25.132213104,-0.849786466715
11.7,25.0742343018,24.9597193449,25.1075723781,-0.409783232171
11.8,25.1220669691,25.0075558697,25.0119045598,-0.212345883338
11.9,25.2409178857,25.0321982651,25.1075723781,-0.271577087988
12,25.0510421572,25.0321982651,25.132213104,-0.416230166011
12.1,25.0974260842,24.9365252425,25.0843807505,-0.60681764764
12.2,25.1220669691,25.0075558697,25.0119045598,-0.659198985086
12.3,25.2177280873,25.0321982651,25.1075723781,-0.626561382524
12.4,25.0510421572,25.0075558697,25.1554040316,-0.501652039384
12.5,25.1220669691,24.9365252425,25.0597392546,-0.383189630084
12.6,25.145258041,25.0075558697,25.0597392546,-0.232089618221
12.7,25.0742343018,25.0553907124,25.1075723781,-0.587073912757
12.8,25.0510421572,24.9843626195,25.1554040316,-1.1064550202
12.9,25.1220669691,24.9843626195,25.0365468778,-1.63188012812
13,25.145258041,25.0075558697,25.1075723781,-1.33612703823
13.1,25.0742343018,25.0553907124,25.132213104,-0.495205105544
13.2,25.0742343018,24.9365252425,25.1554040316,-0.390039497288
13.3,25.1220669691,25.0075558697,25.0119045598,-1.31678623671
13.4,25.2409178857,25.0553907124,25.1075723781,-1.44129264649
13.5,25.0742343018,25.0553907124,25.132213104,-0.396486431127
13.6,25.1220669691,24.9365252425,25.0843807505,-0.771214460547
13.7,25.1220669691,25.0075558697,25.0119045598,-1.53356438706
13.8,25.145258041,25.0321982651,25.1075723781,-0.567330177873
13.9,25.0742343018,24.9843626195,25.1554040316,-0.836892599036
14,25.1220669691,24.9365252425,25.0597392546,-1.3824643752
14.1,25.145258041,25.0321982651,25.0597392546,-0.304617623915
14.2,25.0974260842,25.0553907124,25.132213104,-1.375614508
14.3,25.0510421572,24.9843626195,25.1554040316,-0.91586753857
14.4,25.1220669691,24.9597193449,25.0597392546,-0.678942719969
14.5,25.2177280873,25.0321982651,25.132213104,-1.48078011625
14.6,25.0974260842,25.0553907124,25.132213104,-0.297767756711
14.7,25.0742343018,24.9843626195,25.132213104,-1.64517692916
14.8,25.145258041,25.0075558697,25.0365468778,-0.435973900894
14.9,25.2641074049,25.0553907124,25.132213104,-1.41510197776
15,25.0742343018,25.0321982651,25.1554040316,-0.652752051246
15.1,25.1220669691,24.9365252425,25.0843807505,-1.23096142997
15.2,25.145258041,25.0075558697,25.0365468778,-0.942058207293
15.3,25.2409178857,25.0553907124,25.132213104,-0.784108328226
15.4,25.0742343018,24.9843626195,25.2032343164,-1.32323317055
15.5,25.1220669691,24.9597193449,25.0843807505,-0.527842708107
15.6,25.2409178857,25.0321982651,25.0843807505,-1.41510197776
15.7,25.1220669691,25.0553907124,25.1554040316,-0.402933364967
15.8,25.0510421572,24.9843626195,25.1785946374,-1.48762998346
15.9,25.145258041,24.9843626195,25.0843807505,-0.435973900894
16,25.2409178857,25.0321982651,25.132213104,-1.32323317055
16.1,25.0974260842,25.0785827882,25.1785946374,-0.711983255896
16.2,25.0742343018,24.9843626195,25.2032343164,-1.04037394834
16.3,25.2177280873,25.0321982651,25.0597392546,-1.1064550202
16.4,25.2641074049,25.0321982651,25.1554040316,-0.580626978917
16.5,25.0742343018,25.0785827882,25.2032343164,-1.62543319428
16.6,25.145258041,24.9843626195,25.1075723781,-0.376742696244
16.7,25.2409178857,25.0321982651,25.0597392546,-1.17858009253
16.8,25.2641074049,25.0553907124,25.1785946374,-1.32968010439
16.9,25.0742343018,25.0075558697,25.2032343164,-0.284873889032
17,25.2177280873,24.9843626195,25.1075723781,-1.40220811008
17.1,25.2409178857,25.0321982651,25.0843807505,-1.02748008067
17.2,25.1220669691,25.0785827882,25.1785946374,-0.468611503456
17.3,25.0742343018,25.0075558697,25.2264242952,-1.67821746509
17.4,25.145258041,25.0075558697,25.1075723781,-0.626561382524
17.5,25.2409178857,25.0553907124,25.1554040316,-0.652752051246
17.6,25.145258041,25.0785827882,25.2032343164,-1.60568945939
17.7,25.0742343018,24.9843626195,25.2264242952,-0.567330177873
17.8,25.2177280873,25.0553907124,25.1075723781,-0.738173924619
17.9,25.2641074049,25.0553907124,25.2032343164,-1.67821746509
18,25.1220669691,25.0785827882,25.2264242952,-0.560883244034
18.1,25.2409178857,24.9843626195,25.1554040316,-0.66604885229
18.2,25.2409178857,25.0553907124,25.1075723781,-1.62543319428
18.3,25.2887459761,25.0785827882,25.2032343164,-0.817148864153
18.4,25.1220669691,25.0075558697,25.251063334,-0.383189630084
18.5,25.2409178857,24.9843626195,25.1554040316,-1.38891130904
18.6,25.2409178857,25.0553907124,25.132213104,-1.47433318241
