"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
0,28.5074126324,28.5103205754,28.5001428655,0.0588282712852
0.1,28.4594345431,28.4623421476,28.5001428655,0.0588282712852
0.2,28.4594345431,28.4390818789,28.5001428655,0.0588282712852
0.3,28.4594345431,28.4390818789,28.5001428655,0.0717221389641
0.4,28.4347207225,28.4390818789,28.5001428655,0.0588282712852
0.5,28.4594345431,28.4623421476,28.4768804758,0.0652752051246
0.6,28.4594345431,28.4390818789,28.5001428655,0.0588282712852
0.7,28.4347207225,28.4623421476,28.5001428655,0.0588282712852
0.8,28.4826959501,28.4623421476,28.5001428655,0.0652752051246
0.9,28.4347207225,28.4623421476,28.5001428655,0.0588282712852
1,28.4594345431,28.4623421476,28.5001428655,0.0588282712852
1.1,28.4594345431,28.4390818789,28.5001428655,0.0652752051246
1.2,28.4594345431,28.4623421476,28.5001428655,0.0588282712852
1.3,28.4594345431,28.4623421476,28.5248606011,0.0588282712852
1.4,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
1.5,28.4347207225,28.4390818789,28.5248606011,0.0588282712852
1.6,28.4594345431,28.4623421476,28.5001428655,0.0588282712852
1.7,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
1.8,28.4594345431,28.4623421476,28.5001428655,0.0652752051246
1.9,28.4594345431,28.4623421476,28.5001428655,0.0588282712852
2,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
2.1,28.4594345431,28.4390818789,28.5248606011,0.0588282712852
2.2,28.4594345431,28.4623421476,28.5001428655,0.0588282712852
2.3,28.4826959501,28.4623421476,28.5001428655,0.0652752051246
2.4,28.4594345431,28.4623421476,28.5248606011,0.0588282712852
2.5,28.4826959501,28.4623421476,28.5001428655,0.0717221389641
2.6,28.4594345431,28.4623421476,28.5001428655,0.0588282712852
2.7,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
2.8,28.4826959501,28.4623421476,28.5248606011,0.0519784040807
2.9,28.4594345431,28.4390818789,28.5001428655,0.0588282712852
3,28.4594345431,28.4623421476,28.5248606011,0.0588282712852
3.1,28.4826959501,28.4623421476,28.5001428655,0.0652752051246
3.2,28.4826959501,28.4623421476,28.5001428655,0.0519784040807
3.3,28.4594345431,28.4623421476,28.5248606011,0.0588282712852
3.4,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
3.5,28.4826959501,28.4623421476,28.5248606011,0.0652752051246
3.6,28.4826959501,28.4623421476,28.5248606011,0.0717221389641
3.7,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
3.8,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
3.9,28.4826959501,28.485603718,28.5248606011,0.0652752051246
4,28.4826959501,28.485603718,28.5248606011,0.0519784040807
4.1,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
4.2,28.4826959501,28.4390818789,28.5001428655,0.0588282712852
4.3,28.4594345431,28.485603718,28.5248606011,0.0588282712852
4.4,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
4.5,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
4.6,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
4.7,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
4.8,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
4.9,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
5,28.4826959501,28.485603718,28.5248606011,0.0717221389641
5.1,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
5.2,28.4594345431,28.4623421476,28.5248606011,0.0652752051246
5.3,28.4826959501,28.485603718,28.5248606011,0.0588282712852
5.4,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
5.5,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
5.6,28.4826959501,28.485603718,28.5248606011,0.0588282712852
5.7,28.4826959501,28.485603718,28.5248606011,0.0588282712852
5.8,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
5.9,28.4826959501,28.4623421476,28.5248606011,0.0717221389641
6,28.4826959501,28.485603718,28.5248606011,0.0588282712852
6.1,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
6.2,28.4594345431,28.4623421476,28.5248606011,0.0588282712852
6.3,28.4826959501,28.485603718,28.5248606011,0.0652752051246
6.4,28.4826959501,28.485603718,28.5248606011,0.0588282712852
6.5,28.4594345431,28.4623421476,28.5248606011,0.0588282712852
6.6,28.4826959501,28.485603718,28.5248606011,0.0588282712852
6.7,28.4826959501,28.4623421476,28.5001428655,0.0652752051246
6.8,28.4826959501,28.485603718,28.5248606011,0.0717221389641
6.9,28.4826959501,28.485603718,28.5248606011,0.0717221389641
7,28.4826959501,28.4623421476,28.5001428655,0.0717221389641
7.1,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
7.2,28.4826959501,28.485603718,28.5001428655,0.0652752051246
7.3,28.4826959501,28.485603718,28.5248606011,0.0519784040807
7.4,28.4826959501,28.4623421476,28.5248606011,0.0519784040807
7.5,28.4826959501,28.485603718,28.5248606011,0.0588282712852
7.6,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
7.7,28.4826959501,28.485603718,28.5248606011,0.0717221389641
7.8,28.4826959501,28.485603718,28.5248606011,0.0588282712852
7.9,28.4826959501,28.485603718,28.5001428655,0.0588282712852
8,28.4826959501,28.4390818789,28.5248606011,0.0588282712852
8.1,28.4826959501,28.485603718,28.5248606011,0.0652752051246
8.2,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
8.3,28.4826959501,28.4623421476,28.5248606011,0.0652752051246
8.4,28.4826959501,28.4623421476,28.5248606011,0.0717221389641
8.5,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
8.6,28.4826959501,28.4623421476,28.5001428655,0.0588282712852
8.7,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
8.8,28.4826959501,28.4623421476,28.5248606011,0.0652752051246
8.9,28.5074126324,28.4623421476,28.5001428655,0.0588282712852
9,28.4826959501,28.4623421476,28.5248606011,0.0785720061685
9.1,28.4826959501,28.485603718,28.5248606011,0.0588282712852
9.2,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
9.3,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
9.4,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
9.5,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
9.6,28.4826959501,28.4390818789,28.5248606011,0.0588282712852
9.7,28.4826959501,28.4623421476,28.5248606011,0.0652752051246
9.8,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
9.9,28.5074126324,28.485603718,28.5248606011,0.0652752051246
10,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
10.1,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
10.2,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
10.3,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
10.4,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
10.5,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
10.6,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
10.7,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
10.8,28.5074126324,28.4623421476,28.5248606011,0.0717221389641
10.9,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
11,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
11.1,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
11.2,28.5074126324,28.4623421476,28.5248606011,0.0519784040807
11.3,28.5074126324,28.4623421476,28.5001428655,0.0588282712852
11.4,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
11.5,28.4826959501,28.4390818789,28.5248606011,0.0588282712852
11.6,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
11.7,28.5074126324,28.4623421476,28.5248606011,0.0519784040807
11.8,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
11.9,28.4826959501,28.4390818789,28.5248606011,0.0588282712852
12,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
12.1,28.5074126324,28.4623421476,28.5248606011,0.0519784040807
12.2,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
12.3,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
12.4,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
12.5,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
12.6,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
12.7,28.5074126324,28.4390818789,28.5248606011,0.0455314702413
12.8,28.4826959501,28.4390818789,28.5248606011,0.0588282712852
12.9,28.5074126324,28.4623421476,28.5248606011,0.0717221389641
13,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
13.1,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
13.2,28.5074126324,28.4390818789,28.5248606011,0.0519784040807
13.3,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
13.4,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
13.5,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
13.6,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
13.7,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
13.8,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
13.9,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
14,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
14.1,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
14.2,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
14.3,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
14.4,28.4826959501,28.4390818789,28.5248606011,0.0717221389641
14.5,28.4826959501,28.4390818789,28.5248606011,0.0652752051246
14.6,28.5074126324,28.4623421476,28.5248606011,0.0519784040807
14.7,28.5074126324,28.4623421476,28.5248606011,0.0519784040807
14.8,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
14.9,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
15,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
15.1,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
15.2,28.5074126324,28.4390818789,28.5248606011,0.0519784040807
15.3,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
15.4,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
15.5,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
15.6,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
15.7,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
15.8,28.5074126324,28.4390818789,28.5001428655,0.0588282712852
15.9,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
16,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
16.1,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
16.2,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
16.3,28.5074126324,28.4390818789,28.5001428655,0.0588282712852
16.4,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
16.5,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
16.6,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
16.7,28.5074126324,28.4390818789,28.5001428655,0.0588282712852
16.8,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
16.9,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
17,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
17.1,28.5074126324,28.4623421476,28.5001428655,0.0588282712852
17.2,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
17.3,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
17.4,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
17.5,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
17.6,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
17.7,28.5074126324,28.4390818789,28.5248606011,0.0519784040807
17.8,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
17.9,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
18,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
18.1,28.5074126324,28.4390818789,28.5248606011,0.0717221389641
18.2,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
18.3,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
18.4,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
18.5,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
18.6,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
18.7,28.5074126324,28.4390818789,28.5248606011,0.0519784040807
18.8,28.5074126324,28.4623421476,28.5248606011,0.0652752051246
18.9,28.5074126324,28.4390818789,28.5248606011,0.0652752051246
19,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
19.1,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
19.2,28.5074126324,28.4390818789,28.5248606011,0.0519784040807
19.3,28.5074126324,28.4390818789,28.5248606011,0.0519784040807
19.4,28.5074126324,28.4623421476,28.5248606011,0.0588282712852
19.5,28.5074126324,28.4390818789,28.5001428655,0.0588282712852
19.6,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
19.7,28.4826959501,28.4623421476,28.5248606011,0.0588282712852
19.8,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
19.9,28.5074126324,28.4390818789,28.5248606011,0.0588282712852
20,28.4826959501,28.4390818789,28.5248606011,0.0519784040807
20.1,28.4826959501,28.4390818789,28.5248606011,0.0588282712852
20.2,28.4826959501,28.4623421476,28.5248606011,0.0519784040807
20.3,28.4826959501,28.4390818789,28.5248606011,0.0652752051246
20.4,28.4826959501,28.4390818789,28.5248606011,0.0652752051246
20.5,28.4826959501,28.4390818789,28.5248606011,0.0588282712852
20.6,28.4826959501,28.4390818789,28.5001428655,0.0588282712852
20.7,28.4826959501,28.4623421476,28.5248606011,0.0519784040807
