"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0427109366865,22.6421065298,22.7178042255,22.519789722
0.1,0.0229672018031,22.6173555575,22.6697672424,22.4950296016
0.2,0.0229672018031,22.5940588601,22.6697672424,22.4717242281
0.3,0.0229672018031,22.5940588601,22.6945144034,22.4950296016
0.4,0.0165202679636,22.5940588601,22.6697672424,22.4950296016
0.5,0.0165202679636,22.5940588601,22.6697672424,22.4950296016
0.6,0.0298170690075,22.5940588601,22.6945144034,22.4950296016
0.7,0.0298170690075,22.5940588601,22.6945144034,22.4950296016
0.8,0.036264002847,22.6173555575,22.6945144034,22.4950296016
0.9,0.036264002847,22.6173555575,22.6945144034,22.4950296016
1,0.0165202679636,22.6173555575,22.6945144034,22.519789722
1.1,0.0165202679636,22.6173555575,22.6945144034,22.4950296016
1.2,0.0229672018031,22.6173555575,22.6945144034,22.519789722
1.3,0.0229672018031,22.6173555575,22.6945144034,22.4950296016
1.4,0.036264002847,22.6173555575,22.6945144034,22.4950296016
1.5,0.0165202679636,22.6173555575,22.6945144034,22.519789722
1.6,0.0229672018031,22.6173555575,22.6945144034,22.519789722
1.7,0.0165202679636,22.6173555575,22.6945144034,22.519789722
1.8,0.0165202679636,22.6173555575,22.6945144034,22.519789722
1.9,0.0100733341242,22.6173555575,22.6945144034,22.519789722
2,0.0298170690075,22.6173555575,22.6945144034,22.519789722
2.1,0.0165202679636,22.6173555575,22.6945144034,22.519789722
2.2,0.0229672018031,22.6173555575,22.6945144034,22.519789722
2.3,0.0298170690075,22.6173555575,22.6945144034,22.519789722
2.4,0.0229672018031,22.6173555575,22.6945144034,22.519789722
2.5,0.0229672018031,22.6173555575,22.6945144034,22.519789722
2.6,0.0165202679636,22.6173555575,22.6945144034,22.519789722
2.7,0.0298170690075,22.6173555575,22.6945144034,22.519789722
2.8,0.0229672018031,22.6173555575,22.6945144034,22.519789722
2.9,0.0229672018031,22.6421065298,22.7178042255,22.519789722
3,0.036264002847,22.6421065298,22.7425479504,22.519789722
3.1,0.0165202679636,22.6421065298,22.7178042255,22.5430916468
3.2,0.0100733341242,22.6421065298,22.7178042255,22.519789722
3.3,0.0229672018031,22.6421065298,22.7178042255,22.5430916468
3.4,0.0165202679636,22.6421065298,22.7178042255,22.519789722
3.5,0.0165202679636,22.6173555575,22.7425479504,22.5663919183
3.6,0.0165202679636,22.6421065298,22.6945144034,22.5430916468
3.7,0.036264002847,22.6421065298,22.7178042255,22.5430916468
3.8,0.0229672018031,22.6421065298,22.7425479504,22.5430916468
3.9,0.0298170690075,22.6421065298,22.7178042255,22.5430916468
4,0.0229672018031,22.6421065298,22.7425479504,22.5663919183
4.1,0.0165202679636,22.6421065298,22.7178042255,22.5430916468
4.2,0.036264002847,22.6421065298,22.7425479504,22.5663919183
4.3,0.0298170690075,22.6421065298,22.7425479504,22.5663919183
4.4,0.0298170690075,22.6421065298,22.7425479504,22.5430916468
4.5,0.0165202679636,22.6421065298,22.7425479504,22.5663919183
4.6,0.0229672018031,22.6421065298,22.7425479504,22.5663919183
4.7,0.0229672018031,22.6421065298,22.7425479504,22.5663919183
4.8,0.0165202679636,22.6421065298,22.7425479504,22.5663919183
4.9,0.0165202679636,22.6421065298,22.7425479504,22.5663919183
5,0.0229672018031,22.6421065298,22.7658345643,22.5430916468
5.1,0.0229672018031,22.6421065298,22.7425479504,22.5911466588
5.2,0.036264002847,22.6421065298,22.7658345643,22.5663919183
5.3,0.036264002847,22.6421065298,22.7425479504,22.5663919183
5.4,0.0229672018031,22.6421065298,22.7425479504,22.5663919183
5.5,0.0229672018031,22.6653999108,22.7658345643,22.5663919183
5.6,0.036264002847,22.6421065298,22.7658345643,22.5911466588
5.7,0.0165202679636,22.6421065298,22.7425479504,22.5911466588
5.8,0.0165202679636,22.6421065298,22.7658345643,22.5663919183
5.9,0.0229672018031,22.6653999108,22.7658345643,22.5911466588
6,0.0165202679636,22.6421065298,22.7425479504,22.5911466588
6.1,0.0165202679636,22.6421065298,22.7658345643,22.5911466588
6.2,0.036264002847,22.6421065298,22.7658345643,22.5911466588
6.3,0.0229672018031,22.6653999108,22.7658345643,22.5663919183
6.4,0.0229672018031,22.6653999108,22.7658345643,22.5663919183
6.5,0.0229672018031,22.6421065298,22.7658345643,22.5911466588
6.6,0.0229672018031,22.6653999108,22.7658345643,22.5911466588
6.7,0.0165202679636,22.6421065298,22.7658345643,22.5911466588
6.8,0.0165202679636,22.6653999108,22.7658345643,22.5911466588
6.9,0.0165202679636,22.6653999108,22.7658345643,22.5911466588
7,0.0165202679636,22.6421065298,22.7658345643,22.5911466588
7.1,0.0229672018031,22.6421065298,22.7658345643,22.5911466588
7.2,0.0100733341242,22.6653999108,22.7658345643,22.5911466588
7.3,0.0229672018031,22.6653999108,22.7658345643,22.5911466588
7.4,0.0229672018031,22.6653999108,22.7658345643,22.5663919183
7.5,0.0229672018031,22.6421065298,22.7658345643,22.5911466588
7.6,0.0165202679636,22.6653999108,22.7658345643,22.5911466588
7.7,0.0165202679636,22.6653999108,22.7658345643,22.5911466588
7.8,0.0165202679636,22.6421065298,22.7658345643,22.5911466588
7.9,0.0229672018031,22.6653999108,22.7658345643,22.5911466588
8,0.0298170690075,22.6421065298,22.7658345643,22.5911466588
8.1,0.0165202679636,22.6421065298,22.7658345643,22.5911466588
8.2,0.0165202679636,22.6653999108,22.7658345643,22.5911466588
8.3,0.0229672018031,22.6421065298,22.7658345643,22.5911466588
8.4,0.0229672018031,22.6653999108,22.7658345643,22.5911466588
8.5,0.0229672018031,22.6421065298,22.7658345643,22.5911466588
8.6,0.0229672018031,22.6653999108,22.7658345643,22.5911466588
8.7,0.0229672018031,22.6421065298,22.7658345643,22.5911466588
