"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.024176001898,20.7621278953,20.7723927905,20.7841234886
0.1,0.00443226701464,20.7371967812,20.7489294384,20.7122627036
0.2,-0.0024176001898,20.7371967812,20.7489294384,20.7357301529
0.3,0.00443226701464,20.7137294963,20.7489294384,20.7357301529
0.4,-0.0024176001898,20.7371967812,20.7005279901,20.760661441
0.5,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
0.6,0.00443226701464,20.7371967812,20.7489294384,20.7357301529
0.7,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
0.8,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
0.9,0.00443226701464,20.7137294963,20.7489294384,20.7357301529
1,-0.0153114678687,20.7371967812,20.7489294384,20.7357301529
1.1,-0.0024176001898,20.7137294963,20.7489294384,20.760661441
1.2,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
1.3,-0.00886453402927,20.7137294963,20.7489294384,20.7357301529
1.4,0.00443226701464,20.7137294963,20.7489294384,20.7357301529
1.5,-0.0024176001898,20.7137294963,20.7005279901,20.760661441
1.6,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
1.7,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
1.8,-0.0024176001898,20.7137294963,20.7489294384,20.760661441
1.9,0.00443226701464,20.6887926153,20.7239967573,20.760661441
2,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
2.1,-0.0024176001898,20.7371967812,20.7489294384,20.7357301529
2.2,-0.0024176001898,20.6887926153,20.7723927905,20.7357301529
2.3,-0.0024176001898,20.7137294963,20.7489294384,20.760661441
2.4,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
2.5,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
2.6,0.00443226701464,20.7137294963,20.7723927905,20.760661441
2.7,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
2.8,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
2.9,-0.00886453402927,20.7137294963,20.7489294384,20.7357301529
3,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
3.1,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
3.2,-0.0024176001898,20.7137294963,20.7489294384,20.7122627036
3.3,-0.0024176001898,20.6887926153,20.7489294384,20.7357301529
3.4,-0.00886453402927,20.7137294963,20.7005279901,20.7357301529
3.5,-0.0024176001898,20.7137294963,20.7239967573,20.7122627036
3.6,-0.0024176001898,20.7137294963,20.7489294384,20.760661441
3.7,0.00443226701464,20.6887926153,20.7489294384,20.7357301529
3.8,-0.0024176001898,20.7137294963,20.7239967573,20.760661441
3.9,-0.00886453402927,20.7137294963,20.7489294384,20.7122627036
4,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
4.1,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
4.2,0.0108792008541,20.7137294963,20.7489294384,20.7357301529
4.3,0.0173261346936,20.7137294963,20.7489294384,20.7357301529
4.4,-0.00886453402927,20.7371967812,20.7489294384,20.7122627036
4.5,-0.0024176001898,20.7137294963,20.7005279901,20.7357301529
4.6,-0.0024176001898,20.7137294963,20.7239967573,20.7122627036
4.7,0.00443226701464,20.7137294963,20.7239967573,20.760661441
4.8,-0.0024176001898,20.6887926153,20.7489294384,20.7357301529
4.9,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
5,0.0108792008541,20.7137294963,20.7005279901,20.7122627036
5.1,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
5.2,-0.0024176001898,20.6887926153,20.7489294384,20.7357301529
5.3,-0.00886453402927,20.6887926153,20.7005279901,20.7357301529
5.4,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
5.5,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
5.6,0.00443226701464,20.6887926153,20.7239967573,20.7357301529
5.7,-0.00886453402927,20.7137294963,20.7005279901,20.7357301529
5.8,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
5.9,-0.00886453402927,20.7137294963,20.7239967573,20.7122627036
6,-0.00886453402927,20.7137294963,20.7489294384,20.7357301529
6.1,0.00443226701464,20.7137294963,20.7489294384,20.6873256469
6.2,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
6.3,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
6.4,0.00443226701464,20.7137294963,20.7005279901,20.760661441
6.5,0.00443226701464,20.7137294963,20.7489294384,20.7122627036
6.6,-0.0024176001898,20.7137294963,20.7239967573,20.7122627036
6.7,0.0173261346936,20.6887926153,20.7489294384,20.7357301529
6.8,-0.00886453402927,20.7137294963,20.7005279901,20.7122627036
6.9,-0.00886453402927,20.7137294963,20.7239967573,20.7357301529
7,0.00443226701464,20.7137294963,20.7239967573,20.7357301529
7.1,-0.0024176001898,20.6887926153,20.7489294384,20.7357301529
7.2,0.00443226701464,20.7137294963,20.7489294384,20.7357301529
7.3,-0.0024176001898,20.7137294963,20.7239967573,20.7122627036
7.4,-0.0024176001898,20.7371967812,20.7489294384,20.7357301529
7.5,0.00443226701464,20.7137294963,20.7239967573,20.7357301529
7.6,0.00443226701464,20.7137294963,20.7239967573,20.7122627036
7.7,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
7.8,0.00443226701464,20.7137294963,20.7489294384,20.7357301529
7.9,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
8,-0.0024176001898,20.7137294963,20.7239967573,20.7122627036
8.1,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
8.2,-0.0024176001898,20.6887926153,20.7239967573,20.7357301529
8.3,-0.0024176001898,20.7137294963,20.7005279901,20.760661441
8.4,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
8.5,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
8.6,0.00443226701464,20.7137294963,20.7239967573,20.7357301529
8.7,-0.00886453402927,20.7137294963,20.7239967573,20.760661441
8.8,0.0108792008541,20.7137294963,20.7239967573,20.7357301529
8.9,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
9,-0.0024176001898,20.7137294963,20.7489294384,20.7357301529
9.1,0.0108792008541,20.7137294963,20.7239967573,20.7122627036
9.2,0.00443226701464,20.7137294963,20.7239967573,20.7357301529
9.3,-0.0024176001898,20.7371967812,20.7239967573,20.760661441
9.4,-0.00886453402927,20.7137294963,20.7239967573,20.7357301529
9.5,-0.00886453402927,20.7137294963,20.7239967573,20.7122627036
9.6,0.00443226701464,20.7137294963,20.7489294384,20.760661441
9.7,0.0108792008541,20.7137294963,20.7489294384,20.760661441
9.8,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
9.9,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
10,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
10.1,0.00443226701464,20.6887926153,20.7239967573,20.7357301529
10.2,-0.0024176001898,20.7137294963,20.7239967573,20.760661441
10.3,0.00443226701464,20.7137294963,20.7239967573,20.7357301529
10.4,0.00443226701464,20.7137294963,20.7239967573,20.7357301529
10.5,0.00443226701464,20.7137294963,20.7239967573,20.7357301529
10.6,0.0108792008541,20.7137294963,20.7239967573,20.760661441
10.7,-0.0024176001898,20.6887926153,20.7239967573,20.760661441
10.8,-0.00886453402927,20.7137294963,20.7239967573,20.760661441
10.9,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
11,-0.0024176001898,20.7137294963,20.7005279901,20.7122627036
11.1,0.00443226701464,20.7137294963,20.7239967573,20.760661441
11.2,0.0108792008541,20.7137294963,20.7239967573,20.760661441
11.3,0.00443226701464,20.7137294963,20.7005279901,20.760661441
11.4,-0.0024176001898,20.7137294963,20.7005279901,20.7357301529
11.5,-0.00886453402927,20.7137294963,20.7005279901,20.7357301529
11.6,-0.0024176001898,20.6887926153,20.7239967573,20.760661441
11.7,-0.00886453402927,20.7137294963,20.7239967573,20.760661441
11.8,-0.0024176001898,20.7137294963,20.7239967573,20.760661441
11.9,-0.00886453402927,20.7137294963,20.7005279901,20.7357301529
12,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
12.1,-0.00886453402927,20.7137294963,20.7005279901,20.760661441
12.2,0.00443226701464,20.7137294963,20.7005279901,20.760661441
12.3,-0.0024176001898,20.7137294963,20.7239967573,20.760661441
12.4,-0.0024176001898,20.7137294963,20.7005279901,20.7357301529
12.5,-0.0024176001898,20.7137294963,20.7005279901,20.7122627036
12.6,-0.00886453402927,20.7137294963,20.7005279901,20.7357301529
12.7,-0.0024176001898,20.7137294963,20.7005279901,20.760661441
12.8,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
12.9,-0.0024176001898,20.7137294963,20.7239967573,20.7357301529
13,-0.0024176001898,20.7137294963,20.7239967573,20.760661441
13.1,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
13.2,-0.0024176001898,20.7371967812,20.7005279901,20.7357301529
13.3,-0.0024176001898,20.7371967812,20.7005279901,20.760661441
13.4,0.00443226701464,20.7137294963,20.7005279901,20.7357301529
13.5,-0.0024176001898,20.7137294963,20.7005279901,20.760661441
13.6,-0.0024176001898,20.7371967812,20.7005279901,20.7122627036
