"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0217584017082,21.9687703294,22.0956830836,21.9906559107
0.1,0.0084616006643,21.9439645908,21.999409664,21.9425053606
0.2,0.0084616006643,21.920615982,21.999409664,21.9176972668
0.3,0.0084616006643,21.9439645908,21.999409664,21.9176972668
0.4,0.0084616006643,21.920615982,21.999409664,21.9176972668
0.5,0.0084616006643,21.9439645908,21.999409664,21.9425053606
0.6,0.0084616006643,21.920615982,21.999409664,21.9425053606
0.7,0.0084616006643,21.920615982,21.9746066522,21.9425053606
0.8,0.0084616006643,21.920615982,21.999409664,21.9176972668
0.9,0.0084616006643,21.920615982,21.999409664,21.9176972668
1,0.0084616006643,21.920615982,21.999409664,21.9176972668
1.1,0.0084616006643,21.920615982,21.9746066522,21.9425053606
1.2,0.0084616006643,21.920615982,21.9746066522,21.9176972668
1.3,0.0217584017082,21.920615982,21.9746066522,21.9425053606
1.4,0.0084616006643,21.920615982,21.9746066522,21.9176972668
1.5,0.0084616006643,21.920615982,21.9746066522,21.9176972668
1.6,0.00201466682483,21.920615982,21.9746066522,21.9176972668
1.7,0.0084616006643,21.920615982,21.9746066522,21.9176972668
1.8,0.0084616006643,21.920615982,21.999409664,21.9176972668
1.9,0.0084616006643,21.920615982,21.999409664,21.9425053606
2,0.0084616006643,21.920615982,21.9746066522,21.9176972668
2.1,0.0217584017082,21.920615982,21.9746066522,21.9176972668
2.2,0.0084616006643,21.920615982,21.9746066522,21.9176972668
2.3,0.0217584017082,21.920615982,21.9746066522,21.9176972668
2.4,0.0153114678687,21.920615982,21.9746066522,21.9176972668
2.5,0.0084616006643,21.920615982,21.999409664,21.9176972668
2.6,0.0084616006643,21.920615982,21.9746066522,21.9176972668
2.7,0.0084616006643,21.920615982,21.9746066522,21.9176972668
2.8,0.0153114678687,21.920615982,21.9746066522,21.9176972668
2.9,0.0217584017082,21.920615982,21.9746066522,21.9176972668
3,0.0084616006643,21.920615982,21.9746066522,21.9176972668
3.1,0.0084616006643,21.920615982,21.9746066522,21.9176972668
3.2,0.0153114678687,21.920615982,21.9746066522,21.9176972668
3.3,0.0084616006643,21.920615982,21.9746066522,21.9176972668
3.4,0.0084616006643,21.920615982,21.9746066522,21.9176972668
3.5,0.0153114678687,21.920615982,21.999409664,21.9176972668
3.6,0.0153114678687,21.920615982,21.9746066522,21.9176972668
3.7,0.0084616006643,21.920615982,21.9746066522,21.9176972668
3.8,0.0084616006643,21.920615982,21.9746066522,21.9176972668
3.9,0.0153114678687,21.920615982,21.9746066522,21.9176972668
4,0.0084616006643,21.920615982,21.9746066522,21.9176972668
4.1,0.0084616006643,21.920615982,21.9746066522,21.9176972668
4.2,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
4.3,0.0084616006643,21.920615982,21.9746066522,21.9176972668
4.4,0.0084616006643,21.920615982,21.9746066522,21.9176972668
4.5,0.0153114678687,21.920615982,21.9746066522,21.9176972668
4.6,0.0084616006643,21.920615982,21.999409664,21.9176972668
4.7,0.00201466682483,21.920615982,21.9746066522,21.9176972668
4.8,0.0084616006643,21.920615982,21.9746066522,21.9176972668
4.9,0.0084616006643,21.920615982,21.9746066522,21.9176972668
5,0.0084616006643,21.920615982,21.9746066522,21.9176972668
5.1,0.00201466682483,21.8958059126,21.9746066522,21.9176972668
5.2,0.00201466682483,21.920615982,21.9746066522,21.9176972668
5.3,0.0084616006643,21.920615982,21.9746066522,21.9176972668
5.4,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
5.5,0.00201466682483,21.920615982,21.9746066522,21.9176972668
5.6,0.00201466682483,21.920615982,21.9746066522,21.9176972668
5.7,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
5.8,0.0084616006643,21.920615982,21.9746066522,21.9176972668
5.9,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
6,0.0217584017082,21.8958059126,21.9746066522,21.9176972668
6.1,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
6.2,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
6.3,0.0084616006643,21.8958059126,21.9512606265,21.9176972668
6.4,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
6.5,-0.00443226701464,21.8958059126,21.999409664,21.9176972668
6.6,0.00201466682483,21.8958059126,21.9746066522,21.9176972668
6.7,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
6.8,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
6.9,0.00201466682483,21.8958059126,21.9746066522,21.9176972668
7,0.0084616006643,21.8958059126,21.9746066522,21.8943464268
7.1,0.00201466682483,21.8958059126,21.9746066522,21.9176972668
7.2,0.0153114678687,21.8958059126,21.9746066522,21.9176972668
7.3,0.00201466682483,21.8724532013,21.9746066522,21.9176972668
7.4,0.0084616006643,21.8958059126,21.9746066522,21.9176972668
7.5,0.0084616006643,21.8958059126,21.9746066522,21.8943464268
7.6,0.00201466682483,21.8724532013,21.9746066522,21.9176972668
7.7,0.0153114678687,21.8724532013,21.9746066522,21.9176972668
7.8,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
7.9,0.00201466682483,21.8724532013,21.9746066522,21.9176972668
8,0.0153114678687,21.8724532013,21.9746066522,21.8943464268
8.1,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
8.2,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
8.3,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
8.4,0.00201466682483,21.8958059126,21.9746066522,21.9176972668
8.5,0.0084616006643,21.8724532013,21.9512606265,21.9176972668
8.6,0.00201466682483,21.8724532013,21.9746066522,21.9176972668
8.7,-0.00443226701464,21.8724532013,21.999409664,21.9176972668
8.8,0.00201466682483,21.8724532013,21.9746066522,21.8943464268
8.9,0.0084616006643,21.8724532013,21.9746066522,21.8943464268
9,0.0084616006643,21.8476387448,21.9746066522,21.9176972668
9.1,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
9.2,0.00201466682483,21.8724532013,21.9746066522,21.8943464268
9.3,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
9.4,0.0153114678687,21.8724532013,21.9746066522,21.9176972668
9.5,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
9.6,-0.00443226701464,21.8724532013,21.9746066522,21.9176972668
9.7,0.0084616006643,21.8724532013,21.9746066522,21.8943464268
9.8,0.00201466682483,21.8724532013,21.9746066522,21.9176972668
9.9,0.0084616006643,21.8724532013,21.9746066522,21.9176972668
10,-0.00443226701464,21.8724532013,21.9746066522,21.9176972668
10.1,0.0084616006643,21.8724532013,21.9746066522,21.8943464268
10.2,0.0084616006643,21.8724532013,21.9746066522,21.8943464268
10.3,0.00201466682483,21.8724532013,21.9746066522,21.8943464268
10.4,0.0084616006643,21.8724532013,21.9746066522,21.8943464268
10.5,0.00201466682483,21.8724532013,21.9746066522,21.8943464268
10.6,0.0217584017082,21.8724532013,21.9746066522,21.8943464268
10.7,0.0084616006643,21.8476387448,21.9746066522,21.8943464268
10.8,0.0084616006643,21.8724532013,21.9746066522,21.8943464268
10.9,-0.00443226701464,21.8724532013,21.9746066522,21.8695339714
11,0.0084616006643,21.8724532013,21.9512606265,21.8695339714
11.1,0.0084616006643,21.8724532013,21.9746066522,21.8943464268
11.2,0.00201466682483,21.8724532013,21.9746066522,21.8943464268
11.3,0.0084616006643,21.8724532013,21.9746066522,21.8695339714
11.4,0.0084616006643,21.8724532013,21.9512606265,21.8695339714
11.5,0.0350552027521,21.8724532013,21.9512606265,21.8943464268
11.6,0.00201466682483,21.8724532013,21.9746066522,21.8943464268
11.7,-0.0177290680585,21.8724532013,21.9512606265,21.8695339714
11.8,-0.0112821342191,21.8724532013,21.9512606265,21.8695339714
11.9,0.00201466682483,21.8724532013,21.9512606265,21.8695339714
12,0.0084616006643,21.8724532013,21.9279126346,21.8695339714
12.1,0.00201466682483,21.8724532013,21.9279126346,21.8695339714
12.2,-0.0112821342191,21.8724532013,21.9512606265,21.8695339714
12.3,-0.0177290680585,21.8724532013,21.9279126346,21.846179
12.4,-0.00443226701464,21.8476387448,21.9279126346,21.8695339714
12.5,0.0547989376355,21.8724532013,21.9512606265,21.8695339714
12.6,-0.024578935263,21.8724532013,21.9279126346,21.8213621267
12.7,0.00201466682483,21.8724532013,21.9279126346,21.8695339714
12.8,-0.0112821342191,21.8724532013,21.9279126346,21.846179
12.9,-0.0112821342191,21.8724532013,21.9279126346,21.846179
13,-0.00443226701464,21.8724532013,21.9279126346,21.8213621267
13.1,-0.00443226701464,21.7994629779,21.9279126346,21.846179
13.2,0.0084616006643,21.8242818779,21.9279126346,21.8213621267
13.3,-0.00443226701464,21.8724532013,21.9279126346,21.846179
13.4,0.00201466682483,21.8476387448,21.9279126346,21.846179
13.5,-0.024578935263,21.8724532013,21.9279126346,21.8213621267
13.6,0.061245871475,21.8242818779,21.9279126346,21.846179
13.7,0.0217584017082,21.8724532013,21.9279126346,21.8213621267
13.8,0.0084616006643,21.8724532013,21.9512606265,21.8213621267
13.9,0.0084616006643,21.8724532013,21.9279126346,21.8213621267
14,0.0878394735628,21.8476387448,21.9279126346,21.846179
14.1,0.0084616006643,21.8724532013,21.9279126346,21.8695339714
14.2,0.0547989376355,21.8476387448,21.9279126346,21.8695339714
14.3,0.0479490704311,21.8724532013,21.9512606265,21.8695339714
14.4,0.0282053355477,21.8476387448,21.9279126346,21.8695339714
14.5,0.0350552027521,21.8724532013,21.9512606265,21.8695339714
14.6,0.0217584017082,21.8724532013,21.9279126346,21.846179
