"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0467402703362,22.6901473869,22.7658345643,23.501544518
0.1,0.0201466682483,22.6653999108,22.7425479504,23.478300665
0.2,0.0334434692923,22.6653999108,22.7425479504,23.4550556436
0.3,0.0269965354528,22.6653999108,22.7178042255,23.4550556436
0.4,0.0269965354528,22.6653999108,22.7178042255,23.4550556436
0.5,0.0269965354528,22.6653999108,22.7425479504,23.4550556436
0.6,0.0269965354528,22.6421065298,22.7425479504,23.4550556436
0.7,0.0398904031317,22.6421065298,22.7178042255,23.4550556436
0.8,0.0334434692923,22.6653999108,22.7425479504,23.4550556436
0.9,0.0269965354528,22.6901473869,22.7425479504,23.4550556436
1,0.0334434692923,22.6653999108,22.7425479504,23.4550556436
1.1,0.0398904031317,22.6421065298,22.7178042255,23.4550556436
1.2,0.0269965354528,22.6421065298,22.7425479504,23.4550556436
1.3,0.0269965354528,22.6421065298,22.7425479504,23.4550556436
1.4,0.0201466682483,22.6653999108,22.7425479504,23.4550556436
1.5,0.0269965354528,22.6653999108,22.7425479504,23.4550556436
1.6,0.0398904031317,22.6421065298,22.7178042255,23.4550556436
1.7,0.0269965354528,22.6653999108,22.7425479504,23.4550556436
1.8,0.0269965354528,22.6421065298,22.7425479504,23.4550556436
1.9,0.0334434692923,22.6653999108,22.7425479504,23.4550556436
2,0.0269965354528,22.6653999108,22.7425479504,23.4550556436
2.1,0.0334434692923,22.6421065298,22.7425479504,23.4550556436
2.2,0.0398904031317,22.6653999108,22.7425479504,23.4550556436
2.3,0.0269965354528,22.6653999108,22.7425479504,23.4550556436
2.4,0.0398904031317,22.6421065298,22.7425479504,23.4550556436
2.5,0.0269965354528,22.6653999108,22.7425479504,23.4550556436
2.6,0.0398904031317,22.6653999108,22.7425479504,23.4550556436
2.7,0.0269965354528,22.6653999108,22.7425479504,23.4550556436
2.8,0.0201466682483,22.6653999108,22.7425479504,23.4550556436
2.9,0.0269965354528,22.6653999108,22.7178042255,23.4550556436
3,0.0334434692923,22.6901473869,22.7425479504,23.4550556436
3.1,0.0334434692923,22.6653999108,22.7178042255,23.4550556436
3.2,0.0269965354528,22.6653999108,22.7178042255,23.4550556436
3.3,0.0269965354528,22.6421065298,22.7178042255,23.4550556436
3.4,0.0398904031317,22.6653999108,22.7178042255,23.4550556436
3.5,0.0201466682483,22.6653999108,22.7178042255,23.4550556436
3.6,0.0269965354528,22.6421065298,22.6945144034,23.4550556436
3.7,0.0334434692923,22.6653999108,22.7178042255,23.4550556436
3.8,0.0269965354528,22.6653999108,22.7178042255,23.4550556436
3.9,0.0334434692923,22.6653999108,22.7178042255,23.4303565147
4,0.0269965354528,22.6901473869,22.7178042255,23.4303565147
4.1,0.0334434692923,22.6653999108,22.6945144034,23.4303565147
4.2,0.0269965354528,22.6653999108,22.7178042255,23.4550556436
4.3,0.0269965354528,22.6901473869,22.7425479504,23.4303565147
4.4,0.0398904031317,22.6653999108,22.7178042255,23.4550556436
4.5,0.0269965354528,22.6901473869,22.7178042255,23.4071090456
