"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0173261346936,25.3003404972,24.6523589883,25.3438194074
0.1,0.00443226701464,25.2757020634,24.604506793,25.2959925592
0.2,0.0108792008541,25.2757020634,24.5813048206,25.3206307599
0.3,-0.0024176001898,25.2757020634,24.604506793,25.3206307599
0.4,-0.0024176001898,25.2757020634,24.604506793,25.2959925592
0.5,-0.0024176001898,25.2757020634,24.604506793,25.2959925592
0.6,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
0.7,-0.0024176001898,25.2757020634,24.604506793,25.2959925592
0.8,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
0.9,-0.0024176001898,25.2757020634,24.604506793,25.2959925592
1,-0.0024176001898,25.2757020634,24.604506793,25.3206307599
1.1,-0.0024176001898,25.2757020634,24.604506793,25.3206307599
1.2,-0.0153114678687,25.2757020634,24.604506793,25.3206307599
1.3,0.00443226701464,25.2757020634,24.604506793,25.3206307599
1.4,-0.0024176001898,25.2757020634,24.604506793,25.3206307599
1.5,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
1.6,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
1.7,0.00443226701464,25.2757020634,24.604506793,25.2959925592
1.8,-0.0024176001898,25.2757020634,24.604506793,25.3206307599
1.9,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
2,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
2.1,-0.0024176001898,25.2757020634,24.604506793,25.3206307599
2.2,0.00443226701464,25.2757020634,24.604506793,25.3206307599
2.3,-0.0221613350732,25.2757020634,24.604506793,25.3206307599
2.4,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
2.5,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
2.6,0.0108792008541,25.2757020634,24.604506793,25.3206307599
2.7,0.0108792008541,25.2757020634,24.604506793,25.3206307599
2.8,0.0108792008541,25.2757020634,24.604506793,25.3206307599
2.9,-0.0024176001898,25.2757020634,24.604506793,25.3206307599
3,-0.00886453402927,25.2757020634,24.5813048206,25.3206307599
3.1,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
3.2,-0.00886453402927,25.2757020634,24.604506793,25.3206307599
3.3,0.00443226701464,25.2757020634,24.604506793,25.2959925592
3.4,-0.00886453402927,25.2757020634,24.5813048206,25.2959925592
3.5,-0.00886453402927,25.2757020634,24.604506793,25.2959925592
3.6,-0.00886453402927,25.2757020634,24.604506793,25.2959925592
3.7,-0.00886453402927,25.2525126795,24.604506793,25.2959925592
3.8,-0.00886453402927,25.2525126795,24.5813048206,25.3206307599
3.9,-0.00886453402927,25.2525126795,24.604506793,25.2959925592
4,-0.00886453402927,25.2757020634,24.604506793,25.2959925592
4.1,-0.00886453402927,25.2525126795,24.5813048206,25.2959925592
4.2,0.00443226701464,25.2525126795,24.5813048206,25.2959925592
4.3,-0.00886453402927,25.2757020634,24.5813048206,25.2959925592
4.4,0.0108792008541,25.2525126795,24.5813048206,25.272803405
4.5,-0.00886453402927,25.2525126795,24.5813048206,25.2959925592
4.6,-0.00886453402927,25.2525126795,24.5813048206,25.2959925592
4.7,-0.00886453402927,25.2525126795,24.5813048206,25.2959925592
4.8,-0.0024176001898,25.2525126795,24.5813048206,25.272803405
4.9,-0.00886453402927,25.2525126795,24.5813048206,25.272803405
5,0.0108792008541,25.2525126795,24.5813048206,25.2959925592
5.1,-0.00886453402927,25.2525126795,24.5813048206,25.272803405
5.2,-0.00886453402927,25.2525126795,24.5813048206,25.272803405
5.3,-0.0153114678687,25.2525126795,24.5813048206,25.272803405
5.4,-0.0153114678687,25.2525126795,24.5566520575,25.272803405
5.5,-0.00886453402927,25.2525126795,24.5813048206,25.272803405
5.6,0.00443226701464,25.2525126795,24.5566520575,25.272803405
5.7,-0.0024176001898,25.2525126795,24.5566520575,25.272803405
5.8,-0.0024176001898,25.2525126795,24.5813048206,25.272803405
5.9,-0.00886453402927,25.2525126795,24.5566520575,25.272803405
6,-0.0024176001898,25.2525126795,24.5813048206,25.272803405
6.1,0.00443226701464,25.2525126795,24.5813048206,25.272803405
6.2,0.00443226701464,25.2525126795,24.5813048206,25.272803405
6.3,-0.0024176001898,25.2278736592,24.5813048206,25.272803405
6.4,-0.00886453402927,25.2278736592,24.5334488166,25.272803405
6.5,-0.0024176001898,25.2525126795,24.5566520575,25.272803405
6.6,-0.00886453402927,25.2278736592,24.5566520575,25.272803405
6.7,-0.0153114678687,25.2278736592,24.5813048206,25.272803405
6.8,-0.0024176001898,25.2278736592,24.5813048206,25.272803405
6.9,-0.00886453402927,25.2278736592,24.5813048206,25.272803405
7,-0.0024176001898,25.2525126795,24.5566520575,25.272803405
7.1,-0.00886453402927,25.2525126795,24.5813048206,25.272803405
7.2,-0.00886453402927,25.2525126795,24.5813048206,25.272803405
7.3,-0.00886453402927,25.2525126795,24.5566520575,25.272803405
7.4,0.0108792008541,25.2278736592,24.5566520575,25.2959925592
7.5,-0.0024176001898,25.2525126795,24.5813048206,25.272803405
7.6,-0.0024176001898,25.2278736592,24.5566520575,25.272803405
