"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-0.0286082689126,25.9220422318,25.6771366866,25.2003355484
0.1,-0.0286082689126,25.8974066929,25.653950211,25.1771452337
0.2,-0.0350552027521,25.8974066929,25.653950211,25.2003355484
0.3,-0.0350552027521,25.8974066929,25.653950211,25.2003355484
0.4,-0.0419050699566,25.8974066929,25.653950211,25.2003355484
0.5,-0.048352003796,25.8974066929,25.653950211,25.2003355484
0.6,-0.0286082689126,25.8974066929,25.653950211,25.2003355484
0.7,-0.0350552027521,25.8974066929,25.653950211,25.2003355484
0.8,-0.0286082689126,25.8974066929,25.653950211,25.22497493
0.9,-0.0419050699566,25.8974066929,25.6771366866,25.22497493
1,-0.0350552027521,25.8974066929,25.6771366866,25.22497493
1.1,-0.0350552027521,25.8974066929,25.6771366866,25.2481646399
1.2,-0.0286082689126,25.8974066929,25.6771366866,25.2481646399
1.3,-0.048352003796,25.9220422318,25.6771366866,25.2481646399
1.4,-0.0286082689126,25.9220422318,25.6771366866,25.2481646399
1.5,-0.0419050699566,25.9220422318,25.6771366866,25.272803405
1.6,-0.0419050699566,25.9220422318,25.7017722483,25.272803405
1.7,-0.0419050699566,25.9452286812,25.724958607,25.272803405
1.8,-0.0350552027521,25.9452286812,25.724958607,25.272803405
1.9,-0.048352003796,25.9220422318,25.7017722483,25.272803405
2,-0.048352003796,25.9220422318,25.724958607,25.272803405
2.1,-0.048352003796,25.9220422318,25.724958607,25.2959925592
2.2,-0.0350552027521,25.9452286812,25.7495940704,25.2959925592
2.3,-0.0419050699566,25.9452286812,25.724958607,25.2959925592
2.4,-0.048352003796,25.9452286812,25.7495940704,25.2959925592
2.5,-0.0286082689126,25.9220422318,25.7495940704,25.2959925592
2.6,-0.0350552027521,25.9452286812,25.7495940704,25.3206307599
2.7,-0.0419050699566,25.9452286812,25.7495940704,25.3206307599
2.8,-0.0350552027521,25.9452286812,25.7495940704,25.3206307599
2.9,-0.048352003796,25.9452286812,25.7495940704,25.3206307599
3,-0.0419050699566,25.9452286812,25.7495940704,25.3438194074
3.1,-0.0350552027521,25.9452286812,25.7495940704,25.3206307599
3.2,-0.0221613350732,25.9452286812,25.7727803608,25.3438194074
3.3,-0.0350552027521,25.9698643603,25.7727803608,25.3670078269
3.4,-0.0419050699566,25.9452286812,25.7495940704,25.3670078269
3.5,-0.0286082689126,25.9698643603,25.7495940704,25.3670078269
3.6,-0.0419050699566,25.9452286812,25.7727803608,25.3670078269
3.7,-0.0419050699566,25.9452286812,25.7974157778,25.3670078269
3.8,-0.0350552027521,25.9452286812,25.7974157778,25.3670078269
3.9,-0.0286082689126,25.9698643603,25.7974157778,25.3670078269
4,-0.0350552027521,25.9698643603,25.7974157778,25.3916452857
4.1,-0.0419050699566,25.9698643603,25.7974157778,25.3670078269
4.2,-0.0419050699566,25.9698643603,25.8206020488,25.3916452857
4.3,-0.0350552027521,25.9698643603,25.7974157778,25.3916452857
4.4,-0.0350552027521,25.9698643603,25.7974157778,25.3916452857
4.5,-0.0286082689126,25.9698643603,25.8206020488,25.4148332712
4.6,-0.048352003796,25.9698643603,25.8206020488,25.3916452857
4.7,-0.048352003796,25.9698643603,25.8206020488,25.439470295
4.8,-0.048352003796,25.9698643603,25.8206020488,25.4148332712
4.9,-0.0350552027521,25.9698643603,25.8206020488,25.439470295
5,-0.0350552027521,25.9698643603,25.8206020488,25.439470295
5.1,-0.0419050699566,25.9698643603,25.8206020488,25.439470295
5.2,-0.0286082689126,25.9698643603,25.8206020488,25.4626578956
5.3,-0.0419050699566,25.9698643603,25.8206020488,25.4626578956
5.4,-0.0286082689126,25.9930509658,25.8206020488,25.439470295
5.5,-0.0286082689126,25.9698643603,25.8206020488,25.4626578956
5.6,-0.0350552027521,25.9930509658,25.8206020488,25.4626578956
5.7,-0.0419050699566,25.9930509658,25.8206020488,25.4626578956
5.8,-0.0419050699566,25.9698643603,25.843788328,25.4626578956
5.9,-0.0350552027521,25.9698643603,25.843788328,25.4626578956
6,-0.048352003796,25.9930509658,25.843788328,25.4872945363
6.1,-0.0350552027521,25.9698643603,25.843788328,25.4872945363
6.2,-0.0286082689126,25.9930509658,25.843788328,25.4872945363
6.3,-0.0350552027521,25.9930509658,25.843788328,25.4872945363
