"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.00684986720444,19.7181870287,19.8788341054,19.7904226367
0.1,-0.0060440004745,19.694593412,19.8051609461,19.7417774463
0.2,0.000402933364967,19.694593412,19.8051609461,19.7417774463
0.3,-0.0128938676789,19.694593412,19.8051609461,19.7417774463
0.4,-0.0128938676789,19.694593412,19.8051609461,19.7417774463
0.5,-0.0128938676789,19.694593412,19.8051609461,19.7417774463
0.6,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
0.7,-0.0060440004745,19.694593412,19.8051609461,19.7417774463
0.8,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
0.9,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
1,-0.0060440004745,19.6695216737,19.8051609461,19.7417774463
1.1,-0.0060440004745,19.6695216737,19.8051609461,19.7417774463
1.2,-0.0128938676789,19.694593412,19.8051609461,19.7417774463
1.3,-0.0060440004745,19.6695216737,19.8051609461,19.7417774463
1.4,-0.0060440004745,19.6695216737,19.8051609461,19.7417774463
1.5,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
1.6,-0.0060440004745,19.6695216737,19.8051609461,19.7417774463
1.7,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
1.8,0.000402933364967,19.6459214159,19.7815790593,19.7417774463
1.9,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
2,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
2.1,-0.0193408015184,19.6695216737,19.7815790593,19.7417774463
2.2,-0.0193408015184,19.6695216737,19.8051609461,19.7417774463
2.3,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
2.4,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
2.5,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
2.6,-0.0193408015184,19.6695216737,19.8051609461,19.7417774463
2.7,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
2.8,-0.0060440004745,19.6695216737,19.8051609461,19.7181870287
2.9,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
3,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
3.1,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
3.2,-0.0257877353579,19.6695216737,19.7815790593,19.7417774463
3.3,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
3.4,-0.0128938676789,19.6695216737,19.7815790593,19.7417774463
3.5,-0.0060440004745,19.6695216737,19.8051609461,19.7417774463
3.6,-0.0257877353579,19.6695216737,19.7815790593,19.7417774463
3.7,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
3.8,-0.0193408015184,19.6695216737,19.7815790593,19.7417774463
3.9,-0.0257877353579,19.6695216737,19.8051609461,19.7181870287
4,-0.0128938676789,19.6459214159,19.7815790593,19.7417774463
4.1,-0.0257877353579,19.6695216737,19.7815790593,19.7417774463
4.2,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
4.3,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
4.4,-0.0193408015184,19.6695216737,19.8051609461,19.7417774463
4.5,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
4.6,-0.0257877353579,19.6695216737,19.7815790593,19.7417774463
4.7,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
4.8,-0.0257877353579,19.6695216737,19.7815790593,19.7417774463
4.9,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
5,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
5.1,-0.0257877353579,19.6695216737,19.7815790593,19.7417774463
5.2,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
5.3,-0.0193408015184,19.6695216737,19.7815790593,19.7417774463
5.4,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
5.5,-0.0128938676789,19.6695216737,19.8051609461,19.7181870287
5.6,-0.0193408015184,19.6695216737,19.8051609461,19.7417774463
5.7,-0.0128938676789,19.6695216737,19.7815790593,19.7417774463
5.8,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
5.9,-0.0193408015184,19.6695216737,19.7815790593,19.7181870287
6,-0.0257877353579,19.6459214159,19.7815790593,19.7417774463
6.1,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
6.2,-0.0128938676789,19.6695216737,19.8051609461,19.7417774463
6.3,-0.0257877353579,19.6695216737,19.7815790593,19.7181870287
6.4,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
6.5,-0.0257877353579,19.6695216737,19.8051609461,19.7417774463
