"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-1.0419856818,32.4921763401,33.5631371831,33.020815237
0.1,-1.05528248285,32.4685232631,33.5140252205,32.9970857389
0.2,-1.05528248285,32.394628512,33.5393232859,32.9970857389
0.3,-1.06172941669,32.4433954673,33.5393232859,32.9970857389
0.4,-1.04843261564,32.4921763401,33.5393232859,32.9970857389
0.5,-1.06817635053,32.5173113467,33.5393232859,32.9970857389
0.6,-1.05528248285,32.4921763401,33.5393232859,33.020815237
0.7,-1.05528248285,32.4921763401,33.5393232859,32.9970857389
0.8,-1.05528248285,32.4921763401,33.5393232859,32.9970857389
0.9,-1.04843261564,32.5173113467,33.5631371831,33.020815237
1,-1.06817635053,32.4921763401,33.5393232859,33.020815237
1.1,-1.06172941669,32.4921763401,33.5631371831,32.9718770412
1.2,-1.06817635053,32.4921763401,33.5631371831,33.020815237
1.3,-1.05528248285,32.4197491513,33.5869549264,33.0460317366
1.4,-1.06817635053,32.4921763401,33.5393232859,33.0697686035
1.5,-1.06172941669,32.4921763401,33.5869549264,33.0697686035
1.6,-1.05528248285,32.5173113467,33.5869549264,33.0697686035
1.7,-1.05528248285,32.4685232631,33.6122655065,33.0697686035
1.8,-1.06817635053,32.5173113467,33.6122655065,33.0697686035
1.9,-1.04843261564,32.5173113467,33.6122655065,33.0697686035
2,-1.05528248285,32.5173113467,33.6122655065,33.0697686035
2.1,-1.04843261564,32.5173113467,33.6122655065,33.0949929599
2.2,-1.04843261564,32.5173113467,33.6122655065,33.0697686035
2.3,-1.05528248285,32.5173113467,33.6122655065,33.1187372474
2.4,-1.06172941669,32.5173113467,33.6122655065,33.1439695159
2.5,-1.05528248285,32.5173113467,33.5631371831,33.1677212759
2.6,-1.06172941669,32.5173113467,33.6122655065,33.1677212759
2.7,-1.04843261564,32.5409712359,33.6360912213,33.1929615115
2.8,-1.05528248285,32.4433954673,33.6360912213,33.1929615115
2.9,-1.06817635053,32.5173113467,33.6360912213,33.2419690541
3,-1.06172941669,32.5173113467,33.6360912213,33.2419690541
3.1,-1.05528248285,32.5661135075,33.6614102992,33.2657359152
3.2,-1.06817635053,32.5409712359,33.6852440382,33.290992251
3.3,-1.05528248285,32.5409712359,33.6852440382,33.290992251
3.4,-1.06172941669,32.5661135075,33.6852440382,33.3147667408
3.5,-1.06817635053,32.58978026,33.7105716698,33.3400312097
3.6,-1.05528248285,32.5409712359,33.6614102992,33.3638133803
3.7,-1.06172941669,32.5661135075,33.7105716698,33.3638133803
3.8,-1.05528248285,32.5661135075,33.7105716698,33.389086038
3.9,-1.04843261564,32.4921763401,33.7344134857,33.4128759417
4,-1.06817635053,32.5409712359,33.6852440382,33.4619545327
4.1,-1.06817635053,32.5661135075,33.7344134857,33.4619545327
4.2,-1.06172941669,32.58978026,33.7597497271,33.4619545327
4.3,-1.06817635053,32.5173113467,33.7835996728,33.4619545327
4.4,-1.05528248285,32.5661135075,33.7835996728,33.4872437344
4.5,-1.06817635053,32.5661135075,33.7835996728,33.5110492614
4.6,-1.05528248285,32.58978026,33.8074535792,33.5363468186
4.7,-1.05528248285,32.58978026,33.8074535792,33.5601602359
4.8,-1.06172941669,32.58978026,33.8074535792,33.4872437344
4.9,-1.05528248285,32.58978026,33.8328027085,33.5601602359
5,-1.05528248285,32.58978026,33.8328027085,33.5601602359
5.1,-1.06817635053,32.58978026,33.7835996728,33.5854662045
5.2,-1.06817635053,32.58978026,33.8328027085,33.5854662045
5.3,-1.04843261564,32.6149298511,33.8328027085,33.6092875646
5.4,-1.04843261564,32.5409712359,33.882022702,33.6584313561
5.5,-1.05528248285,32.6149298511,33.8566648232,33.6837543151
5.6,-1.04843261564,32.6149298511,33.882022702,33.6837543151
5.7,-1.04843261564,32.6386035181,33.882022702,33.7075917189
5.8,-1.05528248285,32.6386035181,33.9058930781,33.7329232571
5.9,-1.06172941669,32.6386035181,33.9058930781,33.7329232571
6,-1.04843261564,32.6386035181,33.9058930781,33.7567687618
6.1,-1.06172941669,32.6874411159,33.9312597627,33.7821089353
6.2,-1.05528248285,32.6386035181,33.882022702,33.7821089353
6.3,-1.05528248285,32.6386035181,33.9312597627,33.7821089353
6.4,-1.05528248285,32.6874411159,33.9312597627,33.8059625938
6.5,-1.06172941669,32.6149298511,33.9312597627,33.8059625938
6.6,-1.05528248285,32.6874411159,33.9058930781,33.855173324
6.7,-1.04843261564,32.6874411159,33.9551384532,33.855173324
6.8,-1.05528248285,32.6874411159,33.9551384532,33.855173324
6.9,-1.06172941669,32.6386035181,33.9551384532,33.855173324
7,-1.05528248285,32.6874411159,33.9551384532,33.855173324
7.1,-1.05528248285,32.6874411159,33.9551384532,33.855173324
7.2,-1.05528248285,32.7126055093,33.9551384532,33.855173324
7.3,-1.05528248285,32.6874411159,33.9551384532,33.855173324
7.4,-1.06172941669,32.6874411159,33.9551384532,33.8059625938
7.5,-1.05528248285,32.7126055093,33.9551384532,33.855173324
7.6,-1.06817635053,32.7126055093,33.9551384532,33.855173324
7.7,-1.05528248285,32.7126055093,33.9058930781,33.855173324
7.8,-1.06172941669,32.7362931591,33.9312597627,33.8313114588
7.9,-1.06172941669,32.7614650355,33.9312597627,33.8313114588
8,-1.05528248285,32.6874411159,33.9551384532,33.8313114588
8.1,-1.06817635053,32.7614650355,33.9551384532,33.8059625938
8.2,-1.06172941669,32.7614650355,33.9551384532,33.8059625938
8.3,-1.05528248285,32.7851597539,33.9551384532,33.8059625938
8.4,-1.05528248285,32.7851597539,33.9805140001,33.8059625938
