"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0225642684381,24.0561749731,24.5102449427,23.5741741586
0.1,0.00282053355477,24.0315042451,24.4623849043,23.5494813255
0.2,-0.00402933364967,24.0561749731,24.4623849043,23.5494813255
0.3,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
0.4,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
0.5,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
0.6,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
0.7,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
0.8,-0.00402933364967,24.0082838227,24.4623849043,23.5494813255
0.9,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
1,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
1.1,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
1.2,-0.00402933364967,24.0315042451,24.4377286295,23.5494813255
1.3,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
1.4,0.00282053355477,24.0082838227,24.4623849043,23.5494813255
1.5,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
1.6,-0.00402933364967,24.0082838227,24.4623849043,23.5494813255
1.7,0.00282053355477,24.0315042451,24.4623849043,23.5494813255
1.8,-0.00402933364967,24.0082838227,24.4377286295,23.5494813255
1.9,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
2,-0.00402933364967,24.0082838227,24.4623849043,23.5494813255
2.1,-0.0169232013286,24.0082838227,24.4623849043,23.5494813255
2.2,-0.00402933364967,24.0315042451,24.4377286295,23.5494813255
2.3,-0.00402933364967,24.0082838227,24.4377286295,23.5494813255
2.4,-0.00402933364967,24.0082838227,24.4623849043,23.5494813255
2.5,-0.00402933364967,24.0082838227,24.4377286295,23.5494813255
2.6,-0.00402933364967,24.0315042451,24.4623849043,23.5494813255
2.7,-0.00402933364967,24.0082838227,24.4145220217,23.5494813255
2.8,-0.00402933364967,24.0082838227,24.4377286295,23.5494813255
2.9,-0.00402933364967,24.0082838227,24.4377286295,23.5494813255
3,-0.00402933364967,24.0082838227,24.4377286295,23.5494813255
3.1,-0.0169232013286,24.0082838227,24.4377286295,23.5494813255
3.2,-0.00402933364967,23.9836111395,24.4145220217,23.5494813255
3.3,-0.00402933364967,24.0082838227,24.4377286295,23.5494813255
3.4,-0.00402933364967,23.9836111395,24.4145220217,23.5494813255
