"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-0.362237095105,40.4748051024,41.6290644527,41.7824185135
0.1,-0.375533896149,40.4477873623,41.5500847365,41.754953781
0.2,-0.375533896149,40.4477873623,41.6032663178,41.7016678488
0.3,-0.381980829989,40.4477873623,41.6032663178,41.754953781
0.4,-0.375533896149,40.3699619502,41.6032663178,41.754953781
0.5,-0.375533896149,40.4223669536,41.5500847365,41.754953781
0.6,-0.375533896149,40.4477873623,41.6032663178,41.754953781
0.7,-0.36908696231,40.4477873623,41.6032663178,41.754953781
0.8,-0.388830697193,40.4223669536,41.6290644527,41.754953781
0.9,-0.362237095105,40.4477873623,41.6032663178,41.754953781
1,-0.381980829989,40.4477873623,41.5758651982,41.754953781
1.1,-0.375533896149,40.4748051024,41.5758651982,41.754953781
1.2,-0.375533896149,40.4477873623,41.6032663178,41.754953781
1.3,-0.36908696231,40.4477873623,41.5758651982,41.7016678488
1.4,-0.36908696231,40.4477873623,41.5500847365,41.754953781
1.5,-0.381980829989,40.4477873623,41.6032663178,41.754953781
1.6,-0.388830697193,40.4223669536,41.5500847365,41.7824185135
1.7,-0.381980829989,40.4477873623,41.5500847365,41.754953781
1.8,-0.362237095105,40.4477873623,41.5758651982,41.754953781
1.9,-0.375533896149,40.3953663065,41.6032663178,41.754953781
2,-0.375533896149,40.4477873623,41.5500847365,41.754953781
2.1,-0.381980829989,40.4477873623,41.5500847365,41.754953781
2.2,-0.362237095105,40.4748051024,41.5500847365,41.754953781
2.3,-0.375533896149,40.4748051024,41.6032663178,41.754953781
2.4,-0.375533896149,40.4748051024,41.5500847365,41.754953781
2.5,-0.36908696231,40.4748051024,41.5500847365,41.754953781
2.6,-0.375533896149,40.5002416338,41.5758651982,41.754953781
2.7,-0.381980829989,40.4748051024,41.5243128166,41.7824185135
2.8,-0.381980829989,40.4748051024,41.5500847365,41.7291135748
2.9,-0.36908696231,40.4748051024,41.5500847365,41.8082766461
3,-0.388830697193,40.4223669536,41.5500847365,41.8082766461
3.1,-0.381980829989,40.4748051024,41.5243128166,41.8082766461
3.2,-0.381980829989,40.4748051024,41.5500847365,41.7824185135
3.3,-0.381980829989,40.5002416338,41.5500847365,41.7824185135
3.4,-0.375533896149,40.4748051024,41.5500847365,41.8082766461
3.5,-0.362237095105,40.4748051024,41.5500847365,41.8082766461
3.6,-0.375533896149,40.4748051024,41.5500847365,41.8082766461
3.7,-0.381980829989,40.5002416338,41.5500847365,41.8357604655
3.8,-0.381980829989,40.5002416338,41.5500847365,41.8357604655
3.9,-0.381980829989,40.4748051024,41.5500847365,41.8082766461
4,-0.375533896149,40.5002416338,41.5500847365,41.8357604655
4.1,-0.375533896149,40.5002416338,41.5758651982,41.8616366001
4.2,-0.375533896149,40.5002416338,41.5243128166,41.8891395872
4.3,-0.381980829989,40.5002416338,41.5500847365,41.8891395872
4.4,-0.362237095105,40.5272765416,41.5500847365,41.9150337999
4.5,-0.375533896149,40.4748051024,41.5500847365,41.9150337999
4.6,-0.36908696231,40.5272765416,41.5500847365,41.9425560354
4.7,-0.375533896149,40.5527292661,41.5500847365,41.9150337999
4.8,-0.375533896149,40.5527292661,41.5243128166,41.9425560354
4.9,-0.375533896149,40.5527292661,41.5243128166,41.9684684024
5,-0.375533896149,40.5527292661,41.5243128166,41.9425560354
5.1,-0.375533896149,40.5797814167,41.5243128166,41.9684684024
5.2,-0.375533896149,40.5797814167,41.5243128166,42.0219405654
5.3,-0.36908696231,40.5797814167,41.4711851337,42.0219405654
