"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0104762674891,22.0169163526,22.0708884934,22.0387981862
0.1,0.0104762674891,21.9687703294,21.999409664,21.9906559107
0.2,0.00402933364967,21.9439645908,21.999409664,21.9906559107
0.3,0.0104762674891,21.9687703294,21.9746066522,21.9906559107
0.4,-0.00282053355477,21.9439645908,21.999409664,21.9906559107
0.5,0.0104762674891,21.9439645908,21.999409664,21.9906559107
0.6,-0.00926746739424,21.9439645908,21.9746066522,21.9906559107
0.7,0.00402933364967,21.9439645908,21.999409664,22.0139986467
0.8,-0.00282053355477,21.9687703294,21.9746066522,21.9906559107
0.9,0.00402933364967,21.9439645908,21.9746066522,21.9906559107
1,-0.00282053355477,21.9687703294,21.9746066522,21.9906559107
1.1,0.00402933364967,21.9687703294,21.999409664,21.9906559107
1.2,0.00402933364967,21.9439645908,21.9746066522,21.9906559107
1.3,0.00402933364967,21.9439645908,21.999409664,21.9906559107
1.4,-0.00926746739424,21.9687703294,21.9746066522,21.9906559107
1.5,0.00402933364967,21.9439645908,21.9746066522,21.9906559107
1.6,-0.00282053355477,21.9687703294,21.9746066522,21.9906559107
1.7,0.00402933364967,21.9687703294,21.999409664,21.9906559107
1.8,0.00402933364967,21.9687703294,21.9746066522,21.9906559107
1.9,-0.00926746739424,21.9439645908,21.9746066522,21.9906559107
2,-0.00926746739424,21.9439645908,21.9746066522,21.9906559107
2.1,0.0104762674891,21.9439645908,21.999409664,21.9906559107
2.2,-0.00282053355477,21.9439645908,21.9746066522,21.9906559107
2.3,-0.00926746739424,21.9439645908,21.999409664,21.9906559107
2.4,-0.00926746739424,21.9439645908,21.9746066522,21.9906559107
2.5,0.00402933364967,21.9439645908,21.9746066522,21.9906559107
2.6,-0.00926746739424,21.9439645908,21.999409664,21.9906559107
2.7,-0.00282053355477,21.9687703294,21.999409664,21.9906559107
2.8,-0.0225642684381,21.9439645908,21.999409664,21.9906559107
2.9,-0.00926746739424,21.9439645908,21.999409664,21.9906559107
3,-0.00282053355477,21.920615982,21.999409664,22.0139986467
3.1,-0.00926746739424,21.9439645908,21.9746066522,21.9906559107
3.2,-0.0225642684381,21.9439645908,21.999409664,22.0139986467
3.3,-0.0225642684381,21.9439645908,21.9746066522,21.9906559107
3.4,-0.0354581361171,21.9439645908,21.9746066522,22.0139986467
3.5,0.0104762674891,21.9439645908,21.999409664,22.0139986467
3.6,0.00402933364967,21.9439645908,21.999409664,21.9906559107
3.7,-0.00282053355477,21.9439645908,21.999409664,22.0139986467
3.8,-0.00926746739424,21.9439645908,21.999409664,21.9906559107
3.9,-0.0157144012337,21.9439645908,21.9746066522,22.0139986467
4,0.00402933364967,21.9439645908,22.0227516738,21.9906559107
4.1,-0.00926746739424,21.9439645908,22.0227516738,22.0139986467
4.2,-0.0157144012337,21.9439645908,21.999409664,21.9906559107
4.3,-0.0157144012337,21.9439645908,22.0475504468,22.0139986467
4.4,-0.0157144012337,21.9439645908,21.999409664,21.9906559107
4.5,-0.0225642684381,21.9439645908,22.0227516738,21.9906559107
4.6,-0.00926746739424,21.9439645908,21.999409664,21.9906559107
4.7,-0.00926746739424,21.9687703294,22.0227516738,21.9906559107
4.8,-0.0157144012337,21.9439645908,21.999409664,22.0139986467
4.9,-0.00926746739424,21.9439645908,21.999409664,22.0139986467
5,-0.0225642684381,21.9439645908,22.0227516738,22.0139986467
5.1,-0.0290112022776,21.9439645908,22.0475504468,22.0139986467
5.2,-0.0753485392488,21.9439645908,22.0475504468,22.0139986467
5.3,-0.048754937161,21.9687703294,22.0227516738,21.9906559107
5.4,-0.00926746739424,21.9687703294,22.0227516738,22.0139986467
5.5,-0.0354581361171,21.9687703294,22.0227516738,22.0139986467
5.6,-0.048754937161,21.9687703294,22.0475504468,22.0139986467
5.7,-0.0225642684381,21.9687703294,22.0475504468,22.0139986467
5.8,-0.0290112022776,21.9687703294,22.0475504468,22.0139986467
5.9,-0.0423080033215,21.9439645908,22.0475504468,22.0139986467
6,-0.0290112022776,21.9687703294,22.0475504468,22.0139986467
6.1,-0.0157144012337,21.9439645908,22.0475504468,22.0387981862
6.2,-0.0354581361171,21.9687703294,22.0475504468,22.0139986467
6.3,-0.0290112022776,21.9921148886,22.0708884934,22.0139986467
6.4,-0.0423080033215,21.9687703294,22.0708884934,22.0139986467
6.5,-0.0225642684381,21.9687703294,22.0956830836,22.0387981862
6.6,-0.0225642684381,21.9921148886,22.0708884934,22.0139986467
6.7,-0.0354581361171,21.9921148886,22.0956830836,22.0387981862
6.8,-0.0354581361171,21.9921148886,22.0956830836,22.0139986467
6.9,-0.0290112022776,21.9921148886,22.0956830836,22.0387981862
