"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0108792008541,23.696167532,23.5552915183,23.5262398448
0.1,-0.0024176001898,23.6729329976,23.5305977092,23.478300665
0.2,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
0.3,0.00402933364967,23.6482451334,23.5073553001,23.478300665
0.4,-0.0024176001898,23.6482451334,23.5073553001,23.478300665
0.5,0.0108792008541,23.6482451334,23.5073553001,23.478300665
0.6,0.0108792008541,23.6482451334,23.5073553001,23.4550556436
0.7,-0.0024176001898,23.6482451334,23.5073553001,23.478300665
0.8,-0.00886453402927,23.6482451334,23.5305977092,23.478300665
0.9,0.0108792008541,23.6482451334,23.5305977092,23.478300665
1,-0.0024176001898,23.6482451334,23.5073553001,23.478300665
1.1,-0.00886453402927,23.6482451334,23.5073553001,23.4550556436
1.2,-0.0024176001898,23.6482451334,23.5073553001,23.478300665
1.3,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
1.4,-0.0157144012337,23.6482451334,23.5073553001,23.4550556436
1.5,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
1.6,0.00402933364967,23.6482451334,23.5073553001,23.4550556436
1.7,-0.0157144012337,23.6729329976,23.5073553001,23.4550556436
1.8,-0.0024176001898,23.6482451334,23.5073553001,23.478300665
1.9,0.00402933364967,23.6729329976,23.5073553001,23.4550556436
2,-0.00886453402927,23.6482451334,23.5073553001,23.4550556436
2.1,-0.0024176001898,23.6729329976,23.5073553001,23.4550556436
2.2,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
2.3,-0.0157144012337,23.6729329976,23.5073553001,23.4550556436
2.4,-0.00886453402927,23.6729329976,23.5073553001,23.4550556436
2.5,-0.0157144012337,23.6482451334,23.5073553001,23.4550556436
2.6,-0.00886453402927,23.6482451334,23.5073553001,23.4550556436
2.7,-0.00886453402927,23.6729329976,23.5073553001,23.4550556436
2.8,-0.00886453402927,23.6482451334,23.5073553001,23.4550556436
2.9,0.00402933364967,23.6482451334,23.5073553001,23.4550556436
3,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
3.1,0.00402933364967,23.6482451334,23.5073553001,23.4550556436
3.2,-0.0024176001898,23.6729329976,23.5073553001,23.4550556436
3.3,-0.0024176001898,23.6729329976,23.5305977092,23.4550556436
3.4,0.00402933364967,23.6729329976,23.5073553001,23.4550556436
3.5,0.0108792008541,23.6482451334,23.5073553001,23.4550556436
3.6,0.0108792008541,23.6729329976,23.5073553001,23.4550556436
3.7,0.00402933364967,23.6729329976,23.5073553001,23.4550556436
3.8,-0.0024176001898,23.6729329976,23.5073553001,23.4550556436
3.9,0.0108792008541,23.6729329976,23.5073553001,23.4550556436
4,0.00402933364967,23.6729329976,23.5073553001,23.4550556436
4.1,0.00402933364967,23.6729329976,23.5073553001,23.4550556436
4.2,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
4.3,-0.0024176001898,23.6729329976,23.5305977092,23.4550556436
4.4,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
4.5,-0.0024176001898,23.6482451334,23.5073553001,23.4550556436
4.6,-0.00886453402927,23.6482451334,23.5073553001,23.4550556436
4.7,-0.0024176001898,23.6729329976,23.5073553001,23.4550556436
4.8,-0.0024176001898,23.6729329976,23.5073553001,23.4550556436
4.9,0.00402933364967,23.6729329976,23.5073553001,23.4550556436
5,0.0306229357375,23.6729329976,23.5305977092,23.4550556436
5.1,-0.0157144012337,23.6729329976,23.5073553001,23.4550556436
5.2,0.0173261346936,23.6482451334,23.5073553001,23.4550556436
5.3,0.0306229357375,23.6729329976,23.5073553001,23.4550556436
5.4,-0.0680957386794,23.6729329976,23.5073553001,23.4550556436
5.5,-0.0882424069277,23.6729329976,23.5073553001,23.4550556436
5.6,-0.107986141811,23.6729329976,23.5073553001,23.4550556436
5.7,-0.0813925397233,23.6729329976,23.5073553001,23.4550556436
5.8,-0.0221613350732,23.6729329976,23.5073553001,23.4550556436
5.9,-0.0024176001898,23.6729329976,23.5305977092,23.4550556436
6,0.00402933364967,23.6482451334,23.5305977092,23.4550556436
6.1,-0.0157144012337,23.6729329976,23.5305977092,23.4550556436
6.2,0.00402933364967,23.6729329976,23.5305977092,23.4550556436
6.3,0.0108792008541,23.6729329976,23.5552915183,23.4550556436
6.4,-0.0286082689126,23.6482451334,23.5305977092,23.4550556436
6.5,-0.0024176001898,23.6729329976,23.5552915183,23.4550556436
6.6,-0.0024176001898,23.6729329976,23.5552915183,23.4550556436
6.7,-0.0024176001898,23.6729329976,23.5552915183,23.4550556436
6.8,-0.00886453402927,23.6729329976,23.5552915183,23.4550556436
6.9,-0.00886453402927,23.6729329976,23.5552915183,23.4550556436
7,-0.0024176001898,23.6729329976,23.5552915183,23.4550556436
7.1,-0.00886453402927,23.6729329976,23.5552915183,23.4550556436
