"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.00765573393437,22.9768009144,23.0771500872,22.9026127818
0.1,0.0012088000949,22.9287985088,23.0524287895,22.9026127818
0.2,0.0012088000949,22.9287985088,23.0291602547,22.9026127818
0.3,-0.012088000949,22.9287985088,23.0291602547,22.9026127818
0.4,0.0012088000949,22.9055223983,23.0058903199,22.9026127818
0.5,-0.00523813374457,22.9055223983,23.0291602547,22.9026127818
0.6,-0.00523813374457,22.9055223983,23.0058903199,22.9026127818
0.7,-0.00523813374457,22.9287985088,23.0291602547,22.9026127818
0.8,-0.00523813374457,22.9055223983,23.0291602547,22.9026127818
0.9,-0.012088000949,22.9055223983,23.0058903199,22.9026127818
1,0.0012088000949,22.9055223983,23.0058903199,22.9026127818
1.1,0.0012088000949,22.9055223983,23.0058903199,22.9026127818
1.2,-0.012088000949,22.9055223983,23.0058903199,22.9026127818
1.3,-0.00523813374457,22.9055223983,23.0058903199,22.8793350233
1.4,-0.00523813374457,22.9055223983,23.0058903199,22.9026127818
1.5,-0.012088000949,22.9055223983,23.0058903199,22.8793350233
1.6,0.0012088000949,22.9055223983,23.0058903199,22.9026127818
1.7,-0.00523813374457,22.9287985088,23.0058903199,22.9026127818
1.8,-0.00523813374457,22.9055223983,23.0058903199,22.8793350233
1.9,-0.012088000949,22.9055223983,23.0058903199,22.9026127818
2,-0.012088000949,22.9055223983,23.0058903199,22.9026127818
2.1,-0.0185349347885,22.9055223983,23.0058903199,22.8793350233
2.2,-0.012088000949,22.9055223983,23.0058903199,22.8793350233
2.3,-0.00523813374457,22.9055223983,22.9811644668,22.9026127818
2.4,-0.00523813374457,22.9055223983,22.9811644668,22.9026127818
2.5,-0.012088000949,22.9055223983,23.0058903199,22.8793350233
2.6,-0.012088000949,22.9055223983,22.9811644668,22.8793350233
2.7,0.0012088000949,22.8807899264,22.9811644668,22.8793350233
2.8,-0.00523813374457,22.9055223983,22.9811644668,22.9026127818
2.9,0.0012088000949,22.9055223983,22.9811644668,22.8793350233
3,0.0012088000949,22.9055223983,22.9811644668,22.8793350233
3.1,-0.012088000949,22.8807899264,22.9811644668,22.8793350233
