"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0132968010439,21.1489247165,21.2791720634,21.2440563674
0.1,0.0132968010439,21.1006120111,21.2308866223,21.219179557
0.2,-0.0128938676789,21.1240376346,21.254298989,21.219179557
0.3,-0.0128938676789,21.1006120111,21.2308866223,21.219179557
0.4,0,21.1006120111,21.2308866223,21.219179557
0.5,0,21.1006120111,21.2308866223,21.219179557
0.6,0.0197437348834,21.1006120111,21.254298989,21.219179557
0.7,0,21.1006120111,21.2308866223,21.219179557
0.8,0.00684986720444,21.1240376346,21.2308866223,21.219179557
0.9,0,21.1006120111,21.2308866223,21.219179557
1,-0.00644693383947,21.1006120111,21.2308866223,21.219179557
1.1,-0.00644693383947,21.1006120111,21.2308866223,21.219179557
1.2,0,21.1006120111,21.254298989,21.219179557
1.3,-0.00644693383947,21.1006120111,21.2308866223,21.219179557
1.4,-0.00644693383947,21.1006120111,21.2308866223,21.219179557
1.5,0.00684986720444,21.1006120111,21.254298989,21.219179557
1.6,0,21.1006120111,21.2308866223,21.219179557
1.7,0.00684986720444,21.1006120111,21.2308866223,21.219179557
1.8,-0.00644693383947,21.1006120111,21.2308866223,21.219179557
1.9,-0.00644693383947,21.1006120111,21.254298989,21.219179557
2,0.0132968010439,21.1006120111,21.2308866223,21.219179557
2.1,0.0197437348834,21.1006120111,21.254298989,21.219179557
2.2,0.00684986720444,21.1006120111,21.2308866223,21.219179557
2.3,-0.0592312046501,21.1240376346,21.254298989,21.219179557
2.4,0.0463373369712,21.1006120111,21.254298989,21.219179557
2.5,0.0922717405774,21.1006120111,21.254298989,21.219179557
2.6,0.0527842708107,21.1006120111,21.254298989,21.2440563674
2.7,0.0330405359273,21.1006120111,21.254298989,21.219179557
2.8,0.0922717405774,21.1006120111,21.254298989,21.219179557
2.9,0.0922717405774,21.1006120111,21.254298989,21.2440563674
3,0.105568541621,21.1006120111,21.254298989,21.219179557
3.1,0.0922717405774,21.1006120111,21.2308866223,21.219179557
3.2,0.112015475461,21.1006120111,21.254298989,21.219179557
3.3,0.0991216077819,21.1006120111,21.254298989,21.219179557
3.4,0.0922717405774,21.1006120111,21.254298989,21.219179557
3.5,0.0991216077819,21.1006120111,21.254298989,21.219179557
3.6,0.072528005694,21.1006120111,21.254298989,21.219179557
3.7,0.0858248067379,21.1006120111,21.254298989,21.219179557
3.8,0.0660810718546,21.1006120111,21.254298989,21.219179557
3.9,0.072528005694,21.1006120111,21.254298989,21.2440563674
4,0.0922717405774,21.1006120111,21.254298989,21.219179557
4.1,0.072528005694,21.1006120111,21.254298989,21.219179557
4.2,0.0660810718546,21.1006120111,21.2308866223,21.219179557
4.3,0.0596341380151,21.1006120111,21.254298989,21.219179557
4.4,0.0922717405774,21.1006120111,21.2308866223,21.219179557
4.5,0.0991216077819,21.1006120111,21.254298989,21.219179557
4.6,0.0463373369712,21.1006120111,21.2308866223,21.219179557
4.7,0.0858248067379,21.1006120111,21.2308866223,21.1957636543
4.8,0.0922717405774,21.1006120111,21.254298989,21.219179557
4.9,0.0922717405774,21.1006120111,21.2308866223,21.219179557
5,0.118865342665,21.1006120111,21.2308866223,21.219179557
