"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.159561612527,23.9836111395,24.4623849043,24.1722595069
0.1,0.139817877644,23.9603888518,24.3898642416,24.1490442772
0.2,0.152711745322,23.9603888518,24.3898642416,24.1490442772
0.3,3.38222266553,23.9603888518,24.3898642416,24.1490442772
0.4,-1.7056169339,23.9603888518,24.3898642416,24.1490442772
0.5,-1.8966073489,23.9357141602,24.3898642416,24.1490442772
0.6,-1.21806756229,23.9603888518,24.3898642416,24.1243771894
0.7,-0.189781614899,23.9603888518,24.3898642416,24.1969247957
0.8,-1.34297690543,23.9603888518,24.3898642416,24.1490442772
0.9,-0.394068830938,23.9603888518,24.3898642416,24.1490442772
1,-1.07945848475,23.9603888518,24.4145220217,24.1243771894
1.1,-1.60689825949,23.9603888518,24.3898642416,24.1722595069
1.2,-0.848980599985,23.9357141602,24.3898642416,24.1490442772
1.3,-2.66782180945,24.0082838227,24.3898642416,24.1490442772
1.4,-0.00523813374457,23.9836111395,24.4145220217,24.1243771894
1.5,-2.01547269156,23.9603888518,24.3898642416,24.1243771894
1.6,-1.63953586205,23.9603888518,24.3898642416,24.1243771894
1.7,-1.85711987913,23.9603888518,24.3666561922,24.1011602416
1.8,-2.27254417841,23.9603888518,24.3898642416,24.1243771894
1.9,-1.72536066879,23.9603888518,24.3898642416,24.1011602416
2,-1.16528329148,23.9603888518,24.3898642416,24.0764913019
2.1,-1.24425823102,23.9603888518,24.4145220217,24.1011602416
2.2,-2.0219196254,23.9603888518,24.3898642416,24.1243771894
2.3,-1.9034572161,23.9836111395,24.3898642416,24.0764913019
2.4,0.0539930709056,23.9836111395,24.3898642416,24.0764913019
2.5,-2.06140709517,23.9603888518,24.4145220217,24.053272586
2.6,-0.980739810329,23.9836111395,24.3898642416,24.053272586
2.7,-1.90990414994,23.9603888518,24.3898642416,24.053272586
2.8,-0.848980599985,24.0315042451,24.3898642416,24.053272586
2.9,0.475864304026,23.9603888518,24.3898642416,24.053272586
3,-2.16697563679,23.9836111395,24.3898642416,24.053272586
3.1,-1.44854544706,23.9603888518,24.3898642416,24.053272586
3.2,-0.901764870796,23.9836111395,24.3898642416,24.053272586
3.3,-1.50132971787,23.9836111395,24.3898642416,24.0764913019
3.4,-1.40905797729,23.9603888518,24.3898642416,24.028601741
3.5,-1.8966073489,23.9603888518,24.3898642416,24.053272586
3.6,-0.994036611373,23.9603888518,24.4145220217,24.028601741
3.7,-0.736965124524,23.9603888518,24.3898642416,24.0764913019
3.8,-1.31678623671,23.9603888518,24.3898642416,24.028601741
3.9,-0.717221389641,24.0315042451,24.3666561922,24.028601741
4,-1.52752038659,23.9836111395,24.4145220217,24.028601741
4.1,-2.2922879133,23.9603888518,24.3898642416,24.028601741
4.2,-0.829236865102,23.9603888518,24.3898642416,24.028601741
4.3,-0.433556300704,24.0315042451,24.3666561922,24.005381207
4.4,-0.954146208242,23.9603888518,24.3898642416,24.028601741
4.5,-1.69917000007,23.9836111395,24.3898642416,24.005381207
4.6,-1.95624148691,23.9603888518,24.3898642416,24.005381207
4.7,-1.27729876695,23.9836111395,24.3898642416,24.005381207
4.8,-0.848980599985,23.9836111395,24.3898642416,24.053272586
4.9,-0.73011525732,23.9603888518,24.3898642416,24.005381207
5,-0.0185349347885,23.9836111395,24.3898642416,23.9807084036
5.1,-0.947699274402,23.9836111395,24.4145220217,23.9807084036
5.2,0.330808292638,23.9836111395,24.3898642416,24.028601741
5.3,-0.875171268708,23.9603888518,24.3898642416,23.9807084036
5.4,-0.453300035588,24.0315042451,24.3666561922,23.9807084036
5.5,-1.63953586205,23.9836111395,24.3898642416,23.9807084036
5.6,-1.81118547553,23.9603888518,24.3898642416,24.028601741
5.7,-1.98243215564,23.9603888518,24.3898642416,24.005381207
5.8,-1.75840120472,23.9836111395,24.3898642416,23.9807084036
5.9,-2.69441541153,23.9603888518,24.3898642416,24.053272586
6,-2.37126285283,23.9836111395,24.3898642416,24.005381207
6.1,-1.24425823102,23.9603888518,24.3666561922,24.028601741
6.2,-1.49488278403,24.0082838227,24.4145220217,23.9807084036
6.3,-2.15367883575,23.9603888518,24.3898642416,24.053272586
6.4,-0.690627787553,23.9603888518,24.3898642416,23.9807084036
6.5,-1.05971474986,24.0315042451,24.3666561922,24.005381207
6.6,-0.947699274402,24.0082838227,24.3898642416,23.9807084036
6.7,-3.0502055728,23.9836111395,24.3898642416,24.005381207
6.8,-1.74510440367,23.9836111395,24.3898642416,24.005381207
6.9,-1.71206386774,24.0315042451,24.3666561922,23.9807084036
7,-2.31847858202,23.9836111395,24.3898642416,24.005381207
7.1,-0.3082440242,23.9836111395,24.3898642416,24.005381207
7.2,-1.25070516486,23.9836111395,24.3666561922,24.005381207
7.3,-0.545571776165,23.9836111395,24.3898642416,23.9807084036
7.4,-1.5803046574,23.9603888518,24.3898642416,24.053272586
7.5,-0.973889943125,23.9836111395,24.3898642416,24.028601741
7.6,-0.354581361171,23.9836111395,24.3419968541,24.005381207
7.7,-2.58884686991,23.9836111395,24.4145220217,23.9807084036
7.8,-0.703924588597,23.9836111395,24.3898642416,24.053272586
7.9,-1.20477076125,23.9836111395,24.3419968541,24.005381207
