"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0108792008541,24.2230399966,24.5102449427,24.053272586
0.1,0.00402933364967,24.175161353,24.4623849043,24.053272586
0.2,-0.0024176001898,24.175161353,24.4623849043,24.028601741
0.3,0.0108792008541,24.175161353,24.4623849043,24.028601741
0.4,-0.0024176001898,24.175161353,24.4623849043,24.028601741
0.5,0.00402933364967,24.175161353,24.4623849043,24.053272586
0.6,-0.0024176001898,24.175161353,24.4623849043,24.028601741
0.7,-0.0024176001898,24.175161353,24.4623849043,24.053272586
0.8,-0.0024176001898,24.175161353,24.4623849043,24.053272586
0.9,-0.0024176001898,24.175161353,24.4855901203,24.053272586
1,-0.0157144012337,24.175161353,24.4855901203,24.053272586
1.1,-0.00926746739424,24.175161353,24.4855901203,24.053272586
1.2,-0.0024176001898,24.175161353,24.4855901203,24.053272586
1.3,0.00402933364967,24.175161353,24.4855901203,24.028601741
1.4,-0.0024176001898,24.175161353,24.4855901203,24.053272586
1.5,-0.0024176001898,24.1998265345,24.4855901203,24.053272586
1.6,0.0108792008541,24.175161353,24.4855901203,24.053272586
1.7,-0.00926746739424,24.175161353,24.4855901203,24.053272586
1.8,-0.00926746739424,24.175161353,24.4855901203,24.053272586
1.9,-0.0024176001898,24.175161353,24.4855901203,24.053272586
2,0.0108792008541,24.1998265345,24.4855901203,24.053272586
2.1,0.00402933364967,24.2230399966,24.4855901203,24.053272586
2.2,0.00402933364967,24.175161353,24.4855901203,24.053272586
2.3,0.0108792008541,24.1998265345,24.4855901203,24.053272586
2.4,-0.00926746739424,24.1998265345,24.4855901203,24.053272586
2.5,0.00402933364967,24.1998265345,24.4855901203,24.0764913019
2.6,0.00402933364967,24.1998265345,24.4855901203,24.053272586
2.7,-0.0024176001898,24.1998265345,24.4855901203,24.0764913019
2.8,-0.00926746739424,24.1998265345,24.4855901203,24.053272586
2.9,-0.0024176001898,24.1998265345,24.4855901203,24.0764913019
3,-0.0024176001898,24.1998265345,24.5102449427,24.0764913019
3.1,-0.0024176001898,24.2230399966,24.4855901203,24.053272586
3.2,-0.0024176001898,24.2230399966,24.5102449427,24.0764913019
3.3,-0.0024176001898,24.1998265345,24.5102449427,24.0764913019
3.4,-0.0024176001898,24.2230399966,24.5102449427,24.0764913019
3.5,0.0108792008541,24.2230399966,24.5102449427,24.1011602416
3.6,0.00402933364967,24.1998265345,24.5334488166,24.0764913019
3.7,-0.0024176001898,24.2230399966,24.5102449427,24.0764913019
3.8,0.00402933364967,24.2230399966,24.5102449427,24.0764913019
3.9,-0.0024176001898,24.2230399966,24.5102449427,24.1011602416
4,-0.00926746739424,24.2230399966,24.5102449427,24.0764913019
4.1,-0.0024176001898,24.2230399966,24.5102449427,24.0764913019
4.2,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
4.3,-0.00926746739424,24.2230399966,24.5102449427,24.1011602416
4.4,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
4.5,-0.00926746739424,24.2230399966,24.5102449427,24.0764913019
4.6,0.00402933364967,24.2230399966,24.5102449427,24.0764913019
4.7,-0.00926746739424,24.2230399966,24.5334488166,24.1011602416
4.8,-0.00926746739424,24.2230399966,24.5334488166,24.1011602416
4.9,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
5,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
5.1,0.00402933364967,24.2230399966,24.5334488166,24.1243771894
5.2,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
5.3,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
5.4,-0.0024176001898,24.2230399966,24.5334488166,24.053272586
5.5,-0.0024176001898,24.2230399966,24.5566520575,24.1011602416
5.6,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
5.7,-0.00926746739424,24.2230399966,24.5334488166,24.1011602416
5.8,0.00402933364967,24.2230399966,24.5334488166,24.0764913019
5.9,0.00402933364967,24.2230399966,24.5334488166,24.1011602416
6,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
6.1,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
6.2,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
6.3,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
6.4,-0.00926746739424,24.2230399966,24.5334488166,24.1011602416
6.5,-0.00926746739424,24.2230399966,24.5334488166,24.1011602416
6.6,-0.00926746739424,24.2230399966,24.5334488166,24.0764913019
6.7,-0.0024176001898,24.2230399966,24.5566520575,24.1011602416
6.8,0.00402933364967,24.1998265345,24.5334488166,24.1011602416
6.9,-0.0024176001898,24.2230399966,24.5566520575,24.0764913019
7,-0.0024176001898,24.2230399966,24.5566520575,24.1011602416
7.1,-0.00926746739424,24.2230399966,24.5566520575,24.1011602416
7.2,0.00402933364967,24.2230399966,24.5566520575,24.0764913019
7.3,0.00402933364967,24.2230399966,24.5566520575,24.1011602416
7.4,-0.00926746739424,24.2230399966,24.5334488166,24.1011602416
7.5,-0.00926746739424,24.1998265345,24.5566520575,24.1011602416
7.6,-0.00926746739424,24.1998265345,24.5334488166,24.1011602416
7.7,0.0108792008541,24.1998265345,24.5334488166,24.1011602416
7.8,-0.0024176001898,24.1998265345,24.5566520575,24.1011602416
7.9,-0.00926746739424,24.1998265345,24.5334488166,24.1011602416
8,-0.00926746739424,24.1998265345,24.5334488166,24.1011602416
8.1,0.00402933364967,24.1998265345,24.5334488166,24.0764913019
8.2,-0.0024176001898,24.2230399966,24.5334488166,24.1011602416
8.3,-0.0024176001898,24.1998265345,24.5334488166,24.1011602416
8.4,0.0108792008541,24.1998265345,24.5566520575,24.1011602416
8.5,-0.0157144012337,24.1998265345,24.5334488166,24.0764913019
8.6,0.0108792008541,24.1998265345,24.5334488166,24.1011602416
8.7,0.00402933364967,24.1998265345,24.5334488166,24.1011602416
8.8,-0.0024176001898,24.1998265345,24.5334488166,24.1011602416
8.9,-0.0024176001898,24.1998265345,24.5334488166,24.1011602416
9,0.0108792008541,24.2230399966,24.5334488166,24.1011602416
9.1,-0.00926746739424,24.175161353,24.5334488166,24.1011602416
9.2,-0.0024176001898,24.1998265345,24.5334488166,24.1011602416
9.3,-0.0024176001898,24.1998265345,24.5334488166,24.1011602416
9.4,-0.0024176001898,24.175161353,24.5102449427,24.1011602416
9.5,-0.00926746739424,24.1998265345,24.5334488166,24.1011602416
9.6,-0.00926746739424,24.1998265345,24.5334488166,24.1011602416
9.7,-0.00926746739424,24.1998265345,24.5334488166,24.1243771894
9.8,-0.0024176001898,24.175161353,24.5102449427,24.1011602416
9.9,-0.0024176001898,24.175161353,24.5334488166,24.1011602416
10,0.00402933364967,24.175161353,24.5102449427,24.1011602416
10.1,0.00402933364967,24.175161353,24.5102449427,24.1011602416
10.2,-0.00926746739424,24.175161353,24.5102449427,24.1243771894
10.3,-0.048754937161,24.175161353,24.5102449427,24.1011602416
10.4,-0.00926746739424,24.175161353,24.5102449427,24.1011602416
10.5,-0.0157144012337,24.175161353,24.5102449427,24.1011602416
10.6,-0.0354581361171,24.175161353,24.5102449427,24.1011602416
10.7,-0.048754937161,24.175161353,24.5102449427,24.1243771894
10.8,-0.0157144012337,24.175161353,24.5102449427,24.1011602416
10.9,-0.0419050699566,24.175161353,24.5102449427,24.1011602416
11,0.00402933364967,24.175161353,24.5102449427,24.1011602416
11.1,-0.0684986720444,24.175161353,24.5102449427,24.1011602416
11.2,-1.63711826186,24.175161353,24.4855901203,24.1011602416
11.3,-2.36199538544,24.175161353,24.5102449427,24.1011602416
11.4,-6.92239521013,24.175161353,24.4855901203,24.1011602416
11.5,-6.29663969434,24.175161353,24.4855901203,24.1011602416
11.6,-6.37561463387,24.175161353,24.4855901203,24.0764913019
11.7,-3.10016931006,24.175161353,24.5102449427,24.0764913019
11.8,0.0898541403876,24.175161353,24.4855901203,24.0764913019
11.9,0.0435168034164,24.1519462258,24.4855901203,24.053272586
12,-0.048754937161,24.1519462258,24.4855901203,24.1011602416
12.1,-0.048754937161,24.1519462258,24.4855901203,24.053272586
12.2,-0.0813925397233,24.175161353,24.4855901203,24.053272586
12.3,-0.0882424069277,24.1519462258,24.4855901203,24.053272586
12.4,-0.107986141811,24.175161353,24.4855901203,24.053272586
12.5,-0.121282942855,24.1519462258,24.4855901203,24.053272586
12.6,-0.127729876695,24.1519462258,24.4623849043,24.053272586
12.7,-0.127729876695,24.1519462258,24.4623849043,24.053272586
12.8,-0.141026677738,24.1519462258,24.4623849043,24.053272586
12.9,-0.134176810534,24.1519462258,24.4623849043,24.053272586
13,-0.141026677738,24.1519462258,24.4623849043,24.053272586
13.1,-0.141026677738,24.1519462258,24.4623849043,24.053272586
13.2,-0.147473611578,24.1519462258,24.4623849043,24.053272586
13.3,-0.141026677738,24.1272792487,24.4145220217,24.028601741
13.4,-0.141026677738,24.1272792487,24.4377286295,24.028601741
13.5,-0.141026677738,24.1272792487,24.4377286295,24.028601741
13.6,-0.147473611578,24.1272792487,24.4145220217,24.028601741
13.7,-0.153920545417,24.1272792487,24.4377286295,24.028601741
13.8,-0.153920545417,24.1272792487,24.4377286295,24.028601741
13.9,-0.147473611578,24.1272792487,24.4145220217,24.028601741
14,-0.167217346461,24.1272792487,24.4145220217,24.028601741
14.1,-0.147473611578,24.1040624064,24.4145220217,24.028601741
14.2,-0.153920545417,24.1040624064,24.4145220217,24.005381207
14.3,-0.153920545417,24.1040624064,24.4145220217,24.005381207
14.4,-0.147473611578,24.1040624064,24.4145220217,24.028601741
14.5,-0.153920545417,24.0793935804,24.4145220217,24.028601741
14.6,-0.160770412622,24.1040624064,24.4145220217,23.9807084036
14.7,-0.147473611578,24.1040624064,24.4145220217,24.005381207
14.8,-0.147473611578,24.1040624064,24.4145220217,24.005381207
14.9,-0.167217346461,24.1040624064,24.4145220217,24.005381207
15,-0.147473611578,24.0793935804,24.4145220217,23.9807084036
15.1,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
15.2,-0.153920545417,24.0793935804,24.4145220217,23.9807084036
15.3,-0.153920545417,24.0793935804,24.4145220217,24.005381207
15.4,-0.153920545417,24.0793935804,24.3898642416,23.9807084036
15.5,-0.167217346461,24.0561749731,24.3898642416,23.9807084036
15.6,-0.153920545417,24.0793935804,24.3898642416,23.9807084036
15.7,-0.167217346461,24.0793935804,24.4145220217,23.9807084036
15.8,-0.141026677738,24.0561749731,24.4145220217,24.005381207
15.9,-0.147473611578,24.0561749731,24.3898642416,24.005381207
16,-0.167217346461,24.0793935804,24.4145220217,23.9807084036
16.1,-0.167217346461,24.0793935804,24.4145220217,23.9807084036
16.2,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
16.3,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
16.4,-0.160770412622,24.0561749731,24.3898642416,23.9807084036
16.5,-0.160770412622,24.0561749731,24.3898642416,23.9807084036
16.6,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
16.7,-0.147473611578,24.0561749731,24.4145220217,23.9807084036
16.8,-0.167217346461,24.0793935804,24.4145220217,23.9807084036
16.9,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
17,-0.167217346461,24.0793935804,24.4145220217,23.9807084036
17.1,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
17.2,-0.160770412622,24.0793935804,24.4145220217,23.9807084036
17.3,-0.153920545417,24.0561749731,24.4145220217,23.9807084036
17.4,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
17.5,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
17.6,-0.147473611578,24.0561749731,24.4145220217,23.9807084036
17.7,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
17.8,-0.147473611578,24.0561749731,24.4145220217,23.9574860013
17.9,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
18,-0.160770412622,24.0561749731,24.4145220217,23.9574860013
18.1,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
18.2,-0.167217346461,24.0561749731,24.4145220217,23.9574860013
18.3,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
18.4,-0.147473611578,24.0561749731,24.4145220217,23.9574860013
18.5,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
18.6,-0.153920545417,24.0561749731,24.4145220217,23.9807084036
18.7,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
18.8,-0.167217346461,24.0561749731,24.4145220217,23.9574860013
18.9,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
19,-0.153920545417,24.0561749731,24.4145220217,23.9574860013
19.1,-0.153920545417,24.0561749731,24.4145220217,23.9807084036
19.2,-0.167217346461,24.0561749731,24.4145220217,23.9574860013
19.3,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
19.4,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
19.5,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
19.6,-0.160770412622,24.0561749731,24.4145220217,23.9574860013
19.7,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
19.8,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
19.9,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
20,-0.160770412622,24.0561749731,24.3898642416,23.9807084036
20.1,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
20.2,-0.147473611578,24.0561749731,24.4145220217,23.9807084036
20.3,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
20.4,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
20.5,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
20.6,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
20.7,-0.153920545417,24.0561749731,24.4377286295,23.9807084036
20.8,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
20.9,-0.167217346461,24.0793935804,24.4377286295,23.9807084036
21,-0.167217346461,24.0561749731,24.4145220217,23.9807084036
21.1,-0.167217346461,24.0561749731,24.4377286295,24.005381207
21.2,-0.167217346461,24.0793935804,24.4377286295,23.9807084036
21.3,-0.173664280301,24.0561749731,24.4377286295,24.005381207
21.4,-0.153920545417,24.0561749731,24.4145220217,23.9807084036
21.5,-0.153920545417,24.0793935804,24.4377286295,23.9807084036
21.6,-0.160770412622,24.0793935804,24.4377286295,24.005381207
21.7,-0.160770412622,24.0561749731,24.4145220217,23.9807084036
21.8,-0.153920545417,24.0793935804,24.4623849043,23.9807084036
21.9,-0.153920545417,24.0561749731,24.4377286295,24.005381207
22,-0.160770412622,24.0793935804,24.4623849043,23.9807084036
22.1,-0.167217346461,24.0793935804,24.4377286295,24.005381207
22.2,-0.160770412622,24.0793935804,24.4377286295,24.005381207
22.3,-0.167217346461,24.0793935804,24.4623849043,24.005381207
22.4,-0.160770412622,24.0561749731,24.4623849043,24.005381207
22.5,-0.147473611578,24.1040624064,24.4377286295,23.9807084036
22.6,-0.160770412622,24.0793935804,24.4377286295,24.005381207
22.7,-0.160770412622,24.0793935804,24.4377286295,24.005381207
22.8,-0.153920545417,24.0793935804,24.4623849043,24.005381207
22.9,-0.167217346461,24.0561749731,24.4377286295,24.005381207
23,-0.160770412622,24.1040624064,24.4623849043,24.005381207
23.1,-0.160770412622,24.0793935804,24.4377286295,23.9807084036
23.2,-0.160770412622,24.0793935804,24.4623849043,23.9807084036
23.3,-0.160770412622,24.0561749731,24.4377286295,24.005381207
23.4,-0.160770412622,24.0793935804,24.4145220217,23.9807084036
23.5,-0.173664280301,24.0793935804,24.4377286295,24.005381207
23.6,-0.160770412622,24.0561749731,24.4377286295,23.9807084036
23.7,-0.167217346461,24.0793935804,24.4377286295,23.9807084036
23.8,-0.160770412622,24.0793935804,24.4145220217,23.9807084036
23.9,-0.160770412622,24.0793935804,24.4145220217,23.9807084036
24,-0.147473611578,24.0561749731,24.4145220217,23.9807084036
24.1,-0.160770412622,24.1040624064,24.4145220217,23.9807084036
24.2,-0.160770412622,24.0793935804,24.4145220217,23.9807084036
