"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-0.00967040075921,22.4498739051,22.4790073384,22.7105263245
0.1,-0.0229672018031,22.4251083965,22.3828568752,22.6624883253
0.2,-0.036264002847,22.4251083965,22.3828568752,22.6872360117
0.3,-0.0229672018031,22.4251083965,22.4061687605,22.6872360117
0.4,-0.0229672018031,22.4251083965,22.3828568752,22.6872360117
0.5,-0.036264002847,22.4251083965,22.4061687605,22.6624883253
0.6,-0.0165202679636,22.4251083965,22.4061687605,22.6872360117
0.7,-0.0165202679636,22.4251083965,22.4061687605,22.6872360117
0.8,-0.036264002847,22.4251083965,22.4061687605,22.6872360117
0.9,-0.0294141356426,22.4251083965,22.4061687605,22.6872360117
1,-0.0229672018031,22.4251083965,22.4061687605,22.6872360117
1.1,-0.036264002847,22.4251083965,22.3828568752,22.6872360117
1.2,-0.0229672018031,22.4017979138,22.4061687605,22.6872360117
1.3,-0.0294141356426,22.4251083965,22.3828568752,22.6391947448
1.4,-0.0294141356426,22.4251083965,22.4061687605,22.6624883253
1.5,-0.036264002847,22.4251083965,22.4061687605,22.6872360117
1.6,-0.0229672018031,22.4251083965,22.4061687605,22.6872360117
1.7,-0.036264002847,22.4251083965,22.3828568752,22.6624883253
1.8,-0.0229672018031,22.4017979138,22.4061687605,22.6624883253
1.9,-0.0229672018031,22.4251083965,22.4061687605,22.6624883253
2,-0.0165202679636,22.4251083965,22.4061687605,22.6872360117
2.1,-0.0294141356426,22.4251083965,22.3828568752,22.6872360117
2.2,-0.036264002847,22.4251083965,22.4061687605,22.6624883253
2.3,-0.036264002847,22.4251083965,22.4061687605,22.6624883253
2.4,-0.036264002847,22.3770286328,22.4061687605,22.6624883253
2.5,-0.036264002847,22.4251083965,22.3828568752,22.6391947448
2.6,-0.0427109366865,22.4251083965,22.4061687605,22.6624883253
2.7,-0.0229672018031,22.4017979138,22.4061687605,22.6391947448
2.8,-0.036264002847,22.4251083965,22.4309357486,22.6624883253
2.9,-0.0624546715699,22.4017979138,22.3828568752,22.6872360117
