"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0205496016133,23.0975076366,23.2443423523,23.286493193
0.1,0.0072528005694,23.0727876184,23.1963724484,23.2632380761
0.2,0.0072528005694,23.0247972489,23.1963724484,23.286493193
0.3,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
0.4,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
0.5,-0.012490934314,23.0495202988,23.2210849083,23.286493193
0.6,0.000805866729934,23.0247972489,23.2210849083,23.286493193
0.7,-0.00564106710954,23.0247972489,23.2210849083,23.286493193
0.8,-0.00564106710954,23.0727876184,23.1731123084,23.2632380761
0.9,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
1,-0.00564106710954,23.0247972489,23.1963724484,23.286493193
1.1,0.000805866729934,23.0727876184,23.1963724484,23.2632380761
1.2,-0.00564106710954,23.0495202988,23.1963724484,23.286493193
1.3,-0.012490934314,23.0727876184,23.2210849083,23.286493193
1.4,-0.00564106710954,23.0727876184,23.2443423523,23.2632380761
1.5,-0.00564106710954,23.0495202988,23.2443423523,23.286493193
1.6,-0.00564106710954,23.0247972489,23.2210849083,23.286493193
1.7,-0.012490934314,23.0727876184,23.1963724484,23.2632380761
1.8,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
1.9,-0.00564106710954,23.0495202988,23.2210849083,23.286493193
2,-0.012490934314,23.0727876184,23.1963724484,23.2632380761
2.1,-0.00564106710954,23.0495202988,23.1963724484,23.286493193
2.2,-0.0189378681534,23.0495202988,23.1963724484,23.286493193
2.3,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
2.4,0.0072528005694,23.0727876184,23.1963724484,23.2632380761
2.5,0.000805866729934,23.0727876184,23.2443423523,23.2632380761
2.6,0.000805866729934,23.0495202988,23.1963724484,23.286493193
2.7,-0.00564106710954,23.0727876184,23.2210849083,23.286493193
2.8,0.000805866729934,23.0727876184,23.1963724484,23.2632380761
2.9,-0.012490934314,23.0727876184,23.2210849083,23.2632380761
3,0.000805866729934,23.0727876184,23.1963724484,23.2632380761
3.1,-0.012490934314,23.0727876184,23.2210849083,23.2632380761
3.2,-0.012490934314,23.0727876184,23.2443423523,23.286493193
3.3,0.0072528005694,23.0727876184,23.1963724484,23.286493193
3.4,-0.00564106710954,23.0727876184,23.2210849083,23.2632380761
3.5,0.0072528005694,23.0727876184,23.2210849083,23.2632380761
3.6,0.0072528005694,23.0495202988,23.1963724484,23.286493193
3.7,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
3.8,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
3.9,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
4,-0.00564106710954,23.0495202988,23.1963724484,23.286493193
4.1,-0.012490934314,23.0727876184,23.1963724484,23.2632380761
4.2,-0.00564106710954,23.0727876184,23.1963724484,23.2632380761
4.3,-0.00564106710954,23.0727876184,23.1963724484,23.286493193
4.4,-0.00564106710954,23.0727876184,23.2210849083,23.286493193
4.5,-0.012490934314,23.0495202988,23.1731123084,23.286493193
4.6,-0.00564106710954,23.0727876184,23.1731123084,23.2632380761
4.7,0.376339762879,23.0727876184,23.1963724484,23.286493193
4.8,0.765170460072,23.0495202988,23.1731123084,23.286493193
4.9,0.963010742271,23.0495202988,23.1963724484,23.2632380761
5,-0.493593372084,23.0727876184,23.1963724484,23.286493193
