"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-0.190587481629,22.5940588601,24.3898642416,24.9858122094
0.1,-0.190587481629,22.5940588601,24.3187873134,24.9858122094
0.2,-0.18414054779,22.5940588601,24.3187873134,24.9611689622
0.3,-0.190587481629,22.5940588601,24.3187873134,24.9858122094
0.4,-0.197437348834,22.5940588601,24.3187873134,24.8901357334
0.5,-0.190587481629,22.5940588601,24.3187873134,24.9858122094
0.6,-0.190587481629,22.5940588601,24.3419968541,24.9858122094
0.7,-0.190587481629,22.5940588601,24.3187873134,24.9858122094
0.8,-0.190587481629,22.5940588601,24.3187873134,24.9611689622
0.9,-0.190587481629,22.5693043366,24.3187873134,24.9858122094
1,-0.197437348834,22.5693043366,24.3187873134,24.9858122094
1.1,-0.203884282673,22.5460042709,24.3187873134,24.9858122094
1.2,-0.203884282673,22.5212461409,24.3187873134,24.9611689622
1.3,-0.197437348834,22.5212461409,24.3187873134,24.9858122094
1.4,-0.17769361395,22.5212461409,24.3187873134,24.9858122094
1.5,-0.190587481629,22.5212461409,24.3187873134,24.9858122094
1.6,-0.197437348834,22.5212461409,24.3187873134,24.9858122094
1.7,-0.197437348834,22.5212461409,24.3187873134,24.9858122094
1.8,-0.190587481629,22.5212461409,24.3187873134,24.9858122094
1.9,-0.190587481629,22.5212461409,24.3187873134,24.9858122094
2,-0.190587481629,22.497942655,24.3187873134,24.9858122094
2.1,-0.203884282673,22.497942655,24.3187873134,24.9858122094
2.2,-0.197437348834,22.4731808633,24.3187873134,24.9858122094
2.3,-0.190587481629,22.4731808633,24.3187873134,24.9858122094
2.4,-0.190587481629,22.4498739051,24.3187873134,24.9858122094
2.5,-0.197437348834,22.4498739051,24.3187873134,24.9858122094
2.6,-0.203884282673,22.4251083965,24.3187873134,24.9858122094
2.7,-0.190587481629,22.4251083965,24.3187873134,24.9858122094
2.8,-0.18414054779,22.4251083965,24.3187873134,24.9858122094
2.9,-0.197437348834,22.4251083965,24.3187873134,24.9858122094
3,-0.197437348834,22.4017979138,24.3187873134,25.0090054346
3.1,-0.190587481629,22.4017979138,24.3187873134,24.9858122094
3.2,-0.197437348834,22.3770286328,24.3187873134,25.0090054346
3.3,-0.190587481629,22.4017979138,24.3187873134,25.0090054346
3.4,-0.197437348834,22.3770286328,24.3187873134,25.0090054346
3.5,-0.190587481629,22.3770286328,24.2955770317,25.0090054346
3.6,-0.190587481629,22.3770286328,24.2955770317,25.0090054346
3.7,-0.197437348834,22.3770286328,24.3187873134,25.0090054346
3.8,-0.18414054779,22.3770286328,24.2955770317,25.0090054346
3.9,-0.190587481629,22.3537145736,24.3187873134,25.0090054346
4,-0.18414054779,22.3537145736,24.3187873134,25.0090054346
4.1,-0.190587481629,22.3289414647,24.2955770317,25.0090054346
4.2,-0.210331216513,22.3289414647,24.2955770317,25.0090054346
4.3,-0.197437348834,22.3056237767,24.2955770317,25.0090054346
4.4,-0.203884282673,22.3056237767,24.2955770317,25.0090054346
4.5,-0.203884282673,22.3056237767,24.2955770317,25.0090054346
4.6,-0.203884282673,22.3056237767,24.2955770317,25.0090054346
4.7,-0.197437348834,22.3056237767,24.2955770317,25.0090054346
4.8,-0.190587481629,22.3056237767,24.2709152825,25.0090054346
4.9,-0.197437348834,22.2575254152,24.2709152825,25.0090054346
5,-0.190587481629,22.2575254152,24.2955770317,25.0336478042
5.1,-0.197437348834,22.2575254152,24.2709152825,25.0090054346
5.2,-0.203884282673,22.2575254152,24.2709152825,25.0336478042
5.3,-0.190587481629,22.2327444839,24.2709152825,25.0090054346
5.4,-0.190587481629,22.2094193811,24.2709152825,25.0090054346
5.5,-0.190587481629,22.2094193811,24.2709152825,25.0336478042
5.6,-0.18414054779,22.2094193811,24.2477034355,25.0090054346
5.7,-0.203884282673,22.2094193811,24.2709152825,25.0090054346
5.8,-0.190587481629,22.2094193811,24.2709152825,25.0090054346
5.9,-0.18414054779,22.2094193811,24.2477034355,25.0090054346
6,-0.190587481629,22.2094193811,24.2709152825,25.0090054346
6.1,-0.190587481629,22.2094193811,24.2709152825,25.0336478042
6.2,-0.190587481629,22.2094193811,24.2709152825,25.0336478042
6.3,-0.190587481629,22.2094193811,24.2709152825,25.0336478042
6.4,-0.190587481629,22.2094193811,24.2709152825,25.0336478042
6.5,-0.190587481629,22.2094193811,24.2477034355,25.0336478042
6.6,-0.197437348834,22.2094193811,24.2477034355,25.0090054346
6.7,-0.197437348834,22.2094193811,24.2709152825,25.0336478042
6.8,-0.203884282673,22.2327444839,24.2477034355,25.0336478042
6.9,-0.190587481629,22.2327444839,24.2709152825,25.0336478042
7,-0.190587481629,22.2327444839,24.2709152825,25.0336478042
7.1,-0.190587481629,22.2575254152,24.2709152825,25.0336478042
7.2,-0.203884282673,22.2575254152,24.2477034355,25.0336478042
7.3,-0.197437348834,22.2808467844,24.2709152825,25.056840228
7.4,-0.203884282673,22.2808467844,24.2709152825,25.056840228
7.5,-0.18414054779,22.2808467844,24.2709152825,25.056840228
7.6,-0.18414054779,22.2808467844,24.2709152825,25.056840228
7.7,-0.197437348834,22.3056237767,24.2955770317,25.056840228
7.8,-0.197437348834,22.3056237767,24.2955770317,25.056840228
7.9,-0.190587481629,22.3056237767,24.2709152825,25.056840228
8,-0.203884282673,22.3056237767,24.2955770317,25.056840228
8.1,-0.197437348834,22.3056237767,24.2709152825,25.056840228
8.2,-0.203884282673,22.3056237767,24.2955770317,25.056840228
8.3,-0.210331216513,22.3289414647,24.2955770317,25.056840228
8.4,-0.203884282673,22.3289414647,24.2955770317,25.0814817722
8.5,-0.210331216513,22.3289414647,24.2955770317,25.0814817722
8.6,-0.203884282673,22.3537145736,24.2955770317,25.0814817722
8.7,-0.210331216513,22.3537145736,24.3187873134,25.0814817722
8.8,-0.203884282673,22.3537145736,24.3187873134,25.0814817722
8.9,-0.203884282673,22.3770286328,24.3187873134,25.0814817722
9,-0.210331216513,22.4017979138,24.3187873134,25.0814817722
9.1,-0.203884282673,22.4017979138,24.3187873134,25.0814817722
9.2,-0.217181083717,22.4017979138,24.3187873134,25.0814817722
9.3,-0.190587481629,22.4251083965,24.3187873134,25.0814817722
9.4,-0.203884282673,22.4251083965,24.3187873134,25.0814817722
9.5,-0.203884282673,22.4251083965,24.3187873134,25.0814817722
9.6,-0.210331216513,22.4251083965,24.3187873134,25.0814817722
9.7,-0.203884282673,22.4251083965,24.3187873134,25.1046734438
9.8,-0.197437348834,22.4251083965,24.3187873134,25.0814817722
9.9,-0.197437348834,22.4251083965,24.3187873134,25.1046734438
10,-0.210331216513,22.4251083965,24.3187873134,25.1046734438
10.1,-0.203884282673,22.4498739051,24.3187873134,25.1046734438
10.2,-0.197437348834,22.4251083965,24.3187873134,25.1046734438
10.3,-0.203884282673,22.4251083965,24.3187873134,25.1046734438
10.4,-0.203884282673,22.4498739051,24.3187873134,25.1293142149
