"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.0141026677738,22.4498739051,22.6945144034,22.9506185434
0.1,-0.012088000949,22.4251083965,22.6697672424,22.9026127818
0.2,-0.012088000949,22.4251083965,22.6697672424,22.9026127818
0.3,-0.00564106710954,22.4251083965,22.6464741604,22.9026127818
0.4,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
0.5,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
0.6,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
0.7,-0.00564106710954,22.4251083965,22.6464741604,22.9026127818
0.8,-0.0189378681534,22.4251083965,22.6697672424,22.9026127818
0.9,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
1,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
1.1,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
1.2,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
1.3,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
1.4,0.000805866729934,22.4251083965,22.6697672424,22.8793350233
1.5,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
1.6,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
1.7,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
1.8,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
1.9,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
2,-0.012088000949,22.4251083965,22.6697672424,22.9026127818
2.1,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
2.2,-0.00564106710954,22.4251083965,22.6464741604,22.9026127818
2.3,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
2.4,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
2.5,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
2.6,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
2.7,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
2.8,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
2.9,-0.0253848019929,22.4251083965,22.6697672424,22.9026127818
3,-0.012088000949,22.4251083965,22.6697672424,22.9026127818
3.1,-0.00564106710954,22.4251083965,22.6464741604,22.9026127818
3.2,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
3.3,-0.012088000949,22.4251083965,22.6697672424,22.9026127818
3.4,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
3.5,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
3.6,0.00765573393437,22.4251083965,22.6697672424,22.9026127818
3.7,0.00765573393437,22.4251083965,22.6464741604,22.9026127818
3.8,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
3.9,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
4,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
4.1,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
4.2,-0.012088000949,22.4251083965,22.6697672424,22.9026127818
4.3,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
4.4,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
4.5,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
4.6,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
4.7,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
4.8,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
4.9,-0.012088000949,22.4251083965,22.6697672424,22.9026127818
5,-0.0253848019929,22.4251083965,22.6697672424,22.9026127818
5.1,0.000805866729934,22.4251083965,22.6464741604,22.8793350233
5.2,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
5.3,0.00765573393437,22.4251083965,22.6697672424,22.9026127818
5.4,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
5.5,-0.00564106710954,22.4251083965,22.6464741604,22.9026127818
5.6,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
5.7,0.00765573393437,22.4017979138,22.6697672424,22.9026127818
5.8,0.00765573393437,22.4251083965,22.6697672424,22.9026127818
5.9,-0.0253848019929,22.4251083965,22.6697672424,22.9026127818
6,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
6.1,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
6.2,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
6.3,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
6.4,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
6.5,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
6.6,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
6.7,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
6.8,-0.012088000949,22.4017979138,22.6697672424,22.9026127818
6.9,0.000805866729934,22.4017979138,22.6697672424,22.9026127818
7,-0.00564106710954,22.4017979138,22.6464741604,22.9026127818
7.1,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
7.2,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
7.3,-0.00564106710954,22.4017979138,22.6945144034,22.9026127818
7.4,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
7.5,0.000805866729934,22.4251083965,22.6697672424,22.9026127818
7.6,0.000805866729934,22.4017979138,22.6697672424,22.9026127818
7.7,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
7.8,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
7.9,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
8,0.000805866729934,22.4017979138,22.6697672424,22.9026127818
8.1,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
8.2,0.000805866729934,22.4017979138,22.6697672424,22.9026127818
8.3,-0.00564106710954,22.4251083965,22.6697672424,22.9026127818
8.4,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
8.5,-0.00564106710954,22.4017979138,22.6464741604,22.9026127818
8.6,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
8.7,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
8.8,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
8.9,0.000805866729934,22.4017979138,22.6464741604,22.9026127818
9,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
9.1,0.000805866729934,22.4017979138,22.6697672424,22.9026127818
9.2,0.00765573393437,22.3770286328,22.6464741604,22.9026127818
9.3,0.000805866729934,22.4017979138,22.6464741604,22.9026127818
9.4,0.000805866729934,22.4017979138,22.6697672424,22.9026127818
9.5,-0.00564106710954,22.4017979138,22.6697672424,22.9026127818
9.6,0.00765573393437,22.4017979138,22.6464741604,22.9026127818
9.7,-0.00564106710954,22.4251083965,22.6464741604,22.9026127818
9.8,-0.012088000949,22.4017979138,22.6464741604,22.9026127818
9.9,-0.00564106710954,22.4017979138,22.6464741604,22.9026127818
10,-0.00564106710954,22.4251083965,22.6464741604,22.9026127818
10.1,-0.012088000949,22.4017979138,22.6464741604,22.9026127818
10.2,0.000805866729934,22.4017979138,22.6697672424,22.8793350233
10.3,0.000805866729934,22.4017979138,22.6464741604,22.9026127818
10.4,-0.00564106710954,22.4017979138,22.6217235082,22.9026127818
10.5,-0.00564106710954,22.4017979138,22.6697672424,22.8793350233
10.6,-0.00564106710954,22.4017979138,22.6464741604,22.9026127818
10.7,-0.012088000949,22.4017979138,22.6464741604,22.9026127818
10.8,0.000805866729934,22.4017979138,22.6464741604,22.8793350233
10.9,0.000805866729934,22.4017979138,22.6464741604,22.9026127818
11,-0.0253848019929,22.4251083965,22.6464741604,22.8793350233
11.1,0.0273994688177,22.4251083965,22.6217235082,22.8793350233
11.2,0.0205496016133,22.4017979138,22.6464741604,22.9026127818
11.3,-0.00564106710954,22.4017979138,22.6217235082,22.8793350233
11.4,-0.00564106710954,22.4251083965,22.6217235082,22.8793350233
11.5,-0.00564106710954,22.4251083965,22.6217235082,22.8793350233
11.6,0.00765573393437,22.4251083965,22.6464741604,22.8793350233
11.7,0.00765573393437,22.4017979138,22.6464741604,22.9026127818
11.8,-0.00564106710954,22.4251083965,22.6217235082,22.8793350233
11.9,-0.012088000949,22.4251083965,22.6217235082,22.8793350233
12,0.000805866729934,22.4251083965,22.6217235082,22.8793350233
12.1,-0.0253848019929,22.4251083965,22.6464741604,22.8793350233
12.2,-0.0515754707158,22.4251083965,22.6464741604,22.8793350233
12.3,0.0273994688177,22.4251083965,22.6217235082,22.9026127818
12.4,0.00765573393437,22.4251083965,22.6217235082,22.9026127818
12.5,0.00765573393437,22.4251083965,22.6217235082,22.9026127818
12.6,0.0205496016133,22.4251083965,22.6217235082,22.9026127818
12.7,0.0141026677738,22.4498739051,22.6217235082,22.8793350233
