"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-1.33572410487,39.1734674174,40.7072056345,42.2362079911
0.1,-1.15762755755,39.1218154244,40.7072056345,42.1014082564
0.2,-0.933596606628,39.1218154244,40.7072056345,42.1825840004
0.3,-0.762349926517,39.0451746924,40.7598261091,42.1825840004
0.4,-0.597550180246,39.1218154244,40.7072056345,42.2085787311
0.5,-0.446047235018,39.1218154244,40.7327143446,42.1825840004
0.6,-0.353775494441,39.1218154244,40.7072056345,42.1825840004
0.7,-0.234910151776,39.0451746924,40.7327143446,42.2362079911
0.8,-0.136191477359,39.0967827138,40.7072056345,42.2362079911
0.9,-0.136191477359,39.0967827138,40.7072056345,42.2085787311
1,-0.122894676315,39.1484203159,40.7072056345,42.2085787311
1.1,-0.0967040075921,39.1218154244,40.7072056345,42.2362079911
1.2,-0.0967040075921,39.0967827138,40.7072056345,42.1289982056
1.3,-0.24176001898,39.1218154244,40.7072056345,42.2362079911
1.4,-0.426303500135,39.0967827138,40.7072056345,42.2362079911
1.5,-0.630590716173,39.1218154244,40.6020663491,42.2362079911
1.6,-0.801837396284,39.1218154244,40.6801113709,42.2362079911
1.7,-0.973084076395,39.1484203159,40.7072056345,42.2362079911
1.8,-1.21041182836,39.0451746924,40.7072056345,42.2362079911
1.9,-1.37521157463,39.1218154244,40.6801113709,42.2622212985
2,-1.36191477359,39.1218154244,40.6801113709,42.2362079911
2.1,-1.37521157463,39.1484203159,40.7072056345,42.2622212985
2.2,-1.50697078498,39.1218154244,40.7072056345,42.2622212985
2.3,-1.63228306148,39.1218154244,40.7072056345,42.1825840004
2.4,-1.6584737302,39.1218154244,40.6801113709,42.2622212985
2.5,-1.59924252555,39.1218154244,40.7072056345,42.2622212985
2.6,-1.50052385114,39.1218154244,40.6275422585,42.2898703376
2.7,-1.36191477359,39.1218154244,40.7072056345,42.2362079911
2.8,-1.23015556324,39.1484203159,40.7072056345,42.2898703376
2.9,-1.06535581697,39.0451746924,40.7327143446,42.3159022996
3,-0.867515534774,39.1218154244,40.7072056345,42.3435712007
3.1,-0.716012589546,39.1218154244,40.7072056345,42.3435712007
3.2,-0.630590716173,39.1734674174,40.7327143446,42.3435712007
3.3,-0.498831505829,39.1484203159,40.7598261091,42.3435712007
3.4,-0.393262964208,39.1484203159,40.7598261091,42.3435712007
3.5,-0.30099122363,39.1484203159,40.7598261091,42.3696218953
3.6,-0.169232013286,39.2000876341,40.7853513265,42.3696218953
3.7,-0.116447742475,39.1484203159,40.7327143446,42.3973107413
3.8,-0.142638411198,39.1484203159,40.7598261091,42.3159022996
3.9,-0.116447742475,39.1734674174,40.812480668,42.3973107413
4,-0.0834072065481,39.0967827138,40.8380224641,42.3973107413
4.1,-0.116447742475,39.1218154244,40.7072056345,42.4510891212
4.2,-0.261503753864,39.1218154244,40.812480668,42.4233802469
4.3,-0.432750433974,39.1734674174,40.7598261091,42.3973107413
4.4,-0.603997114085,39.0967827138,40.8380224641,42.4510891212
4.5,-0.801837396284,39.1218154244,40.8380224641,42.4510891212
4.6,-1.01257154616,39.1218154244,40.812480668,42.4510891212
4.7,-1.2237086294,39.1484203159,40.8380224641,42.4510891212
4.8,-1.3421710387,39.1218154244,40.8380224641,42.4771775162
4.9,-1.36876464079,39.0967827138,40.8380224641,42.3696218953
5,-1.4146990444,39.0967827138,40.8380224641,42.4510891212
5.1,-1.5400113209,39.0967827138,40.8907279054,42.4771775162
5.2,-1.63228306148,39.0967827138,40.812480668,42.5310138656
5.3,-1.6584737302,39.0967827138,40.8907279054,42.4771775162
5.4,-1.52671451986,39.0967827138,40.8907279054,42.5049065024
5.5,-1.30268356894,39.0186002421,40.916294451,42.5310138656
5.6,-1.11169315394,39.0967827138,40.916294451,42.5587630475
5.7,-0.913852871745,39.0967827138,40.916294451,42.5310138656
5.8,-0.696268854663,39.0967827138,40.9434677986,42.5310138656
5.9,-0.538318975596,39.0967827138,40.9690511018,42.5587630475
6,-0.419453632931,39.0701930777,40.9690511018,42.4771775162
6.1,-0.287694422586,39.0701930777,40.9690511018,42.5310138656
6.2,-0.155935212242,39.0967827138,40.9690511018,42.5587630475
6.3,-0.109597875271,39.0451746924,40.8907279054,42.5587630475
6.4,-0.116447742475,39.0451746924,40.9434677986,42.4771775162
6.5,-0.0967040075921,39.0451746924,40.9434677986,42.5587630475
6.6,-0.109597875271,38.9935961167,40.9690511018,42.5587630475
6.7,-0.274397621542,39.0186002421,40.916294451,42.5587630475
6.8,-0.551212843275,39.0186002421,40.9690511018,42.5587630475
6.9,-0.73575632443,39.0451746924,40.9962422926,42.5587630475
7,-0.992827811278,38.9935961167,40.9962422926,42.5587630475
7.1,-1.2168587622,38.9935961167,40.9962422926,42.5587630475
7.2,-1.38165850847,39.0186002421,40.9962422926,42.5587630475
7.3,-1.40825211056,39.0451746924,40.9962422926,42.5587630475
7.4,-1.46103638137,39.0186002421,40.9962422926,42.5587630475
7.5,-1.59924252555,39.0186002421,40.9962422926,42.4771775162
7.6,-1.6584737302,39.0186002421,40.9962422926,42.5587630475
7.7,-1.57305185683,38.9935961167,41.0218424255,42.5587630475
7.8,-1.3421710387,39.0186002421,40.9690511018,42.5848894581
7.9,-1.07865261802,39.0186002421,41.0218424255,42.5587630475
8,-0.834877932211,39.0451746924,41.0218424255,42.5587630475
8.1,-0.623740848969,38.9670367828,41.0218424255,42.5848894581
8.2,-0.465790969902,39.0186002421,40.9962422926,42.5848894581
8.3,-0.314288024674,39.0186002421,40.9962422926,42.5587630475
8.4,-0.175678947126,39.0701930777,40.9962422926,42.5587630475
8.5,-0.142638411198,39.0186002421,41.0490515365,42.5587630475
8.6,-0.122894676315,39.0451746924,41.0218424255,42.4771775162
8.7,-0.116447742475,39.0451746924,41.0218424255,42.5587630475
8.8,-0.188975748169,39.0701930777,41.0490515365,42.5848894581
8.9,-0.419453632931,39.0186002421,40.9690511018,42.5848894581
9,-0.683374986984,39.0451746924,41.0490515365,42.5310138656
9.1,-0.973084076395,39.0701930777,41.0490515365,42.5848894581
9.2,-1.36191477359,38.9670367828,41.0746685717,42.5848894581
9.3,-1.43444277928,39.0186002421,41.0218424255,42.6126589198
9.4,-1.45418651417,39.0186002421,41.0218424255,42.5848894581
9.5,-1.64557986252,39.0451746924,41.0218424255,42.5848894581
9.6,-1.6584737302,39.0451746924,41.0490515365,42.6126589198
9.7,-1.51341771882,39.0451746924,41.0490515365,42.5848894581
9.8,-1.23660249708,39.0451746924,41.0490515365,42.6126589198
9.9,-0.920299805584,39.0701930777,41.0746685717,42.6126589198
10,-0.683374986984,39.0451746924,41.0218424255,42.6665942829
10.1,-0.518575240712,39.0451746924,41.0490515365,42.5587630475
10.2,-0.419453632931,39.0451746924,41.0746685717,42.6126589198
10.3,-0.222016284097,38.9935961167,41.100293828,42.6126589198
10.4,-0.142638411198,39.0451746924,40.9962422926,42.6665942829
10.5,-0.129744543519,39.0701930777,41.0490515365,42.6126589198
10.6,-0.116447742475,39.0967827138,41.0218424255,42.6126589198
10.7,-0.169232013286,39.0186002421,41.0218424255,42.6126589198
10.8,-0.327181892353,39.0967827138,40.9690511018,42.5848894581
10.9,-0.584253379202,39.0967827138,40.916294451,42.5587630475
11,-0.854621667095,39.1734674174,40.8907279054,42.5587630475
11.1,-1.13788382267,39.1218154244,40.8907279054,42.5587630475
11.2,-1.3421710387,39.1218154244,40.8380224641,42.4510891212
11.3,-1.36876464079,39.1218154244,40.7853513265,42.5049065024
11.4,-1.43444277928,39.0967827138,40.7598261091,42.4771775162
11.5,-1.58594572451,39.1218154244,40.6801113709,42.4771775162
11.6,-1.68506733229,39.0967827138,40.7072056345,42.4510891212
11.7,-1.59924252555,39.1218154244,40.7072056345,42.4510891212
11.8,-1.37521157463,39.0186002421,40.7327143446,42.4233802469
11.9,-1.00612461232,39.0967827138,40.7072056345,42.4510891212
12,-0.742606191634,39.0967827138,40.7072056345,42.3973107413
12.1,-0.564509644319,39.1218154244,40.7072056345,42.3696218953
12.2,-0.393262964208,39.0967827138,40.7072056345,42.3696218953
12.3,-0.234910151776,39.0967827138,40.6801113709,42.2898703376
12.4,-0.149488278403,39.0967827138,40.6801113709,42.3696218953
12.5,-0.103150941432,39.1218154244,40.6801113709,42.3696218953
12.6,-0.103150941432,39.0967827138,40.6020663491,42.3696218953
12.7,-0.149488278403,39.0967827138,40.6275422585,42.2622212985
12.8,-0.175678947126,39.0967827138,40.6275422585,42.3435712007
12.9,-0.413006699091,39.0186002421,40.6546190967,42.3435712007
13,-0.749053125473,39.0967827138,40.6020663491,42.3696218953
13.1,-1.05205901593,39.0701930777,40.6546190967,42.3435712007
13.2,-1.31598036998,39.0967827138,40.6801113709,42.3696218953
13.3,-1.35546783975,39.0701930777,40.7072056345,42.3696218953
13.4,-1.44773958033,39.0967827138,40.6801113709,42.3696218953
13.5,-1.55975505579,39.0701930777,40.7072056345,42.3696218953
13.6,-1.66532359741,39.0967827138,40.7072056345,42.3696218953
13.7,-1.6125393266,39.0701930777,40.7072056345,42.3696218953
13.8,-1.4146990444,39.0451746924,40.7072056345,42.2898703376
13.9,-1.10484328674,39.0701930777,40.7072056345,42.3696218953
14,-0.84777179989,38.9935961167,40.7072056345,42.3696218953
14.1,-0.623740848969,39.0451746924,40.6546190967,42.3973107413
14.2,-0.419453632931,39.0451746924,40.7072056345,42.3973107413
14.3,-0.254653886659,39.0451746924,40.7072056345,42.3973107413
14.4,-0.162382146082,38.9935961167,40.7327143446,42.4233802469
14.5,-0.0898541403876,39.0451746924,40.7072056345,42.4233802469
14.6,-0.142638411198,39.0451746924,40.7072056345,42.4233802469
14.7,-0.155935212242,39.0967827138,40.7072056345,42.3973107413
14.8,-0.267950687703,39.0451746924,40.7327143446,42.4510891212
14.9,-0.61084698129,39.0701930777,40.7072056345,42.3696218953
15,-0.913852871745,39.0701930777,40.7072056345,42.4510891212
15.1,-1.21041182836,39.0967827138,40.7072056345,42.4510891212
15.2,-1.33572410487,39.0701930777,40.6546190967,42.4510891212
15.3,-1.4146990444,39.0701930777,40.7072056345,42.3973107413
15.4,-1.48078011625,39.0967827138,40.7072056345,42.4510891212
15.5,-1.62543319428,38.9935961167,40.7327143446,42.4510891212
15.6,-1.62543319428,39.0701930777,40.7072056345,42.4771775162
15.7,-1.44088971312,39.0701930777,40.7072056345,42.4771775162
15.8,-1.11814008778,39.0967827138,40.7327143446,42.4771775162
15.9,-0.887662203022,39.0967827138,40.7327143446,42.4771775162
16,-0.676525119779,39.0701930777,40.7072056345,42.4510891212
16.1,-0.511725373508,39.0967827138,40.7072056345,42.4771775162
16.2,-0.320734958514,39.1218154244,40.7327143446,42.5049065024
16.3,-0.24176001898,39.0967827138,40.6801113709,42.5310138656
16.4,-0.136191477359,39.0967827138,40.7327143446,42.4510891212
16.5,-0.109597875271,39.0967827138,40.7598261091,42.5310138656
16.6,-0.149488278403,39.0186002421,40.7598261091,42.5310138656
16.7,-0.103150941432,39.0967827138,40.7072056345,42.5587630475
16.8,-0.228463217936,39.1218154244,40.812480668,42.5587630475
16.9,-0.564509644319,39.1218154244,40.8380224641,42.5587630475
17,-0.815134197328,39.0701930777,40.8635723243,42.5848894581
17.1,-1.08509955186,39.1218154244,40.8380224641,42.6126589198
17.2,-1.2962366351,39.1218154244,40.8635723243,42.5848894581
17.3,-1.42114597824,39.1734674174,40.8907279054,42.5848894581
17.4,-1.44773958033,39.1218154244,40.8907279054,42.6126589198
17.5,-1.54645825474,39.1484203159,40.916294451,42.5587630475
17.6,-1.68506733229,39.1484203159,40.9690511018,42.6388044569
17.7,-1.59924252555,39.1218154244,40.9690511018,42.6665942829
17.8,-1.40140224335,39.1218154244,40.916294451,42.6927590261
