"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-0.0112821342191,20.0584700902,20.1202712586,20.1070298822
0.1,-0.024578935263,20.0349213543,20.0717149327,20.082015821
0.2,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
0.3,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
0.4,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
0.5,-0.0112821342191,20.0098975148,20.0717149327,20.082015821
0.6,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
0.7,-0.024578935263,20.0349213543,20.0481678888,20.082015821
0.8,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
0.9,-0.0378757363069,20.0098975148,20.0717149327,20.082015821
1,-0.024578935263,20.0098975148,20.0717149327,20.082015821
1.1,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
1.2,-0.0181320014235,20.0098975148,20.0481678888,20.082015821
1.3,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
1.4,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
1.5,-0.024578935263,20.0349213543,20.0717149327,20.082015821
1.6,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
1.7,-0.024578935263,20.0098975148,20.0717149327,20.082015821
1.8,-0.024578935263,20.0098975148,20.0967303827,20.082015821
1.9,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
2,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
2.1,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
2.2,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
2.3,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
2.4,-0.0378757363069,20.0349213543,20.0717149327,20.082015821
2.5,-0.024578935263,20.0098975148,20.0717149327,20.082015821
2.6,-0.0181320014235,20.0098975148,20.0717149327,20.1070298822
2.7,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
2.8,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
2.9,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
3,-0.0181320014235,20.0349213543,20.0717149327,20.1070298822
3.1,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
3.2,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
3.3,-0.0378757363069,20.0098975148,20.0717149327,20.082015821
3.4,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
3.5,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
3.6,-0.024578935263,20.0098975148,20.0717149327,20.082015821
3.7,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
3.8,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
3.9,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
4,-0.024578935263,20.0349213543,20.0717149327,20.082015821
4.1,-0.0310258691025,20.0098975148,20.0717149327,20.1070298822
4.2,-0.0310258691025,20.0098975148,20.0967303827,20.082015821
4.3,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
4.4,-0.0310258691025,20.0349213543,20.0717149327,20.082015821
4.5,-0.0181320014235,20.0349213543,20.0967303827,20.082015821
4.6,-0.0181320014235,20.0098975148,20.0717149327,20.1070298822
4.7,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
4.8,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
4.9,-0.0181320014235,20.0349213543,20.0967303827,20.082015821
5,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
5.1,-0.0181320014235,20.0098975148,20.0717149327,20.082015821
5.2,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
5.3,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
5.4,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
5.5,-0.024578935263,20.0349213543,20.0967303827,20.082015821
5.6,-0.024578935263,20.0349213543,20.0717149327,20.082015821
5.7,-0.024578935263,20.0349213543,20.0967303827,20.082015821
5.8,-0.0378757363069,20.0098975148,20.0717149327,20.082015821
5.9,-0.0181320014235,20.0098975148,20.0967303827,20.1070298822
6,-0.0310258691025,20.0349213543,20.0717149327,20.1070298822
6.1,-0.024578935263,20.0349213543,20.0717149327,20.1070298822
6.2,-0.0310258691025,20.0098975148,20.0967303827,20.1070298822
6.3,-0.0181320014235,20.0349213543,20.0717149327,20.1070298822
6.4,-0.0181320014235,20.0098975148,20.0717149327,20.1070298822
6.5,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
6.6,-0.0378757363069,20.0349213543,20.0717149327,20.082015821
6.7,-0.0112821342191,20.0349213543,20.0967303827,20.082015821
6.8,-0.0181320014235,20.0349213543,20.0967303827,20.082015821
6.9,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
7,-0.0181320014235,20.0349213543,20.0717149327,20.1070298822
7.1,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
7.2,-0.0181320014235,20.0584700902,20.0967303827,20.1070298822
7.3,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
7.4,-0.0181320014235,20.0584700902,20.0967303827,20.082015821
7.5,-0.0181320014235,20.0584700902,20.0717149327,20.082015821
7.6,-0.0181320014235,20.0349213543,20.0717149327,20.1070298822
7.7,-0.0310258691025,20.0098975148,20.0717149327,20.1070298822
7.8,-0.0181320014235,20.0584700902,20.0967303827,20.1070298822
7.9,-0.0378757363069,20.0349213543,20.0717149327,20.082015821
8,-0.024578935263,20.0349213543,20.0717149327,20.1070298822
8.1,-0.0181320014235,20.0349213543,20.0967303827,20.082015821
8.2,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
8.3,-0.0310258691025,20.0349213543,20.0717149327,20.1070298822
8.4,-0.024578935263,20.0349213543,20.0717149327,20.1070298822
8.5,-0.024578935263,20.0349213543,20.0717149327,20.1070298822
8.6,-0.0310258691025,20.0349213543,20.0717149327,20.082015821
8.7,-0.024578935263,20.0349213543,20.0717149327,20.082015821
8.8,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
8.9,-0.0181320014235,20.0584700902,20.0717149327,20.082015821
9,-0.0310258691025,20.0098975148,20.0717149327,20.082015821
9.1,-0.0112821342191,20.0349213543,20.0717149327,20.1070298822
9.2,-0.0181320014235,20.0584700902,20.0967303827,20.1070298822
9.3,-0.0181320014235,20.0349213543,20.0717149327,20.1070298822
9.4,-0.0181320014235,20.0098975148,20.0717149327,20.1070298822
9.5,-0.024578935263,20.0098975148,20.0717149327,20.1070298822
9.6,-0.0378757363069,20.0349213543,20.0967303827,20.082015821
9.7,-0.024578935263,20.0349213543,20.0717149327,20.1070298822
9.8,-0.024578935263,20.0349213543,20.0717149327,20.082015821
9.9,-0.024578935263,20.0098975148,20.0717149327,20.1070298822
10,-0.0181320014235,20.0349213543,20.0717149327,20.082015821
