"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-0.00443226701464,19.7918965231,19.8302132504,19.8154770305
0.1,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
0.2,0.00201466682483,19.7432517415,19.7815790593,19.7904226367
0.3,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
0.4,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
0.5,0.00201466682483,19.7432517415,19.7815790593,19.7904226367
0.6,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
0.7,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
0.8,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
0.9,-0.0112821342191,19.7181870287,19.7815790593,19.7904226367
1,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
1.1,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
1.2,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
1.3,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
1.4,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
1.5,0.00201466682483,19.7432517415,19.7815790593,19.7904226367
1.6,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
1.7,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
1.8,0.00201466682483,19.7432517415,19.7815790593,19.7904226367
1.9,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
2,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
2.1,-0.0112821342191,19.7181870287,19.7815790593,19.7904226367
2.2,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
2.3,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
2.4,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
2.5,0.00201466682483,19.7181870287,19.7815790593,19.8154770305
2.6,-0.00443226701464,19.7432517415,19.8051609461,19.7904226367
2.7,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
2.8,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
2.9,-0.00443226701464,19.7432517415,19.8051609461,19.7904226367
3,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
3.1,-0.0177290680585,19.7432517415,19.8051609461,19.7904226367
3.2,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
3.3,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
3.4,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
3.5,-0.00443226701464,19.7432517415,19.8051609461,19.7904226367
3.6,-0.024578935263,19.7181870287,19.7815790593,19.7904226367
3.7,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
3.8,-0.00443226701464,19.7432517415,19.8051609461,19.7904226367
3.9,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
4,-0.00443226701464,19.7432517415,19.8051609461,19.8154770305
4.1,0.00201466682483,19.7432517415,19.7815790593,19.7904226367
4.2,-0.0177290680585,19.7432517415,19.8051609461,19.7904226367
4.3,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
4.4,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
4.5,-0.0112821342191,19.7432517415,19.7815790593,19.8154770305
4.6,-0.00443226701464,19.7432517415,19.7815790593,19.8154770305
4.7,-0.0112821342191,19.7432517415,19.8051609461,19.7904226367
4.8,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
4.9,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
5,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
5.1,0.00201466682483,19.7432517415,19.8051609461,19.7904226367
5.2,-0.00443226701464,19.7432517415,19.7815790593,19.8154770305
5.3,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
5.4,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
5.5,0.00201466682483,19.7432517415,19.8051609461,19.7904226367
5.6,-0.0177290680585,19.7432517415,19.8051609461,19.7904226367
5.7,-0.00443226701464,19.7668387747,19.7815790593,19.8154770305
5.8,-0.00443226701464,19.7432517415,19.8051609461,19.8154770305
5.9,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
6,-0.0112821342191,19.7668387747,19.7815790593,19.7904226367
6.1,-0.00443226701464,19.7432517415,19.8051609461,19.7904226367
6.2,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
6.3,-0.0112821342191,19.7668387747,19.8051609461,19.7904226367
6.4,-0.00443226701464,19.7432517415,19.8051609461,19.7904226367
6.5,-0.0112821342191,19.7668387747,19.8051609461,19.7904226367
6.6,-0.0177290680585,19.7432517415,19.8051609461,19.7904226367
6.7,-0.00443226701464,19.7432517415,19.8051609461,19.8154770305
6.8,-0.00443226701464,19.7432517415,19.8051609461,19.8154770305
6.9,-0.00443226701464,19.7668387747,19.8051609461,19.7904226367
7,-0.00443226701464,19.7668387747,19.8051609461,19.7904226367
7.1,-0.00443226701464,19.7668387747,19.8051609461,19.7904226367
7.2,-0.00443226701464,19.7432517415,19.8051609461,19.7904226367
7.3,-0.0177290680585,19.7668387747,19.8051609461,19.7904226367
7.4,-0.00443226701464,19.7432517415,19.8051609461,19.8154770305
7.5,-0.00443226701464,19.7668387747,19.8051609461,19.7904226367
7.6,-0.0177290680585,19.7668387747,19.8051609461,19.8154770305
7.7,-0.0177290680585,19.7668387747,19.7815790593,19.7904226367
7.8,-0.0177290680585,19.7668387747,19.8051609461,19.7904226367
7.9,-0.00443226701464,19.7668387747,19.8051609461,19.8154770305
8,-0.0112821342191,19.7668387747,19.8051609461,19.7904226367
8.1,-0.00443226701464,19.7668387747,19.8051609461,19.8154770305
8.2,-0.00443226701464,19.7668387747,19.8051609461,19.8154770305
8.3,-0.0112821342191,19.7432517415,19.8051609461,19.8154770305
8.4,-0.00443226701464,19.7668387747,19.8051609461,19.7904226367
8.5,-0.024578935263,19.7668387747,19.8051609461,19.7904226367
8.6,-0.00443226701464,19.7668387747,19.8051609461,19.7904226367
8.7,-0.0177290680585,19.7432517415,19.8051609461,19.8154770305
8.8,-0.0112821342191,19.7918965231,19.8051609461,19.7904226367
8.9,-0.0112821342191,19.7432517415,19.8051609461,19.8154770305
9,-0.0177290680585,19.7668387747,19.8051609461,19.7904226367
9.1,-0.0112821342191,19.7668387747,19.8051609461,19.7904226367
9.2,-0.0112821342191,19.7668387747,19.7815790593,19.8154770305
9.3,-0.0177290680585,19.7668387747,19.8051609461,19.8154770305
9.4,-0.0112821342191,19.7668387747,19.7815790593,19.8154770305
9.5,-0.0177290680585,19.7668387747,19.8051609461,19.8154770305
9.6,-0.00443226701464,19.7432517415,19.8051609461,19.8154770305
9.7,-0.0112821342191,19.7668387747,19.8051609461,19.8154770305
9.8,-0.00443226701464,19.7668387747,19.8051609461,19.7904226367
9.9,-0.0177290680585,19.7918965231,19.8051609461,19.8154770305
10,-0.0112821342191,19.7432517415,19.8051609461,19.8154770305
10.1,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
10.2,-0.0177290680585,19.7432517415,19.7815790593,19.8154770305
10.3,-0.0177290680585,19.7668387747,19.7815790593,19.7904226367
10.4,-0.0177290680585,19.7668387747,19.7815790593,19.8154770305
10.5,-0.0177290680585,19.7668387747,19.7815790593,19.8154770305
10.6,-0.00443226701464,19.7668387747,19.7815790593,19.7904226367
10.7,-0.0112821342191,19.7668387747,19.7815790593,19.8154770305
10.8,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
10.9,-0.0112821342191,19.7668387747,19.7815790593,19.8154770305
11,-0.0112821342191,19.7668387747,19.8051609461,19.7904226367
11.1,-0.00443226701464,19.7432517415,19.7815790593,19.8154770305
11.2,-0.024578935263,19.7668387747,19.7815790593,19.8154770305
11.3,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
11.4,-0.0177290680585,19.7668387747,19.8051609461,19.8154770305
11.5,-0.0177290680585,19.7432517415,19.7815790593,19.8154770305
11.6,-0.0177290680585,19.7432517415,19.7815790593,19.8154770305
11.7,-0.0177290680585,19.7668387747,19.7815790593,19.8154770305
11.8,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
11.9,-0.00443226701464,19.7668387747,19.7815790593,19.7904226367
12,-0.00443226701464,19.7432517415,19.7815790593,19.8154770305
12.1,-0.024578935263,19.7668387747,19.7815790593,19.7904226367
12.2,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
12.3,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
12.4,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
12.5,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
12.6,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
12.7,-0.0177290680585,19.7668387747,19.7815790593,19.7904226367
12.8,-0.024578935263,19.7432517415,19.7815790593,19.7904226367
12.9,-0.024578935263,19.7432517415,19.7815790593,19.7904226367
13,-0.00443226701464,19.7432517415,19.7815790593,19.7904226367
13.1,-0.0177290680585,19.7432517415,19.7815790593,19.7668387747
13.2,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
13.3,-0.024578935263,19.7432517415,19.7815790593,19.7904226367
13.4,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
13.5,-0.024578935263,19.7432517415,19.7815790593,19.7904226367
13.6,-0.024578935263,19.7432517415,19.7815790593,19.7904226367
13.7,-0.0177290680585,19.7668387747,19.7815790593,19.7904226367
13.8,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
13.9,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
14,-0.0112821342191,19.7432517415,19.7815790593,19.7668387747
14.1,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
14.2,-0.0112821342191,19.7432517415,19.7815790593,19.7904226367
14.3,-0.0177290680585,19.7432517415,19.7579940096,19.7668387747
14.4,-0.00443226701464,19.7432517415,19.7815790593,19.7668387747
14.5,-0.00443226701464,19.7432517415,19.7815790593,19.7668387747
14.6,-0.0177290680585,19.7432517415,19.7815790593,19.7668387747
14.7,-0.024578935263,19.7432517415,19.7579940096,19.7668387747
14.8,-0.024578935263,19.7432517415,19.7815790593,19.7668387747
14.9,-0.0112821342191,19.7432517415,19.7579940096,19.7668387747
15,-0.0177290680585,19.7432517415,19.7815790593,19.7904226367
15.1,-0.024578935263,19.7432517415,19.7815790593,19.7668387747
15.2,-0.0112821342191,19.7432517415,19.7579940096,19.7668387747
