"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,-0.012490934314,22.5940588601,22.9578916064,23.1425813611
0.1,-0.0451285368763,22.5940588601,22.9578916064,23.0713334514
0.2,-0.0189378681534,22.5693043366,22.9578916064,23.0945994794
0.3,-0.0253848019929,22.5212461409,22.9331626175,23.1425813611
0.4,-0.0322346691974,22.5693043366,22.9098867802,23.0945994794
0.5,-0.0386816030368,22.5940588601,22.9331626175,23.0945994794
0.6,-0.0189378681534,22.5693043366,22.9578916064,23.0945994794
0.7,-0.0451285368763,22.5212461409,22.9331626175,23.1425813611
0.8,-0.0253848019929,22.5693043366,22.9578916064,23.0713334514
0.9,-0.0322346691974,22.5940588601,22.9331626175,23.0945994794
1,-0.0386816030368,22.5460042709,22.9578916064,23.0945994794
1.1,-0.0386816030368,22.5693043366,22.9098867802,23.0713334514
1.2,-0.0451285368763,22.5693043366,22.9578916064,23.0713334514
1.3,-0.0322346691974,22.6173555575,22.9578916064,23.0945994794
1.4,-0.0451285368763,22.5212461409,22.9331626175,23.1193181376
1.5,-0.0386816030368,22.5693043366,22.885154601,23.0713334514
1.6,-0.0322346691974,22.5940588601,22.9578916064,23.0466117864
1.7,-0.0253848019929,22.5693043366,22.9578916064,23.0945994794
1.8,-0.0189378681534,22.5212461409,22.9098867802,23.1193181376
1.9,-0.0451285368763,22.5693043366,22.9098867802,23.0713334514
2,-0.0386816030368,22.5940588601,22.9331626175,23.0945994794
2.1,-0.0386816030368,22.5693043366,22.9578916064,23.0945994794
2.2,-0.0322346691974,22.5212461409,22.9331626175,23.1425813611
2.3,-0.0386816030368,22.5693043366,22.9331626175,23.0466117864
2.4,-0.0322346691974,22.6173555575,22.9578916064,23.0713334514
2.5,-0.0322346691974,22.5460042709,22.9578916064,23.1193181376
2.6,-0.0253848019929,22.5693043366,22.9098867802,23.0713334514
2.7,-0.0322346691974,22.5940588601,22.9578916064,23.0466117864
2.8,-0.0253848019929,22.6173555575,22.9578916064,23.0945994794
2.9,-0.0322346691974,22.5212461409,22.9331626175,23.1193181376
3,-0.0519784040807,22.5693043366,22.885154601,23.0713334514
3.1,-0.0451285368763,22.5940588601,22.9578916064,23.0713334514
3.2,-0.0451285368763,22.5460042709,22.9578916064,23.0945994794
3.3,-0.0386816030368,22.5212461409,22.9098867802,23.0945994794
3.4,-0.0386816030368,22.5693043366,22.9098867802,23.0713334514
3.5,-0.0386816030368,22.5940588601,22.9331626175,23.0713334514
3.6,-0.0322346691974,22.5693043366,22.9578916064,23.0945994794
3.7,-0.0322346691974,22.5212461409,22.9098867802,23.0945994794
3.8,-0.0386816030368,22.5693043366,22.9331626175,23.0713334514
3.9,-0.0253848019929,22.6173555575,22.9331626175,23.0713334514
4,-0.0189378681534,22.5460042709,22.9578916064,23.0945994794
4.1,-0.0451285368763,22.5693043366,22.9098867802,23.0713334514
4.2,-0.0253848019929,22.5940588601,22.9331626175,23.0466117864
4.3,-0.0322346691974,22.5940588601,22.9578916064,23.0713334514
4.4,-0.0386816030368,22.5212461409,22.9098867802,23.0945994794
4.5,-0.0322346691974,22.5693043366,22.8618757353,23.0713334514
4.6,-0.0451285368763,22.5940588601,22.9331626175,23.0466117864
4.7,-0.0322346691974,22.5693043366,22.9331626175,23.0945994794
4.8,-0.0253848019929,22.5212461409,22.885154601,23.0945994794
4.9,-0.0386816030368,22.5693043366,22.885154601,23.0466117864
5,-0.0253848019929,22.5940588601,22.9331626175,23.0713334514
5.1,-0.0322346691974,22.5460042709,22.9331626175,23.0713334514
5.2,-0.0386816030368,22.5212461409,22.8618757353,23.0945994794
5.3,-0.0253848019929,22.5693043366,22.9098867802,23.0233429027
5.4,-0.0386816030368,22.5940588601,22.9098867802,23.0713334514
5.5,-0.0253848019929,22.5212461409,22.9331626175,23.0713334514
5.6,-0.0253848019929,22.5693043366,22.8618757353,23.0466117864
5.7,-0.0451285368763,22.5693043366,22.885154601,23.0233429027
5.8,-0.0386816030368,22.5940588601,22.9098867802,23.0713334514
5.9,-0.0386816030368,22.5212461409,22.885154601,23.0945994794
6,-0.0322346691974,22.5693043366,22.8618757353,23.0713334514
6.1,-0.0253848019929,22.5940588601,22.885154601,23.0233429027
6.2,-0.0322346691974,22.5693043366,22.885154601,23.0713334514
6.3,-0.0451285368763,22.5693043366,22.885154601,23.0713334514
6.4,-0.0322346691974,22.5460042709,22.885154601,23.0713334514
6.5,-0.0386816030368,22.5693043366,22.885154601,23.0713334514
6.6,-0.0253848019929,22.5693043366,22.885154601,23.0713334514
6.7,-0.0322346691974,22.5693043366,22.885154601,23.0713334514
6.8,-0.0322346691974,22.5693043366,22.885154601,23.0713334514
6.9,-0.0253848019929,22.5693043366,22.885154601,23.0713334514
7,-0.0386816030368,22.5693043366,22.885154601,23.0713334514
7.1,-0.0253848019929,22.5693043366,22.885154601,23.0713334514
7.2,-0.0451285368763,22.5693043366,22.885154601,23.0713334514
7.3,-0.0322346691974,22.5460042709,22.885154601,23.0713334514
7.4,-0.0451285368763,22.5693043366,22.885154601,23.0713334514
7.5,-0.0253848019929,22.5693043366,22.885154601,23.0713334514
7.6,-0.0386816030368,22.5693043366,22.885154601,23.0713334514
7.7,-0.0322346691974,22.5460042709,22.8618757353,23.0713334514
7.8,-0.0386816030368,22.5212461409,22.885154601,23.0713334514
7.9,-0.0386816030368,22.5460042709,22.885154601,23.0713334514
8,-0.0386816030368,22.5212461409,22.885154601,23.0713334514
8.1,-0.0386816030368,22.5460042709,22.885154601,23.0713334514
8.2,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
8.3,-0.0322346691974,22.5460042709,22.8618757353,23.0713334514
8.4,-0.0386816030368,22.5460042709,22.8618757353,23.0713334514
8.5,-0.0451285368763,22.5212461409,22.8618757353,23.0713334514
8.6,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
8.7,-0.0451285368763,22.5460042709,22.8618757353,23.0713334514
8.8,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
8.9,-0.0322346691974,22.5212461409,22.885154601,23.0466117864
9,-0.0322346691974,22.5212461409,22.885154601,23.0713334514
9.1,-0.0322346691974,22.5212461409,22.8618757353,23.0713334514
9.2,-0.0322346691974,22.5460042709,22.8618757353,23.0466117864
9.3,-0.0322346691974,22.5212461409,22.885154601,23.0466117864
9.4,-0.0322346691974,22.5212461409,22.8618757353,23.0713334514
9.5,-0.0322346691974,22.5212461409,22.8618757353,23.0713334514
9.6,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
9.7,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
9.8,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
9.9,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
10,-0.0451285368763,22.5212461409,22.8618757353,23.0466117864
10.1,-0.0253848019929,22.5212461409,22.8618757353,23.0466117864
10.2,-0.0451285368763,22.5212461409,22.8618757353,23.0466117864
10.3,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
10.4,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
10.5,-0.0451285368763,22.5212461409,22.8618757353,23.0713334514
10.6,-0.0253848019929,22.5212461409,22.8618757353,23.0466117864
10.7,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
10.8,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
10.9,-0.0451285368763,22.5212461409,22.8618757353,23.0466117864
11,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
11.1,-0.0253848019929,22.5212461409,22.8618757353,23.0233429027
11.2,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
11.3,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
11.4,-0.0189378681534,22.5212461409,22.8618757353,23.0233429027
11.5,-0.0451285368763,22.5212461409,22.8618757353,23.0466117864
11.6,-0.0253848019929,22.5212461409,22.8618757353,23.0466117864
11.7,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
11.8,-0.0451285368763,22.5212461409,22.8618757353,23.0466117864
11.9,-0.0386816030368,22.5212461409,22.8618757353,23.0233429027
12,-0.0386816030368,22.5212461409,22.8618757353,23.0233429027
12.1,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
12.2,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
12.3,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
12.4,-0.0386816030368,22.5212461409,22.8618757353,23.0233429027
12.5,-0.0451285368763,22.5212461409,22.8618757353,23.0233429027
12.6,-0.0253848019929,22.5212461409,22.8618757353,23.0466117864
12.7,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
12.8,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
12.9,-0.0253848019929,22.5212461409,22.8618757353,23.0466117864
13,-0.0386816030368,22.5212461409,22.8371403111,23.0466117864
13.1,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
13.2,-0.0386816030368,22.5212461409,22.8618757353,23.0233429027
13.3,-0.0386816030368,22.5212461409,22.8618757353,23.0233429027
13.4,-0.0451285368763,22.5212461409,22.8618757353,23.0233429027
13.5,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
13.6,-0.0322346691974,22.5212461409,22.8618757353,23.0713334514
13.7,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
13.8,-0.0253848019929,22.5212461409,22.8618757353,23.0713334514
13.9,-0.0451285368763,22.5212461409,22.8618757353,23.0466117864
14,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
14.1,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
14.2,-0.0386816030368,22.5212461409,22.8618757353,23.0233429027
14.3,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
14.4,-0.0386816030368,22.5212461409,22.8618757353,23.0466117864
14.5,-0.0322346691974,22.5212461409,22.8618757353,23.0466117864
14.6,-0.0322346691974,22.5212461409,22.8618757353,23.0713334514
14.7,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
14.8,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
14.9,-0.0386816030368,22.5460042709,22.8618757353,23.0466117864
15,-0.0451285368763,22.5460042709,22.8618757353,23.0713334514
15.1,-0.0451285368763,22.5460042709,22.8618757353,23.0713334514
15.2,-0.0253848019929,22.5460042709,22.885154601,23.0466117864
15.3,-0.0386816030368,22.5212461409,22.8618757353,23.0713334514
15.4,-0.0322346691974,22.5212461409,22.885154601,23.0713334514
15.5,-0.0322346691974,22.5460042709,22.8618757353,23.0713334514
15.6,-0.0386816030368,22.5460042709,22.885154601,23.0713334514
15.7,-0.0451285368763,22.5212461409,22.8618757353,23.0713334514
15.8,-0.0386816030368,22.5460042709,22.885154601,23.0713334514
15.9,-0.0451285368763,22.5460042709,22.885154601,23.0713334514
16,-0.0451285368763,22.5693043366,22.885154601,23.0713334514
16.1,-0.0386816030368,22.5693043366,22.885154601,23.0713334514
16.2,-0.0451285368763,22.5693043366,22.885154601,23.0713334514
16.3,-0.0386816030368,22.5693043366,22.885154601,23.0713334514
16.4,-0.0322346691974,22.5693043366,22.885154601,23.0713334514
16.5,-0.0386816030368,22.5693043366,22.9098867802,23.0713334514
16.6,-0.0189378681534,22.5693043366,22.9098867802,23.0713334514
16.7,-0.0386816030368,22.5693043366,22.9098867802,23.0713334514
16.8,-0.0322346691974,22.5693043366,22.9098867802,23.0713334514
16.9,-0.0322346691974,22.5693043366,22.9098867802,23.0945994794
17,-0.0451285368763,22.5693043366,22.9098867802,23.0945994794
17.1,-0.0386816030368,22.5940588601,22.9098867802,23.0945994794
17.2,-0.0386816030368,22.5940588601,22.9098867802,23.0945994794
17.3,-0.0253848019929,22.5940588601,22.9331626175,23.0945994794
17.4,-0.0386816030368,22.5940588601,22.9331626175,23.0945994794
17.5,-0.0451285368763,22.5940588601,22.9098867802,23.0945994794
17.6,-0.0451285368763,22.5940588601,22.9098867802,23.0945994794
17.7,-0.0386816030368,22.5940588601,22.9331626175,23.0945994794
17.8,-0.0451285368763,22.5940588601,22.9098867802,23.0945994794
17.9,-0.0253848019929,22.5940588601,22.9331626175,23.0945994794
18,-0.0386816030368,22.5940588601,22.9331626175,23.1193181376
18.1,-0.0322346691974,22.5940588601,22.9331626175,23.1193181376
18.2,-0.0451285368763,22.5940588601,22.9098867802,23.1193181376
18.3,-0.0451285368763,22.5940588601,22.9331626175,23.1193181376
18.4,-0.0386816030368,22.5940588601,22.9331626175,23.1193181376
18.5,-0.0253848019929,22.5940588601,22.9331626175,23.1425813611
18.6,-0.0386816030368,22.5940588601,22.9331626175,23.1193181376
18.7,-0.0451285368763,22.5940588601,22.9331626175,23.1425813611
18.8,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
18.9,-0.0451285368763,22.5940588601,22.9331626175,23.1425813611
19,-0.0322346691974,22.5940588601,22.9098867802,23.1425813611
19.1,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
19.2,-0.0386816030368,22.5940588601,22.9098867802,23.1425813611
19.3,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
19.4,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
19.5,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
19.6,-0.0253848019929,22.5940588601,22.9331626175,23.1425813611
19.7,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
19.8,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
19.9,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
20,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
20.1,-0.0386816030368,22.5940588601,22.9331626175,23.1672970668
20.2,-0.0451285368763,22.5940588601,22.9331626175,23.1425813611
20.3,-0.0451285368763,22.5940588601,22.9331626175,23.1672970668
20.4,-0.0451285368763,22.5940588601,22.9331626175,23.1672970668
20.5,-0.0322346691974,22.5940588601,22.9331626175,23.1672970668
20.6,-0.0451285368763,22.5940588601,22.9098867802,23.1672970668
20.7,-0.0386816030368,22.5940588601,22.9098867802,23.1425813611
20.8,-0.0386816030368,22.5940588601,22.9331626175,23.1425813611
20.9,-0.0451285368763,22.6173555575,22.9331626175,23.1425813611
21,-0.0451285368763,22.5940588601,22.9331626175,23.1672970668
21.1,-0.0386816030368,22.5940588601,22.9331626175,23.1672970668
21.2,-0.0451285368763,22.5940588601,22.9331626175,23.1672970668
21.3,-0.0451285368763,22.5940588601,22.9098867802,23.1672970668
21.4,-0.0189378681534,22.5940588601,22.9331626175,23.1672970668
21.5,-0.0386816030368,22.5940588601,22.9331626175,23.1672970668
21.6,-0.0451285368763,22.5940588601,22.9098867802,23.1672970668
21.7,-0.0386816030368,22.5940588601,22.9098867802,23.1672970668
21.8,-0.0451285368763,22.5940588601,22.9331626175,23.1672970668
21.9,-0.0386816030368,22.5940588601,22.9331626175,23.1672970668
22,-0.0451285368763,22.5460042709,22.9098867802,23.190557537
22.1,-0.0519784040807,22.5940588601,22.9098867802,23.1672970668
22.2,-0.0451285368763,22.6421065298,22.9331626175,23.190557537
22.3,-0.0386816030368,22.5940588601,22.9578916064,23.190557537
22.4,-0.0253848019929,22.5940588601,22.9098867802,23.190557537
22.5,-0.0322346691974,22.5940588601,22.9331626175,23.1672970668
22.6,-0.0386816030368,22.6421065298,22.9331626175,23.190557537
22.7,-0.0386816030368,22.5693043366,22.9331626175,23.190557537
22.8,-0.0519784040807,22.5940588601,22.885154601,23.190557537
22.9,-0.0451285368763,22.6173555575,22.9331626175,23.1672970668
23,-0.0386816030368,22.5940588601,22.9578916064,23.190557537
23.1,-0.0386816030368,22.5460042709,22.9098867802,23.190557537
23.2,-0.0386816030368,22.5940588601,22.885154601,23.190557537
23.3,-0.0451285368763,22.6173555575,22.9331626175,23.1672970668
23.4,-0.0386816030368,22.5940588601,22.9578916064,23.2152703445
23.5,-0.0386816030368,22.5460042709,22.9331626175,23.2152703445
23.6,-0.0451285368763,22.5940588601,22.9331626175,23.190557537
23.7,-0.0451285368763,22.6421065298,22.9578916064,23.190557537
23.8,-0.0386816030368,22.5940588601,22.9578916064,23.2152703445
23.9,-0.0451285368763,22.5940588601,22.9331626175,23.190557537
24,-0.0386816030368,22.6173555575,22.9578916064,23.190557537
24.1,-0.0386816030368,22.6421065298,22.9578916064,23.190557537
24.2,-0.0386816030368,22.5693043366,22.9331626175,23.2152703445
24.3,-0.0386816030368,22.5940588601,22.9331626175,23.190557537
24.4,-0.0322346691974,22.6173555575,22.9578916064,23.190557537
24.5,-0.0386816030368,22.5940588601,22.9578916064,23.2152703445
24.6,-0.0451285368763,22.5693043366,22.9578916064,23.2152703445
24.7,-0.0451285368763,22.5940588601,22.9098867802,23.190557537
24.8,-0.0386816030368,22.6173555575,22.9578916064,23.190557537
24.9,-0.0386816030368,22.5940588601,22.9811644668,23.2152703445
25,-0.0451285368763,22.5460042709,22.9331626175,23.2632380761
25.1,-0.0386816030368,22.5940588601,22.9578916064,23.190557537
25.2,-0.0386816030368,22.6421065298,22.9578916064,23.2152703445
25.3,-0.0322346691974,22.5940588601,22.9811644668,23.2152703445
25.4,-0.0451285368763,22.6173555575,22.9331626175,23.190557537
25.5,-0.0386816030368,22.6173555575,22.9578916064,23.1672970668
25.6,-0.0451285368763,22.6421065298,22.9578916064,23.2152703445
25.7,-0.0451285368763,22.5693043366,22.9578916064,23.2385281126
25.8,-0.0253848019929,22.5940588601,22.9331626175,23.2152703445
25.9,-0.0519784040807,22.6173555575,22.9578916064,23.190557537
26,-0.0322346691974,22.5940588601,22.9578916064,23.2152703445
26.1,-0.0322346691974,22.5693043366,22.9331626175,23.2385281126
26.2,-0.0386816030368,22.6173555575,22.9331626175,23.190557537
26.3,-0.0386816030368,22.6421065298,22.9578916064,23.2152703445
26.4,-0.0253848019929,22.5940588601,22.9578916064,23.2152703445
26.5,-0.0386816030368,22.5460042709,22.9331626175,23.2632380761
26.6,-0.0322346691974,22.6173555575,22.9578916064,23.190557537
26.7,-0.0386816030368,22.6421065298,22.9578916064,23.2152703445
26.8,-0.0386816030368,22.5940588601,22.9578916064,23.2152703445
26.9,-0.0451285368763,22.6173555575,22.9331626175,23.2152703445
27,-0.0451285368763,22.6173555575,22.9578916064,23.190557537
27.1,-0.0386816030368,22.6421065298,22.9578916064,23.2152703445
27.2,-0.0386816030368,22.5693043366,22.9331626175,23.2632380761
27.3,-0.0451285368763,22.5940588601,22.9331626175,23.2152703445
27.4,-0.0386816030368,22.6173555575,22.9578916064,23.190557537
27.5,-0.0386816030368,22.5940588601,22.9578916064,23.2152703445
27.6,-0.0386816030368,22.5693043366,22.9331626175,23.2632380761
27.7,-0.0386816030368,22.5940588601,22.9098867802,23.2152703445
27.8,-0.0386816030368,22.6421065298,22.9578916064,23.2152703445
27.9,-0.0451285368763,22.5940588601,22.9811644668,23.2385281126
28,-0.0451285368763,22.5693043366,22.9098867802,23.2385281126
28.1,-0.0451285368763,22.5940588601,22.9578916064,23.190557537
28.2,-0.0386816030368,22.6421065298,22.9578916064,23.2152703445
28.3,-0.0386816030368,22.5940588601,22.9578916064,23.2385281126
28.4,-0.0253848019929,22.6173555575,22.9098867802,23.190557537
28.5,-0.0386816030368,22.6173555575,22.9578916064,23.190557537
28.6,-0.0451285368763,22.6421065298,22.9578916064,23.2152703445
28.7,-0.0386816030368,22.5940588601,22.9331626175,23.2152703445
28.8,-0.0386816030368,22.5940588601,22.9098867802,23.190557537
28.9,-0.0451285368763,22.6173555575,22.9578916064,23.190557537
29,-0.0519784040807,22.5940588601,22.9578916064,23.2385281126
29.1,-0.0451285368763,22.5460042709,22.9331626175,23.2632380761
29.2,-0.0253848019929,22.5940588601,22.9098867802,23.2152703445
29.3,-0.0386816030368,22.6421065298,22.9578916064,23.2152703445
29.4,-0.0451285368763,22.5940588601,22.9578916064,23.2385281126
29.5,-0.0386816030368,22.5940588601,22.9331626175,23.2385281126
29.6,-0.0386816030368,22.5940588601,22.9331626175,23.190557537
29.7,-0.0386816030368,22.6421065298,22.9578916064,23.2632380761
29.8,-0.0386816030368,22.5693043366,22.9578916064,23.2632380761
29.9,-0.0451285368763,22.5940588601,22.9098867802,23.2152703445
30,-0.0386816030368,22.5940588601,22.9331626175,23.190557537
30.1,-0.0386816030368,22.5940588601,22.9578916064,23.2385281126
30.2,-0.0386816030368,22.5693043366,22.9331626175,23.2632380761
30.3,-0.0386816030368,22.5940588601,22.9098867802,23.2152703445
30.4,-0.0386816030368,22.6173555575,22.9331626175,23.2152703445
30.5,-0.0386816030368,22.5940588601,22.9578916064,23.2632380761
30.6,-0.0451285368763,22.5460042709,22.9098867802,23.286493193
30.7,-0.0451285368763,22.5940588601,22.9098867802,23.2152703445
30.8,-0.0451285368763,22.6173555575,22.9331626175,23.2385281126
30.9,-0.0451285368763,22.5940588601,22.9578916064,23.2632380761
31,-0.0451285368763,22.5940588601,22.885154601,23.2632380761
31.1,-0.0386816030368,22.5940588601,22.9331626175,23.2152703445
31.2,-0.0386816030368,22.6421065298,22.9331626175,23.2632380761
31.3,-0.0451285368763,22.5693043366,22.9098867802,23.286493193
31.4,-0.0451285368763,22.5940588601,22.885154601,23.2385281126
31.5,-0.0451285368763,22.6173555575,22.9098867802,23.2152703445
31.6,-0.0519784040807,22.5940588601,22.9578916064,23.2632380761
31.7,-0.0451285368763,22.5460042709,22.9098867802,23.286493193
31.8,-0.0451285368763,22.5940588601,22.9098867802,23.2632380761
31.9,-0.0451285368763,22.5940588601,22.9098867802,23.2632380761
32,-0.0386816030368,22.5940588601,22.9098867802,23.2632380761
32.1,-0.0322346691974,22.5940588601,22.885154601,23.2632380761
32.2,-0.0322346691974,22.5940588601,22.9098867802,23.2632380761
32.3,-0.0451285368763,22.5940588601,22.9098867802,23.2632380761
32.4,-0.0386816030368,22.5940588601,22.9098867802,23.2632380761
32.5,-0.0519784040807,22.5940588601,22.885154601,23.2385281126
