"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.00805866729934,22.7134375032,22.5503731587,22.8313199657
0.1,-0.0048352003796,22.6901473869,22.4790073384,22.7832985156
0.2,0.00161173345987,22.6901473869,22.4790073384,22.806582448
0.3,-0.011685067584,22.6901473869,22.4790073384,22.806582448
0.4,-0.011685067584,22.6901473869,22.4790073384,22.806582448
0.5,0.00161173345987,22.6901473869,22.4790073384,22.806582448
0.6,0.00161173345987,22.6653999108,22.4790073384,22.806582448
0.7,-0.0048352003796,22.6653999108,22.502312186,22.806582448
0.8,0.00161173345987,22.6901473869,22.502312186,22.7832985156
0.9,-0.0048352003796,22.6653999108,22.4790073384,22.7832985156
1,-0.0048352003796,22.6901473869,22.502312186,22.806582448
1.1,-0.011685067584,22.6653999108,22.502312186,22.806582448
1.2,-0.011685067584,22.6901473869,22.502312186,22.7832985156
1.3,-0.011685067584,22.6653999108,22.502312186,22.806582448
1.4,-0.0048352003796,22.6653999108,22.502312186,22.806582448
1.5,-0.011685067584,22.6653999108,22.4790073384,22.7832985156
1.6,-0.011685067584,22.6421065298,22.502312186,22.806582448
1.7,0.00805866729934,22.6653999108,22.4790073384,22.806582448
1.8,-0.011685067584,22.6653999108,22.4790073384,22.806582448
1.9,0.00161173345987,22.6653999108,22.4790073384,22.806582448
2,0.00805866729934,22.6653999108,22.4790073384,22.806582448
2.1,0.00161173345987,22.6653999108,22.4790073384,22.806582448
2.2,0.00161173345987,22.6653999108,22.4790073384,22.7832985156
2.3,-0.011685067584,22.6653999108,22.4790073384,22.7832985156
2.4,-0.011685067584,22.6421065298,22.4790073384,22.806582448
2.5,-0.011685067584,22.6653999108,22.4790073384,22.7832985156
2.6,0.00161173345987,22.6421065298,22.4790073384,22.7832985156
2.7,-0.0048352003796,22.6653999108,22.4790073384,22.806582448
2.8,-0.011685067584,22.6653999108,22.4790073384,22.7832985156
2.9,0.00161173345987,22.6421065298,22.4790073384,22.7832985156
3,-0.0048352003796,22.6653999108,22.4790073384,22.806582448
3.1,-0.011685067584,22.6653999108,22.502312186,22.7832985156
3.2,0.00805866729934,22.6421065298,22.4790073384,22.806582448
3.3,0.00161173345987,22.6421065298,22.4790073384,22.806582448
3.4,0.00161173345987,22.6421065298,22.4790073384,22.806582448
3.5,0.00805866729934,22.6421065298,22.4790073384,22.806582448
3.6,-0.011685067584,22.6421065298,22.4790073384,22.806582448
3.7,-0.0181320014235,22.6421065298,22.4790073384,22.806582448
3.8,-0.0644693383947,22.6653999108,22.4790073384,22.806582448
3.9,0.00161173345987,22.6653999108,22.4790073384,22.7832985156
4,-0.0048352003796,22.6421065298,22.4790073384,22.806582448
4.1,-0.011685067584,22.6421065298,22.4790073384,22.806582448
4.2,-0.011685067584,22.6653999108,22.4790073384,22.806582448
4.3,-0.0181320014235,22.6421065298,22.4790073384,22.806582448
4.4,0.00161173345987,22.6421065298,22.4790073384,22.806582448
4.5,0.00805866729934,22.6421065298,22.4790073384,22.806582448
4.6,0.00805866729934,22.6421065298,22.4790073384,22.806582448
4.7,0.00805866729934,22.6421065298,22.502312186,22.806582448
4.8,0.00805866729934,22.6421065298,22.4790073384,22.806582448
4.9,0.0410992032266,22.6421065298,22.502312186,22.806582448
5,0.0278024021827,22.6421065298,22.4790073384,22.806582448
5.1,0.06084293811,22.6421065298,22.4790073384,22.806582448
5.2,0.0475461370661,22.6421065298,22.4790073384,22.806582448
5.3,0.0410992032266,22.6421065298,22.4790073384,22.806582448
5.4,0.06084293811,22.6421065298,22.4790073384,22.806582448
5.5,0.06084293811,22.6421065298,22.4790073384,22.806582448
5.6,0.0874365401978,22.6421065298,22.4790073384,22.8313199657
5.7,0.0874365401978,22.6421065298,22.4790073384,22.806582448
5.8,0.54194537588,22.6421065298,22.4790073384,22.806582448
5.9,-0.0378757363069,22.6421065298,22.4790073384,22.806582448
6,-0.024578935263,22.6421065298,22.4790073384,22.8313199657
6.1,-0.0314288024674,22.6421065298,22.4790073384,22.8313199657
6.2,0.0213554683432,22.6421065298,22.4790073384,22.8313199657
6.3,0.0149085345038,22.6421065298,22.4790073384,22.806582448
6.4,0.00805866729934,22.6421065298,22.4790073384,22.806582448
6.5,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
6.6,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
6.7,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
6.8,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
6.9,0.00161173345987,22.6421065298,22.502312186,22.806582448
7,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
7.1,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
7.2,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
7.3,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
7.4,0.0149085345038,22.6421065298,22.4790073384,22.806582448
7.5,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
7.6,0.00805866729934,22.6421065298,22.4790073384,22.806582448
7.7,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
7.8,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
7.9,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
8,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
8.1,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
8.2,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
8.3,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
8.4,0.00805866729934,22.6653999108,22.4790073384,22.806582448
8.5,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
8.6,0.00805866729934,22.6653999108,22.4790073384,22.8313199657
8.7,0.0213554683432,22.6421065298,22.4790073384,22.8313199657
8.8,0.0149085345038,22.6421065298,22.4790073384,22.8313199657
8.9,0.0149085345038,22.6421065298,22.4542440891,22.8313199657
9,0.00805866729934,22.6421065298,22.4542440891,22.8313199657
9.1,0.00805866729934,22.6421065298,22.4542440891,22.8313199657
9.2,0.00161173345987,22.6421065298,22.4790073384,22.806582448
9.3,0.00805866729934,22.6421065298,22.4542440891,22.8313199657
9.4,0.00805866729934,22.6421065298,22.4790073384,22.8313199657
9.5,0.00805866729934,22.6421065298,22.4542440891,22.8313199657
9.6,0.00805866729934,22.6421065298,22.4542440891,22.8313199657
9.7,0.00805866729934,22.6653999108,22.4542440891,22.8313199657
9.8,0.00805866729934,22.6421065298,22.4542440891,22.8313199657
9.9,0.0213554683432,22.6421065298,22.4542440891,22.8313199657
10,-0.011685067584,22.6421065298,22.4542440891,22.8313199657
10.1,0.00805866729934,22.6421065298,22.4309357486,22.8313199657
10.2,0.0149085345038,22.6421065298,22.4542440891,22.8313199657
10.3,0.00805866729934,22.6421065298,22.4309357486,22.8313199657
10.4,0.0149085345038,22.6421065298,22.4309357486,22.8313199657
10.5,0.0149085345038,22.6421065298,22.4309357486,22.806582448
10.6,0.0149085345038,22.6421065298,22.4309357486,22.8313199657
10.7,0.00805866729934,22.6421065298,22.4542440891,22.806582448
10.8,0.00805866729934,22.6421065298,22.4309357486,22.8313199657
10.9,0.0149085345038,22.6421065298,22.4309357486,22.8313199657
11,0.00805866729934,22.6421065298,22.4309357486,22.8313199657
11.1,0.00161173345987,22.6421065298,22.4309357486,22.8313199657
11.2,0.0149085345038,22.6653999108,22.4309357486,22.806582448
11.3,0.00805866729934,22.6421065298,22.4309357486,22.8313199657
11.4,0.0149085345038,22.6653999108,22.4309357486,22.8313199657
11.5,0.00805866729934,22.6421065298,22.4309357486,22.8313199657
11.6,0.0149085345038,22.6421065298,22.4309357486,22.8313199657
11.7,0.0213554683432,22.6421065298,22.4309357486,22.8313199657
11.8,0.00805866729934,22.6421065298,22.4542440891,22.8313199657
11.9,0.00805866729934,22.6653999108,22.4309357486,22.8313199657
12,0.0213554683432,22.6421065298,22.4542440891,22.8313199657
12.1,0.00805866729934,22.6421065298,22.4309357486,22.8313199657
12.2,0.0149085345038,22.6421065298,22.4309357486,22.8313199657
