"Latest: Time (s)","Latest: Force (N)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)"
0,0.12329760968,18.9141199014,18.7599351694,18.888927326
0.1,0.0967040075921,18.888927326,18.7109781543,18.8400122076
0.2,0.110000808636,18.888927326,18.7109781543,18.8400122076
0.3,-0.40000808636,18.888927326,18.7109781543,18.8400122076
0.4,0.0967040075921,18.888927326,18.7109781543,18.8400122076
0.5,0.110000808636,18.888927326,18.7109781543,18.8400122076
0.6,0.11685067584,18.888927326,18.6872356256,18.8400122076
0.7,0.12329760968,18.888927326,18.6872356256,18.8400122076
0.8,0.11685067584,18.8652128692,18.7109781543,18.8400122076
0.9,0.11685067584,18.8652128692,18.7109781543,18.8400122076
1,0.110000808636,18.888927326,18.7109781543,18.8400122076
1.1,0.110000808636,18.888927326,18.7109781543,18.8400122076
1.2,0.11685067584,18.888927326,18.6872356256,18.8400122076
1.3,0.11685067584,18.8652128692,18.7109781543,18.8400122076
1.4,0.11685067584,18.8652128692,18.7109781543,18.8400122076
1.5,0.11685067584,18.8400122076,18.6872356256,18.8400122076
1.6,0.110000808636,18.888927326,18.7109781543,18.8400122076
1.7,0.110000808636,18.8652128692,18.7109781543,18.8400122076
1.8,0.110000808636,18.8652128692,18.7109781543,18.8400122076
1.9,0.110000808636,18.888927326,18.7109781543,18.8162901101
2,0.110000808636,18.8652128692,18.7109781543,18.8400122076
2.1,0.110000808636,18.888927326,18.7109781543,18.8400122076
2.2,0.11685067584,18.888927326,18.7109781543,18.8162901101
2.3,0.11685067584,18.8652128692,18.7109781543,18.8400122076
2.4,0.11685067584,18.8652128692,18.7109781543,18.8400122076
2.5,0.11685067584,18.8652128692,18.7109781543,18.8400122076
2.6,0.110000808636,18.8652128692,18.6872356256,18.8400122076
2.7,0.11685067584,18.8400122076,18.6872356256,18.8400122076
2.8,0.11685067584,18.8652128692,18.6872356256,18.8162901101
2.9,0.11685067584,18.8652128692,18.6872356256,18.8162901101
3,0.11685067584,18.8652128692,18.6872356256,18.8162901101
3.1,0.110000808636,18.8652128692,18.6872356256,18.8162901101
3.2,0.110000808636,18.8400122076,18.6872356256,18.8162901101
3.3,0.11685067584,18.8652128692,18.6634892939,18.8162901101
3.4,0.110000808636,18.8400122076,18.6872356256,18.8162901101
3.5,0.11685067584,18.8400122076,18.6872356256,18.8162901101
3.6,0.103553874796,18.8400122076,18.6872356256,18.8162901101
3.7,0.110000808636,18.8652128692,18.6872356256,18.8162901101
3.8,0.110000808636,18.8652128692,18.6872356256,18.8162901101
3.9,0.110000808636,18.8400122076,18.6872356256,18.8162901101
4,0.0967040075921,18.8652128692,18.6872356256,18.8162901101
4.1,0.110000808636,18.8400122076,18.6872356256,18.8162901101
4.2,0.110000808636,18.8400122076,18.6872356256,18.8162901101
4.3,0.103553874796,18.8400122076,18.6872356256,18.8162901101
4.4,0.103553874796,18.888927326,18.6872356256,18.8162901101
4.5,0.11685067584,18.8652128692,18.6872356256,18.8162901101
4.6,0.11685067584,18.8400122076,18.6872356256,18.8162901101
4.7,0.12329760968,18.8400122076,18.6872356256,18.8162901101
4.8,0.103553874796,18.8652128692,18.6872356256,18.8162901101
4.9,0.11685067584,18.8652128692,18.6872356256,18.8162901101
5,0.110000808636,18.8400122076,18.6634892939,18.8162901101
5.1,0.11685067584,18.8652128692,18.6634892939,18.8162901101
5.2,0.11685067584,18.8400122076,18.6872356256,18.8162901101
5.3,0.11685067584,18.8400122076,18.6872356256,18.8162901101
5.4,0.110000808636,18.8652128692,18.6872356256,18.8162901101
5.5,0.12329760968,18.8652128692,18.6634892939,18.8162901101
5.6,0.110000808636,18.8400122076,18.6634892939,18.8162901101
5.7,0.0967040075921,18.8400122076,18.6634892939,18.8162901101
5.8,0.11685067584,18.8400122076,18.6872356256,18.8162901101
5.9,0.110000808636,18.8652128692,18.6872356256,18.8162901101
6,0.11685067584,18.8652128692,18.6872356256,18.8162901101
6.1,0.110000808636,18.8652128692,18.6872356256,18.8162901101
6.2,0.110000808636,18.8400122076,18.6634892939,18.8162901101
6.3,0.110000808636,18.8652128692,18.6872356256,18.8162901101
6.4,0.110000808636,18.8400122076,18.6872356256,18.8162901101
6.5,0.110000808636,18.8400122076,18.6872356256,18.8162901101
6.6,0.110000808636,18.8652128692,18.6872356256,18.8162901101
6.7,0.110000808636,18.8652128692,18.6872356256,18.8162901101
6.8,0.11685067584,18.888927326,18.6872356256,18.8162901101
6.9,0.11685067584,18.8400122076,18.6634892939,18.8162901101
7,0.110000808636,18.8400122076,18.6634892939,18.8162901101
7.1,0.110000808636,18.8652128692,18.6872356256,18.8162901101
7.2,0.12329760968,18.8652128692,18.6872356256,18.8162901101
7.3,0.11685067584,18.8400122076,18.6634892939,18.8162901101
7.4,0.110000808636,18.8652128692,18.6872356256,18.8162901101
7.5,0.11685067584,18.8652128692,18.6872356256,18.8162901101
7.6,0.11685067584,18.8652128692,18.6634892939,18.8162901101
7.7,0.0967040075921,18.8652128692,18.6634892939,18.8162901101
7.8,0.0967040075921,18.8652128692,18.6872356256,18.7910812986
7.9,0.103553874796,18.888927326,18.6872356256,18.8162901101
8,0.0967040075921,18.888927326,18.6872356256,18.8162901101
8.1,0.110000808636,18.888927326,18.6872356256,18.8162901101
8.2,0.110000808636,18.888927326,18.6634892939,18.8162901101
8.3,0.110000808636,18.8652128692,18.6634892939,18.8162901101
8.4,0.11685067584,18.8652128692,18.6872356256,18.8162901101
8.5,0.12329760968,18.888927326,18.6872356256,18.8162901101
8.6,0.11685067584,18.888927326,18.6634892939,18.8162901101
8.7,0.110000808636,18.8652128692,18.6872356256,18.8162901101
8.8,0.103553874796,18.888927326,18.6634892939,18.8162901101
8.9,0.11685067584,18.888927326,18.6634892939,18.8162901101
9,0.103553874796,18.8652128692,18.6634892939,18.8162901101
9.1,0.110000808636,18.8652128692,18.6634892939,18.8162901101
9.2,0.110000808636,18.8652128692,18.6634892939,18.8162901101
9.3,0.110000808636,18.888927326,18.6872356256,18.7910812986
9.4,0.11685067584,18.888927326,18.6634892939,18.7910812986
9.5,0.11685067584,18.888927326,18.6634892939,18.7910812986
9.6,0.103553874796,18.8652128692,18.6634892939,18.7910812986
9.7,0.110000808636,18.888927326,18.6872356256,18.7910812986
9.8,0.110000808636,18.888927326,18.6872356256,18.7910812986
9.9,0.110000808636,18.888927326,18.6872356256,18.7910812986
10,0.110000808636,18.888927326,18.6634892939,18.7910812986
10.1,0.11685067584,18.888927326,18.6634892939,18.8162901101
10.2,0.110000808636,18.888927326,18.6872356256,18.8162901101
10.3,0.110000808636,18.888927326,18.6634892939,18.7910812986
10.4,0.110000808636,18.888927326,18.6872356256,18.7910812986
10.5,0.110000808636,18.8652128692,18.6382546335,18.8162901101
