"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)","Latest: Temperature 3 (°C)","Latest: Force (N)"
0,28.5786632427,28.725567304,28.6688353761,0.0588282712852
0.1,28.530676757,28.6775628185,28.6688353761,0.0588282712852
0.2,28.530676757,28.6528355767,28.6688353761,0.0588282712852
0.3,28.530676757,28.6775628185,28.6688353761,0.0519784040807
0.4,28.530676757,28.6775628185,28.6921089958,0.0519784040807
0.5,28.5539422165,28.6775628185,28.6688353761,0.0588282712852
0.6,28.5539422165,28.6775628185,28.6921089958,0.0588282712852
0.7,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
0.8,28.5539422165,28.6775628185,28.6921089958,0.0652752051246
0.9,28.530676757,28.6775628185,28.6921089958,0.0455314702413
1,28.5539422165,28.6528355767,28.6921089958,0.0519784040807
1.1,28.530676757,28.6775628185,28.7168387662,0.0455314702413
1.2,28.5539422165,28.6775628185,28.6688353761,0.0588282712852
1.3,28.5539422165,28.6775628185,28.6688353761,0.0519784040807
1.4,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
1.5,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
1.6,28.5539422165,28.6775628185,28.6921089958,0.0588282712852
1.7,28.530676757,28.6528355767,28.6921089958,0.0519784040807
1.8,28.5539422165,28.6528355767,28.6688353761,0.0455314702413
1.9,28.5539422165,28.6775628185,28.7168387662,0.0455314702413
2,28.5539422165,28.6775628185,28.6921089958,0.0588282712852
2.1,28.5539422165,28.6775628185,28.6921089958,0.0455314702413
2.2,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
2.3,28.5539422165,28.6775628185,28.6921089958,0.0588282712852
2.4,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
2.5,28.5539422165,28.6528355767,28.6921089958,0.0519784040807
2.6,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
2.7,28.5539422165,28.6775628185,28.6921089958,0.0455314702413
2.8,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
2.9,28.5539422165,28.6775628185,28.6921089958,0.0588282712852
3,28.5539422165,28.6775628185,28.6921089958,0.0588282712852
3.1,28.5539422165,28.6775628185,28.6921089958,0.0588282712852
3.2,28.5539422165,28.6528355767,28.6921089958,0.0519784040807
3.3,28.5539422165,28.6775628185,28.6688353761,0.0519784040807
3.4,28.5539422165,28.6528355767,28.6921089958,0.0455314702413
3.5,28.5539422165,28.6775628185,28.6921089958,0.0455314702413
3.6,28.5539422165,28.6528355767,28.6921089958,0.0519784040807
3.7,28.5786632427,28.6775628185,28.6921089958,0.0588282712852
3.8,28.5539422165,28.6775628185,28.6921089958,0.0652752051246
3.9,28.5539422165,28.6295643168,28.6921089958,0.0455314702413
4,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
4.1,28.5539422165,28.6775628185,28.6921089958,0.0390845364018
4.2,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
4.3,28.5539422165,28.6528355767,28.6921089958,0.0455314702413
4.4,28.5539422165,28.6775628185,28.6921089958,0.0455314702413
4.5,28.5539422165,28.6775628185,28.6921089958,0.0519784040807
4.6,28.5539422165,28.6528355767,28.7168387662,0.0455314702413
4.7,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
4.8,28.5539422165,28.6775628185,28.6921089958,0.0455314702413
4.9,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
5,28.5539422165,28.6775628185,28.6921089958,0.0322346691974
5.1,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
5.2,28.5539422165,28.6775628185,28.6921089958,0.0322346691974
5.3,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
5.4,28.5539422165,28.6775628185,28.6921089958,0.0455314702413
5.5,28.5786632427,28.6528355767,28.6921089958,0.0455314702413
5.6,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
5.7,28.5786632427,28.6775628185,28.7168387662,0.0257877353579
5.8,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
5.9,28.5786632427,28.6775628185,28.6921089958,0.0322346691974
6,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
6.1,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
6.2,28.5786632427,28.6528355767,28.6921089958,0.0519784040807
6.3,28.5786632427,28.6775628185,28.7168387662,0.0455314702413
6.4,28.5786632427,28.6775628185,28.6688353761,0.0455314702413
6.5,28.5786632427,28.6775628185,28.7168387662,0.0455314702413
6.6,28.5786632427,28.6528355767,28.6921089958,0.0519784040807
6.7,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
6.8,28.5786632427,28.6528355767,28.6921089958,0.0455314702413
6.9,28.5786632427,28.6775628185,28.7168387662,0.0519784040807
7,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
7.1,28.5786632427,28.6528355767,28.6921089958,0.0322346691974
7.2,28.5786632427,28.6528355767,28.6921089958,0.0519784040807
7.3,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
7.4,28.5786632427,28.6528355767,28.6921089958,0.0519784040807
7.5,28.5786632427,28.6528355767,28.6921089958,0.0519784040807
7.6,28.5786632427,28.6528355767,28.7168387662,0.0588282712852
7.7,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
7.8,28.5786632427,28.6528355767,28.6921089958,0.0588282712852
7.9,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
8,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
8.1,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
8.2,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
8.3,28.5786632427,28.6528355767,28.6921089958,0.0455314702413
8.4,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
8.5,28.5786632427,28.6775628185,28.7168387662,0.0588282712852
8.6,28.5786632427,28.6528355767,28.6921089958,0.0519784040807
8.7,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
8.8,28.5786632427,28.6528355767,28.7168387662,0.0322346691974
8.9,28.5786632427,28.6775628185,28.6921089958,0.0519784040807
9,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
9.1,28.5786632427,28.6528355767,28.6921089958,0.0390845364018
9.2,28.5786632427,28.6775628185,28.7168387662,0.0322346691974
9.3,28.5786632427,28.6528355767,28.7168387662,0.0588282712852
9.4,28.5786632427,28.6528355767,28.6921089958,0.0455314702413
9.5,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
9.6,28.5786632427,28.6528355767,28.6921089958,0.0455314702413
9.7,28.5786632427,28.6775628185,28.6921089958,0.0455314702413
9.8,28.5786632427,28.6528355767,28.7168387662,0.0322346691974
9.9,28.5786632427,28.6528355767,28.6921089958,0.0455314702413
10,28.5786632427,28.6528355767,28.6921089958,0.0588282712852
10.1,28.5539422165,28.6295643168,28.6921089958,0.0519784040807
10.2,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
10.3,28.5539422165,28.6528355767,28.6921089958,0.0322346691974
10.4,28.5786632427,28.6295643168,28.6921089958,0.0455314702413
10.5,28.5786632427,28.6528355767,28.6921089958,0.0455314702413
10.6,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
10.7,28.5786632427,28.6295643168,28.7168387662,0.0588282712852
10.8,28.5539422165,28.6528355767,28.6921089958,0.0519784040807
10.9,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
11,28.5786632427,28.6295643168,28.7168387662,0.0322346691974
11.1,28.5539422165,28.6295643168,28.7168387662,0.0588282712852
11.2,28.5786632427,28.6295643168,28.6921089958,0.0390845364018
11.3,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
11.4,28.5786632427,28.6295643168,28.7168387662,0.0455314702413
11.5,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
11.6,28.5786632427,28.6295643168,28.7168387662,0.0519784040807
11.7,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
11.8,28.5786632427,28.6295643168,28.7168387662,0.0455314702413
11.9,28.5786632427,28.6295643168,28.6921089958,0.0455314702413
12,28.5786632427,28.6295643168,28.7168387662,0.0519784040807
12.1,28.5786632427,28.6528355767,28.6921089958,0.0588282712852
12.2,28.5786632427,28.6295643168,28.7168387662,0.0519784040807
12.3,28.5786632427,28.6295643168,28.7168387662,0.0390845364018
12.4,28.5786632427,28.6528355767,28.7168387662,0.0983157410519
12.5,28.5786632427,28.6295643168,28.6921089958,0.0785720061685
12.6,28.5786632427,28.6295643168,28.7168387662,0.0322346691974
12.7,28.5786632427,28.6295643168,28.7168387662,0.0322346691974
12.8,28.5786632427,28.6295643168,28.7168387662,0.0390845364018
12.9,28.5786632427,28.6295643168,28.7168387662,0.0519784040807
13,28.5786632427,28.6528355767,28.6921089958,0.0588282712852
13.1,28.5786632427,28.6295643168,28.7168387662,0.0322346691974
13.2,28.5786632427,28.6295643168,28.6921089958,0.0455314702413
13.3,28.5786632427,28.6295643168,28.6921089958,0.0588282712852
13.4,28.5786632427,28.6295643168,28.7168387662,0.0588282712852
13.5,28.5786632427,28.6295643168,28.7168387662,0.0455314702413
13.6,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
13.7,28.5786632427,28.6295643168,28.7168387662,0.0519784040807
13.8,28.5786632427,28.6295643168,28.6921089958,0.0588282712852
13.9,28.5786632427,28.6528355767,28.7168387662,0.0717221389641
14,28.5786632427,28.6295643168,28.7168387662,0.0455314702413
14.1,28.5786632427,28.6295643168,28.6921089958,0.0519784040807
14.2,28.5786632427,28.6528355767,28.7168387662,0.0785720061685
14.3,28.5786632427,28.6528355767,28.7168387662,0.0322346691974
14.4,28.5786632427,28.6528355767,28.7168387662,0.0588282712852
14.5,28.5786632427,28.6528355767,28.7168387662,0.0322346691974
14.6,28.5786632427,28.6528355767,28.6921089958,0.0390845364018
14.7,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
14.8,28.5786632427,28.6295643168,28.7168387662,0.0455314702413
14.9,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
15,28.5786632427,28.6528355767,28.7168387662,0.0322346691974
15.1,28.5786632427,28.6295643168,28.7168387662,0.0519784040807
15.2,28.5786632427,28.6528355767,28.7168387662,0.0322346691974
15.3,28.5786632427,28.6295643168,28.7168387662,0.0257877353579
15.4,28.5786632427,28.6295643168,28.6921089958,0.0519784040807
15.5,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
15.6,28.5786632427,28.6295643168,28.7168387662,0.0322346691974
15.7,28.5786632427,28.6295643168,28.7168387662,0.0257877353579
15.8,28.5786632427,28.6295643168,28.7168387662,0.0519784040807
15.9,28.5786632427,28.6295643168,28.7168387662,0.0717221389641
16,28.5786632427,28.6528355767,28.7168387662,0.0588282712852
16.1,28.5786632427,28.6528355767,28.7168387662,0.0455314702413
16.2,28.5786632427,28.6528355767,28.7168387662,0.0519784040807
16.3,28.5786632427,28.6295643168,28.6921089958,0.0390845364018
